,runid,acc,mae,rmse,r2
0,fulloracle,0.761,2.919,21.144,0.389
1,laponly,0.725,3.068,22.410,0.357
2,notracklap,0.698,3.104,22.527,0.274
3,fullpred,0.680,3.351,25.847,0.196
4,curtrack,0.698,3.635,32.896,0.323
5,zerotrack,0.658,3.982,36.387,0.050
6,predtrack,0.685,3.320,25.401,0.191
7,predpit,0.707,3.185,23.977,0.268
8,deepAR,0.622,4.396,40.586,-0.202
9,naive,0.158,4.545,46.419,0.000
