,runid,acc,mae,rmse,r2
0,fulloracle,0.625,3.544,29.560,0.078
1,laponly,0.613,3.738,32.665,0.178
2,notracklap,0.613,3.806,34.669,0.173
3,fullpred,0.560,4.569,46.835,-0.114
4,curtrack,0.625,5.419,67.242,-0.035
5,zerotrack,0.581,3.669,32.677,0.002
6,predtrack,0.609,3.540,29.685,0.074
7,predpit,0.597,4.544,47.173,-0.064
8,deepAR,0.548,5.637,70.637,-0.217
9,naive,0.210,4.040,41.460,0.000
