,runid,acc,mae,rmse,r2
0,fulloracle,0.658,4.032,34.041,0.375
1,laponly,0.649,3.973,32.072,0.426
2,notracklap,0.653,3.815,31.149,0.294
3,fullpred,0.622,5.081,59.126,0.090
4,curtrack,0.500,8.856,144.477,0.038
5,zerotrack,0.577,4.671,44.122,0.143
6,predtrack,0.649,4.865,55.676,0.135
7,predpit,0.662,4.194,38.536,0.196
8,deepAR,0.491,8.180,106.703,-0.089
9,naive,0.158,4.545,46.419,0.000
