,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,63,0.181,0.016,0.493,0.375,0.633,32.191
4,fullpred,10,aa,170,0.329,0.088,0.606,0.429,0.698,26.991
0,predtrack,2,00,98,0.837,0.776,0.951,0.941,0.959,2.342
1,predtrack,2,10,3,0.833,0.667,0.933,0.933,0.811,9.276
2,predtrack,2,01,48,0.885,0.833,0.875,0.825,0.877,11.177
3,predtrack,2,11,39,0.551,0.487,0.762,0.703,0.827,11.930
4,predtrack,2,aa,188,0.790,0.729,0.892,0.862,0.909,6.698
0,predtrack,5,00,75,0.691,0.613,0.906,0.864,0.921,4.205
1,predtrack,5,10,3,0.667,0.333,0.867,0.867,0.811,9.500
2,predtrack,5,01,59,0.763,0.576,0.832,0.708,0.827,16.317
3,predtrack,5,11,48,0.433,0.146,0.624,0.454,0.739,20.051
4,predtrack,5,aa,185,0.646,0.476,0.809,0.708,0.842,12.265
0,predtrack,10,00,35,0.500,0.314,0.731,0.600,0.807,13.059
1,predtrack,10,10,3,0.267,0.000,0.620,0.467,0.679,22.960
2,predtrack,10,01,69,0.590,0.333,0.764,0.612,0.782,19.982
3,predtrack,10,11,63,0.362,0.111,0.637,0.521,0.718,22.374
4,predtrack,10,aa,170,0.481,0.241,0.707,0.573,0.762,19.495
0,predpit,2,00,98,0.776,0.724,0.898,0.873,0.931,5.630
1,predpit,2,10,3,0.333,0.000,0.333,0.200,0.611,34.299
2,predpit,2,01,48,0.573,0.417,0.796,0.708,0.852,14.240
3,predpit,2,11,39,0.526,0.385,0.721,0.636,0.831,12.513
4,predpit,2,aa,188,0.665,0.564,0.826,0.771,0.885,9.714
0,predpit,5,00,75,0.683,0.600,0.839,0.784,0.871,10.650
1,predpit,5,10,3,0.133,0.000,0.227,0.067,0.509,44.896
2,predpit,5,01,59,0.519,0.254,0.741,0.569,0.780,22.549
3,predpit,5,11,48,0.304,0.104,0.579,0.412,0.716,23.688
4,predpit,5,aa,185,0.523,0.351,0.731,0.608,0.796,18.383
0,predpit,10,00,35,0.411,0.257,0.603,0.451,0.685,28.807
1,predpit,10,10,3,0.067,0.000,0.107,0.000,0.451,52.475
2,predpit,10,01,69,0.403,0.116,0.661,0.435,0.716,28.361
3,predpit,10,11,63,0.205,0.016,0.496,0.397,0.639,31.129
4,predpit,10,aa,170,0.325,0.106,0.578,0.416,0.677,29.904
0,curtrack,2,00,98,0.827,0.765,0.951,0.931,0.955,3.252
1,curtrack,2,10,3,0.833,0.667,0.700,0.667,0.814,8.612
2,curtrack,2,01,48,0.562,0.417,0.798,0.721,0.857,13.742
3,curtrack,2,11,39,0.500,0.385,0.669,0.590,0.805,14.516
4,curtrack,2,aa,188,0.691,0.596,0.849,0.802,0.897,8.353
0,curtrack,5,00,75,0.680,0.600,0.886,0.843,0.893,8.959
1,curtrack,5,10,3,0.400,0.000,0.493,0.267,0.515,50.606
2,curtrack,5,01,59,0.536,0.322,0.752,0.590,0.794,21.293
3,curtrack,5,11,48,0.312,0.104,0.519,0.325,0.674,28.504
4,curtrack,5,aa,185,0.534,0.373,0.742,0.618,0.798,18.639
0,curtrack,10,00,35,0.463,0.314,0.716,0.600,0.745,24.965
1,curtrack,10,10,3,0.100,0.000,0.260,0.067,0.212,103.920
2,curtrack,10,01,69,0.430,0.145,0.685,0.472,0.733,27.436
3,curtrack,10,11,63,0.211,0.032,0.448,0.321,0.597,37.961
4,curtrack,10,aa,170,0.350,0.135,0.596,0.435,0.676,32.177
0,zerotrack,2,00,98,0.842,0.796,0.959,0.949,0.963,1.788
1,zerotrack,2,10,3,0.833,1.000,0.933,0.933,0.752,14.920
2,zerotrack,2,01,48,0.562,0.417,0.804,0.729,0.857,13.746
3,zerotrack,2,11,39,0.500,0.410,0.738,0.677,0.818,13.101
4,zerotrack,2,aa,188,0.699,0.622,0.873,0.836,0.903,7.398
0,zerotrack,5,00,75,0.701,0.613,0.907,0.864,0.923,4.018
1,zerotrack,5,10,3,0.667,0.333,0.853,0.800,0.798,10.102
2,zerotrack,5,01,59,0.539,0.305,0.753,0.593,0.793,21.314
3,zerotrack,5,11,48,0.367,0.188,0.594,0.433,0.720,23.470
4,zerotrack,5,aa,185,0.562,0.400,0.776,0.665,0.827,14.680
0,zerotrack,10,00,35,0.483,0.314,0.739,0.617,0.815,12.022
1,zerotrack,10,10,3,0.300,0.000,0.700,0.533,0.689,21.784
2,zerotrack,10,01,69,0.417,0.116,0.683,0.478,0.732,27.483
3,zerotrack,10,11,63,0.213,0.032,0.538,0.413,0.667,28.514
4,zerotrack,10,aa,170,0.353,0.124,0.641,0.484,0.724,24.581
0,deepAR,2,00,98,0.500,0.337,0.826,0.773,0.874,9.764
1,deepAR,2,10,3,0.000,0.000,0.500,0.400,0.666,26.617
2,deepAR,2,01,48,0.417,0.250,0.729,0.637,0.774,20.097
3,deepAR,2,11,39,0.397,0.333,0.626,0.554,0.727,22.207
4,deepAR,2,aa,188,0.449,0.309,0.754,0.687,0.815,15.252
0,deepAR,5,00,75,0.371,0.147,0.724,0.584,0.799,17.962
1,deepAR,5,10,3,0.067,0.000,0.560,0.333,0.638,25.679
2,deepAR,5,01,59,0.346,0.051,0.675,0.468,0.715,29.007
3,deepAR,5,11,48,0.304,0.146,0.522,0.342,0.641,32.429
4,deepAR,5,aa,185,0.341,0.114,0.653,0.480,0.729,25.363
0,deepAR,10,00,35,0.457,0.314,0.695,0.571,0.725,26.133
1,deepAR,10,10,3,0.167,0.000,0.600,0.467,0.678,21.664
2,deepAR,10,01,69,0.336,0.072,0.643,0.423,0.684,32.494
3,deepAR,10,11,63,0.213,0.079,0.494,0.387,0.590,38.379
4,deepAR,10,aa,170,0.312,0.124,0.598,0.441,0.657,33.174
0,naive,2,00,98,0.883,0.847,0.932,0.918,0.939,5.555
1,naive,2,10,3,0.500,0.333,0.833,0.733,0.858,7.634
2,naive,2,01,48,0.562,0.417,0.792,0.717,0.831,15.976
3,naive,2,11,39,0.551,0.462,0.697,0.621,0.761,19.712
4,naive,2,aa,188,0.726,0.649,0.846,0.802,0.873,11.186
0,naive,5,00,75,0.771,0.640,0.860,0.803,0.868,13.545
1,naive,5,10,3,0.400,0.333,0.680,0.400,0.644,30.505
2,naive,5,01,59,0.478,0.186,0.740,0.580,0.763,24.542
3,naive,5,11,48,0.338,0.125,0.532,0.325,0.625,35.079
4,naive,5,aa,185,0.559,0.357,0.734,0.601,0.768,22.914
0,naive,10,00,35,0.514,0.257,0.715,0.634,0.663,37.799
1,naive,10,10,3,0.200,0.000,0.473,0.267,0.422,65.581
2,naive,10,01,69,0.428,0.145,0.684,0.513,0.718,29.174
3,naive,10,11,63,0.230,0.063,0.479,0.356,0.566,41.738
4,naive,10,aa,170,0.368,0.135,0.611,0.475,0.645,36.248
0,zero,2,00,98,0.944,0.939,0.984,0.980,0.988,0.596
1,zero,2,10,3,0.833,0.667,1.000,1.000,0.954,2.146
2,zero,2,01,48,0.573,0.438,0.790,0.721,0.842,15.937
3,zero,2,11,39,0.667,0.590,0.797,0.744,0.880,9.893
4,zero,2,aa,188,0.790,0.734,0.896,0.865,0.928,6.466
0,zero,5,00,75,0.941,0.920,0.972,0.957,0.985,0.382
1,zero,5,10,3,0.667,0.333,0.960,0.933,0.910,3.944
2,zero,5,01,59,0.488,0.237,0.745,0.597,0.794,22.463
3,zero,5,11,48,0.454,0.250,0.652,0.500,0.776,19.428
4,zero,5,aa,185,0.666,0.519,0.816,0.723,0.869,12.423
0,zero,10,00,35,0.866,0.829,0.946,0.903,0.970,0.794
1,zero,10,10,3,0.500,0.333,0.947,0.933,0.890,4.780
2,zero,10,01,69,0.487,0.203,0.716,0.562,0.775,24.801
3,zero,10,11,63,0.305,0.079,0.602,0.521,0.712,24.610
4,zero,10,aa,170,0.498,0.288,0.725,0.624,0.794,19.434
