,runid,acc,mae,rmse,r2
0,fulloracle,0.676,3.739,31.018,0.138
1,laponly,0.680,3.811,32.694,0.086
2,notracklap,0.662,3.788,31.410,0.104
3,fullpred,0.640,4.158,40.005,-0.336
4,curtrack,0.680,3.739,31.243,0.089
5,zerotrack,0.658,3.923,34.419,0.099
6,predtrack,0.667,3.730,31.288,0.118
7,predpit,0.617,4.207,39.405,-0.293
8,deepAR,0.608,4.315,43.514,-0.684
9,naive,0.158,4.545,46.419,0.000
