,runid,acc,mae,rmse,r2
0,fulloracle,0.635,4.185,35.176,0.338
1,laponly,0.622,4.342,38.559,0.324
2,notracklap,0.644,4.081,36.640,0.227
3,fullpred,0.563,6.023,73.986,-0.001
4,curtrack,0.509,9.329,152.284,0.016
5,zerotrack,0.577,4.982,51.514,0.024
6,predtrack,0.608,5.698,72.554,0.080
7,predpit,0.577,5.793,63.811,0.053
8,deepAR,0.450,10.293,153.743,0.001
9,naive,0.158,4.545,46.419,0.000
