,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.628,0.454,0.809,0.709,0.851,13.430
0,predtrack,10,00,35,0.714,0.743,0.918,0.891,0.943,1.941
1,predtrack,10,10,3,0.500,0.333,0.927,0.933,0.874,5.433
2,predtrack,10,01,69,0.428,0.116,0.704,0.551,0.758,26.244
3,predtrack,10,11,63,0.284,0.143,0.594,0.498,0.684,27.089
4,predtrack,10,aa,170,0.435,0.259,0.711,0.608,0.770,21.186
0,predpit,2,00,98,0.888,0.857,0.955,0.949,0.970,2.059
1,predpit,2,10,3,0.667,0.333,0.700,0.533,0.776,16.844
2,predpit,2,01,48,0.562,0.438,0.794,0.717,0.848,14.667
3,predpit,2,11,39,0.654,0.564,0.774,0.713,0.856,10.451
4,predpit,2,aa,188,0.753,0.681,0.872,0.834,0.912,7.255
0,predpit,5,00,75,0.845,0.813,0.928,0.901,0.950,3.556
1,predpit,5,10,3,0.467,0.333,0.480,0.400,0.710,24.073
2,predpit,5,01,59,0.498,0.271,0.742,0.573,0.795,21.705
3,predpit,5,11,48,0.425,0.188,0.611,0.442,0.745,21.705
4,predpit,5,aa,185,0.619,0.470,0.779,0.669,0.843,14.385
0,predpit,10,00,35,0.723,0.686,0.883,0.846,0.898,6.401
1,predpit,10,10,3,0.433,0.333,0.573,0.533,0.708,23.312
2,predpit,10,01,69,0.433,0.159,0.713,0.562,0.767,25.095
3,predpit,10,11,63,0.317,0.111,0.570,0.470,0.684,27.490
4,predpit,10,aa,170,0.450,0.253,0.693,0.586,0.762,22.102
0,curtrack,2,00,98,0.898,0.867,0.968,0.949,0.974,1.959
1,curtrack,2,10,3,0.500,0.000,0.900,0.867,0.850,6.906
2,curtrack,2,01,48,0.573,0.438,0.804,0.729,0.862,13.244
3,curtrack,2,11,39,0.538,0.462,0.738,0.662,0.839,11.839
4,curtrack,2,aa,188,0.734,0.660,0.878,0.832,0.915,6.969
0,curtrack,5,00,75,0.848,0.800,0.932,0.915,0.944,5.628
