,runid,acc,mae,rmse,r2
0,fulloracle,0.527,7.288,91.117,0.081
1,laponly,0.523,7.347,90.149,0.101
2,notracklap,0.523,7.252,88.595,0.100
3,fullpred,0.455,9.288,128.126,-0.023
4,curtrack,0.428,10.703,165.703,-0.029
5,zerotrack,0.459,8.518,110.500,-0.033
6,predtrack,0.441,8.883,122.667,0.024
7,predpit,0.505,7.901,99.766,0.038
8,deepAR,0.473,8.959,125.860,-0.067
9,naive,0.158,4.545,46.419,0.000
