,runid,acc,mae,rmse,r2
0,fulloracle,0.626,4.207,42.297,-0.689
1,laponly,0.631,4.189,42.532,-0.682
2,notracklap,0.640,4.149,42.266,-0.693
3,fullpred,0.631,4.180,42.261,-0.705
4,curtrack,0.649,4.221,42.230,-0.687
5,zerotrack,0.626,4.189,42.550,-0.729
6,predtrack,0.658,4.153,42.748,-0.711
7,predpit,0.640,4.158,42.365,-0.659
8,deepAR,0.644,4.027,39.270,-0.647
9,naive,0.158,4.545,46.419,0.000
