,runid,acc,mae,rmse,r2
0,fulloracle,0.698,3.342,26.288,0.238
1,laponly,0.698,3.486,27.667,0.228
2,notracklap,0.685,3.545,28.455,0.106
3,fullpred,0.689,3.734,33.752,-0.075
4,curtrack,0.698,3.833,35.887,0.339
5,zerotrack,0.680,4.104,40.464,-0.174
6,predtrack,0.689,3.680,31.896,0.051
7,predpit,0.698,3.604,29.748,0.128
8,deepAR,0.550,6.509,83.212,-0.046
9,naive,0.158,4.545,46.419,0.000
