,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,88,0.380,0.239,0.682,0.557,0.709,21.785
4,fullpred,10,aa,170,0.432,0.282,0.654,0.481,0.649,32.911
0,predtrack,2,00,64,0.922,0.906,0.981,0.978,0.970,1.061
1,predtrack,2,10,24,0.792,0.792,0.958,0.958,0.942,2.057
2,predtrack,2,01,57,0.561,0.439,0.767,0.702,0.795,17.767
3,predtrack,2,11,43,0.605,0.512,0.844,0.814,0.861,8.404
4,predtrack,2,aa,188,0.723,0.660,0.882,0.854,0.888,7.933
0,predtrack,5,00,40,0.925,0.925,0.983,0.980,0.960,1.635
1,predtrack,5,10,13,0.538,0.538,0.938,0.923,0.922,3.451
2,predtrack,5,01,65,0.455,0.262,0.689,0.523,0.686,29.239
3,predtrack,5,11,67,0.493,0.373,0.779,0.687,0.792,14.442
4,predtrack,5,aa,185,0.576,0.465,0.803,0.709,0.800,16.099
0,predtrack,10,00,9,0.889,0.889,0.984,0.978,0.909,3.637
1,predtrack,10,10,6,0.700,0.667,1.000,1.000,0.895,4.436
2,predtrack,10,01,67,0.488,0.239,0.642,0.382,0.624,38.485
3,predtrack,10,11,88,0.370,0.205,0.692,0.577,0.718,21.335
4,predtrack,10,aa,170,0.456,0.271,0.699,0.536,0.697,26.561
0,predpit,2,00,64,0.859,0.828,0.914,0.894,0.905,9.403
1,predpit,2,10,24,0.875,0.833,0.938,0.917,0.914,5.692
2,predpit,2,01,57,0.588,0.456,0.789,0.716,0.823,15.103
3,predpit,2,11,43,0.733,0.674,0.888,0.842,0.891,7.145
4,predpit,2,aa,188,0.750,0.681,0.873,0.831,0.878,10.141
0,predpit,5,00,40,0.850,0.775,0.877,0.825,0.830,18.649
1,predpit,5,10,13,0.615,0.615,0.843,0.800,0.771,26.775
2,predpit,5,01,65,0.474,0.292,0.678,0.505,0.684,29.875
3,predpit,5,11,67,0.564,0.433,0.771,0.651,0.786,16.967
4,predpit,5,aa,185,0.598,0.470,0.766,0.648,0.759,22.555
0,predpit,10,00,9,0.533,0.333,0.722,0.444,0.550,56.414
1,predpit,10,10,6,0.717,0.667,0.993,0.933,0.884,9.275
2,predpit,10,01,67,0.425,0.284,0.566,0.337,0.546,49.027
3,predpit,10,11,88,0.458,0.295,0.690,0.557,0.724,21.035
4,predpit,10,aa,170,0.458,0.306,0.654,0.478,0.650,33.525
0,curtrack,2,00,64,0.883,0.844,0.966,0.947,0.949,3.690
1,curtrack,2,10,24,0.771,0.750,0.900,0.850,0.886,8.550
2,curtrack,2,01,57,0.561,0.439,0.791,0.712,0.824,14.968
3,curtrack,2,11,43,0.570,0.488,0.826,0.767,0.831,11.502
4,curtrack,2,aa,188,0.699,0.628,0.872,0.822,0.876,9.516
0,curtrack,5,00,40,0.920,0.900,0.952,0.930,0.937,5.149
1,curtrack,5,10,13,0.508,0.462,0.735,0.554,0.696,35.006
2,curtrack,5,01,65,0.477,0.277,0.689,0.526,0.697,28.327
3,curtrack,5,11,67,0.448,0.328,0.713,0.582,0.751,19.388
4,curtrack,5,aa,185,0.564,0.443,0.758,0.636,0.768,20.548
0,curtrack,10,00,9,0.833,0.667,0.953,0.933,0.898,6.533
1,curtrack,10,10,6,0.767,0.667,0.833,0.800,0.759,28.759
2,curtrack,10,01,67,0.464,0.224,0.633,0.367,0.626,37.989
3,curtrack,10,11,88,0.334,0.170,0.640,0.498,0.679,26.403
4,curtrack,10,aa,170,0.427,0.235,0.661,0.480,0.673,30.001
0,zerotrack,2,00,64,0.898,0.875,0.981,0.978,0.966,1.704
1,zerotrack,2,10,24,0.812,0.792,0.950,0.942,0.914,5.437
2,zerotrack,2,01,57,0.570,0.439,0.788,0.709,0.824,15.028
3,zerotrack,2,11,43,0.593,0.512,0.851,0.828,0.869,7.999
4,zerotrack,2,aa,188,0.718,0.649,0.889,0.857,0.894,7.660
0,zerotrack,5,00,40,1.000,1.000,0.980,0.980,0.965,1.443
1,zerotrack,5,10,13,0.662,0.615,0.902,0.892,0.892,6.764
2,zerotrack,5,01,65,0.489,0.292,0.695,0.526,0.706,27.244
3,zerotrack,5,11,67,0.549,0.448,0.804,0.710,0.827,11.973
4,zerotrack,5,aa,185,0.634,0.524,0.811,0.717,0.819,14.696
0,zerotrack,10,00,9,0.800,0.778,1.000,1.000,0.927,2.851
1,zerotrack,10,10,6,0.683,0.667,0.930,0.933,0.837,15.962
2,zerotrack,10,01,67,0.475,0.224,0.646,0.379,0.637,36.537
3,zerotrack,10,11,88,0.439,0.330,0.725,0.618,0.748,18.530
4,zerotrack,10,aa,170,0.481,0.324,0.715,0.555,0.717,24.706
0,deepAR,2,00,64,0.828,0.781,0.914,0.897,0.880,11.065
