,runid,acc,mae,rmse,r2
0,fulloracle,0.559,5.509,60.545,0.233
1,laponly,0.577,5.239,57.590,0.270
2,notracklap,0.572,5.374,57.878,0.268
3,fullpred,0.486,8.266,110.527,0.011
4,curtrack,0.468,9.730,151.468,0.001
5,zerotrack,0.500,7.050,84.365,-0.004
6,predtrack,0.545,6.865,81.171,0.127
7,predpit,0.527,6.698,77.590,0.038
8,deepAR,0.446,10.613,162.252,-0.002
9,naive,0.158,4.545,46.419,0.000
