,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.602,0.497,0.799,0.706,0.799,16.772
0,predtrack,10,00,9,0.889,0.889,0.973,0.956,0.906,3.987
1,predtrack,10,10,6,0.717,0.667,0.983,0.967,0.906,3.815
2,predtrack,10,01,67,0.476,0.224,0.640,0.379,0.624,38.498
3,predtrack,10,11,88,0.414,0.273,0.691,0.591,0.708,21.914
4,predtrack,10,aa,170,0.474,0.300,0.696,0.540,0.693,26.863
0,predpit,2,00,64,0.852,0.828,0.906,0.878,0.876,13.687
1,predpit,2,10,24,0.812,0.792,0.854,0.825,0.838,14.281
2,predpit,2,01,57,0.588,0.456,0.781,0.712,0.815,15.905
3,predpit,2,11,43,0.709,0.628,0.856,0.809,0.865,9.705
4,predpit,2,aa,188,0.734,0.665,0.850,0.805,0.850,13.525
0,predpit,5,00,40,0.840,0.800,0.869,0.805,0.821,20.818
1,predpit,5,10,13,0.600,0.615,0.791,0.769,0.717,36.996
2,predpit,5,01,65,0.477,0.308,0.676,0.508,0.676,31.365
3,predpit,5,11,67,0.555,0.418,0.759,0.651,0.767,19.629
4,predpit,5,aa,185,0.592,0.476,0.756,0.642,0.743,25.230
0,predpit,10,00,9,0.611,0.333,0.713,0.400,0.548,55.278
1,predpit,10,10,6,0.717,0.667,0.880,0.833,0.827,22.206
2,predpit,10,01,67,0.425,0.224,0.564,0.325,0.544,49.464
3,predpit,10,11,88,0.475,0.330,0.682,0.559,0.699,24.747
4,predpit,10,aa,170,0.471,0.300,0.644,0.468,0.635,36.015
0,curtrack,2,00,64,0.891,0.875,0.967,0.947,0.955,3.099
1,curtrack,2,10,24,0.792,0.750,0.912,0.867,0.889,8.004
2,curtrack,2,01,57,0.570,0.439,0.795,0.723,0.828,14.715
3,curtrack,2,11,43,0.523,0.419,0.763,0.684,0.792,16.970
4,curtrack,2,aa,188,0.697,0.622,0.861,0.809,0.871,10.420
0,curtrack,5,00,40,0.930,0.925,0.951,0.935,0.934,6.003
1,curtrack,5,10,13,0.462,0.462,0.723,0.585,0.693,36.030
2,curtrack,5,01,65,0.480,0.292,0.687,0.517,0.700,28.175
3,curtrack,5,11,67,0.451,0.299,0.719,0.603,0.734,21.412
4,curtrack,5,aa,185,0.565,0.443,0.758,0.643,0.762,21.484
0,curtrack,10,00,9,0.789,0.556,0.902,0.867,0.856,12.423
1,curtrack,10,10,6,0.700,0.667,0.730,0.667,0.668,45.657
2,curtrack,10,01,67,0.463,0.209,0.631,0.367,0.629,37.685
3,curtrack,10,11,88,0.331,0.159,0.633,0.489,0.661,27.810
4,curtrack,10,aa,170,0.420,0.218,0.650,0.467,0.659,31.517
0,zerotrack,2,00,64,0.883,0.859,0.980,0.975,0.972,1.213
1,zerotrack,2,10,24,0.854,0.833,0.950,0.950,0.947,2.487
2,zerotrack,2,01,57,0.570,0.439,0.793,0.716,0.827,14.832
3,zerotrack,2,11,43,0.674,0.628,0.884,0.851,0.892,6.797
4,zerotrack,2,aa,188,0.737,0.676,0.897,0.865,0.907,6.782
0,zerotrack,5,00,40,1.000,1.000,0.985,0.985,0.971,0.953
1,zerotrack,5,10,13,0.662,0.615,0.926,0.923,0.920,4.438
2,zerotrack,5,01,65,0.483,0.308,0.695,0.523,0.707,27.303
3,zerotrack,5,11,67,0.609,0.493,0.822,0.734,0.839,10.930
4,zerotrack,5,aa,185,0.653,0.546,0.820,0.728,0.827,14.069
0,zerotrack,10,00,9,0.833,0.889,0.993,1.000,0.913,3.957
1,zerotrack,10,10,6,0.683,0.667,0.933,0.933,0.888,9.460
2,zerotrack,10,01,67,0.484,0.224,0.646,0.385,0.638,36.328
3,zerotrack,10,11,88,0.459,0.364,0.721,0.611,0.748,18.200
4,zerotrack,10,aa,170,0.496,0.347,0.714,0.554,0.718,24.282
0,deepAR,2,00,64,0.680,0.562,0.814,0.744,0.778,19.694
1,deepAR,2,10,24,0.562,0.458,0.662,0.592,0.703,27.662
2,deepAR,2,01,57,0.430,0.281,0.732,0.646,0.717,22.866
3,deepAR,2,11,43,0.395,0.302,0.616,0.544,0.655,30.996
4,deepAR,2,aa,188,0.524,0.404,0.724,0.649,0.722,24.258
0,deepAR,5,00,40,0.555,0.075,0.752,0.550,0.730,24.018
1,deepAR,5,10,13,0.308,0.000,0.671,0.523,0.558,49.900
2,deepAR,5,01,65,0.323,0.092,0.597,0.360,0.573,39.049
3,deepAR,5,11,67,0.385,0.254,0.562,0.421,0.602,35.823
4,deepAR,5,aa,185,0.395,0.141,0.623,0.435,0.616,35.393
0,deepAR,10,00,9,0.411,0.111,0.740,0.556,0.568,46.870
1,deepAR,10,10,6,0.683,0.500,0.730,0.667,0.704,30.405
2,deepAR,10,01,67,0.336,0.104,0.569,0.322,0.544,44.960
3,deepAR,10,11,88,0.295,0.114,0.523,0.375,0.505,46.658
4,deepAR,10,aa,170,0.331,0.124,0.560,0.374,0.530,45.426
0,naive,2,00,64,0.828,0.797,0.933,0.916,0.882,12.292
1,naive,2,10,24,0.708,0.667,0.812,0.783,0.755,25.183
2,naive,2,01,57,0.588,0.491,0.767,0.691,0.768,19.609
3,naive,2,11,43,0.581,0.465,0.749,0.693,0.747,24.059
4,naive,2,aa,188,0.684,0.612,0.825,0.780,0.800,18.848
0,naive,5,00,40,0.880,0.850,0.914,0.885,0.855,14.004
1,naive,5,10,13,0.369,0.231,0.668,0.508,0.571,53.792
2,naive,5,01,65,0.446,0.262,0.673,0.502,0.637,33.414
3,naive,5,11,67,0.463,0.299,0.642,0.501,0.620,36.781
4,naive,5,aa,185,0.541,0.400,0.714,0.585,0.674,31.869
