,runid,acc,mae,rmse,r2
0,fulloracle,0.536,8.605,120.234,0.128
1,laponly,0.504,9.375,140.343,0.111
2,notracklap,0.520,9.407,140.746,0.106
3,fullpred,0.464,8.923,130.456,0.072
4,curtrack,0.480,8.649,123.085,0.079
5,zerotrack,0.476,8.177,113.024,0.099
6,predtrack,0.508,7.669,101.944,0.135
7,predpit,0.480,10.024,157.403,0.056
8,deepAR,0.468,9.032,131.121,0.049
9,naive,0.210,4.040,41.460,0.000
