,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
3,fullpred,10,11,88,0.566,0.511,0.739,0.645,0.777,15.727
4,fullpred,10,aa,170,0.569,0.453,0.730,0.587,0.733,22.830
0,predtrack,2,00,64,0.906,0.906,0.991,0.984,0.978,0.674
1,predtrack,2,10,24,0.938,0.875,0.971,0.967,0.963,1.521
2,predtrack,2,01,57,0.561,0.456,0.753,0.688,0.786,18.859
3,predtrack,2,11,43,0.779,0.698,0.919,0.893,0.920,5.660
4,predtrack,2,aa,188,0.777,0.718,0.899,0.871,0.905,7.436
0,predtrack,5,00,40,0.975,0.975,1.000,1.000,0.971,1.201
1,predtrack,5,10,13,0.692,0.692,0.938,0.923,0.956,1.766
2,predtrack,5,01,65,0.486,0.292,0.682,0.514,0.695,28.495
3,predtrack,5,11,67,0.666,0.582,0.844,0.761,0.859,10.263
4,predtrack,5,aa,185,0.671,0.573,0.828,0.737,0.832,14.112
0,predtrack,10,00,9,0.889,0.889,1.000,1.000,0.914,3.915
1,predtrack,10,10,6,0.717,0.667,1.000,1.000,0.935,3.626
2,predtrack,10,01,67,0.513,0.254,0.653,0.397,0.635,36.873
3,predtrack,10,11,88,0.575,0.500,0.741,0.632,0.778,15.907
4,predtrack,10,aa,170,0.572,0.429,0.729,0.572,0.735,23.101
0,predpit,2,00,64,0.906,0.906,0.984,0.972,0.977,0.673
1,predpit,2,10,24,0.958,0.917,0.971,0.967,0.961,1.659
2,predpit,2,01,57,0.561,0.456,0.756,0.691,0.782,19.059
3,predpit,2,11,43,0.767,0.674,0.921,0.893,0.918,5.711
4,predpit,2,aa,188,0.777,0.718,0.899,0.868,0.902,7.526
0,predpit,5,00,40,0.960,0.950,0.998,0.995,0.969,1.266
1,predpit,5,10,13,0.692,0.692,0.926,0.908,0.951,2.281
2,predpit,5,01,65,0.492,0.308,0.688,0.532,0.691,28.659
3,predpit,5,11,67,0.669,0.582,0.842,0.758,0.859,10.324
4,predpit,5,aa,185,0.671,0.573,0.827,0.741,0.830,14.242
0,predpit,10,00,9,0.822,0.667,0.987,0.956,0.897,4.665
1,predpit,10,10,6,0.717,0.667,0.977,0.967,0.921,5.322
2,predpit,10,01,67,0.521,0.299,0.656,0.427,0.635,36.315
3,predpit,10,11,88,0.577,0.511,0.741,0.655,0.777,15.762
4,predpit,10,aa,170,0.573,0.441,0.729,0.592,0.732,22.906
0,curtrack,2,00,64,0.914,0.906,0.991,0.984,0.978,0.683
1,curtrack,2,10,24,0.917,0.833,0.971,0.967,0.965,1.425
2,curtrack,2,01,57,0.570,0.474,0.753,0.691,0.784,18.974
3,curtrack,2,11,43,0.767,0.674,0.923,0.898,0.919,5.699
4,curtrack,2,aa,188,0.777,0.713,0.901,0.873,0.904,7.470
0,curtrack,5,00,40,0.975,0.975,0.999,0.995,0.970,1.204
1,curtrack,5,10,13,0.692,0.692,0.938,0.923,0.954,2.008
2,curtrack,5,01,65,0.489,0.323,0.684,0.511,0.692,28.712
3,curtrack,5,11,67,0.654,0.522,0.844,0.761,0.859,10.309
4,curtrack,5,aa,185,0.668,0.562,0.828,0.735,0.831,14.223
0,curtrack,10,00,9,0.889,0.889,1.000,1.000,0.912,3.930
1,curtrack,10,10,6,0.717,0.667,1.000,1.000,0.928,4.159
2,curtrack,10,01,67,0.522,0.269,0.659,0.406,0.636,36.552
3,curtrack,10,11,88,0.575,0.500,0.742,0.650,0.778,15.901
4,curtrack,10,aa,170,0.576,0.435,0.732,0.585,0.734,22.992
0,zerotrack,2,00,64,0.906,0.906,0.991,0.984,0.978,0.664
1,zerotrack,2,10,24,0.917,0.833,0.971,0.967,0.961,1.668
2,zerotrack,2,01,57,0.561,0.456,0.753,0.681,0.784,19.017
3,zerotrack,2,11,43,0.744,0.628,0.912,0.874,0.916,5.928
4,zerotrack,2,aa,188,0.766,0.697,0.898,0.865,0.903,7.560
0,zerotrack,5,00,40,0.975,0.975,0.997,0.995,0.970,1.270
1,zerotrack,5,10,13,0.708,0.692,0.935,0.908,0.953,2.009
2,zerotrack,5,01,65,0.489,0.308,0.682,0.514,0.693,28.639
3,zerotrack,5,11,67,0.669,0.567,0.843,0.764,0.860,10.252
4,zerotrack,5,aa,185,0.675,0.573,0.826,0.736,0.831,14.191
0,zerotrack,10,00,9,0.889,0.889,1.000,1.000,0.912,3.909
1,zerotrack,10,10,6,0.717,0.667,0.990,1.000,0.926,4.594
2,zerotrack,10,01,67,0.521,0.284,0.657,0.403,0.635,36.625
3,zerotrack,10,11,88,0.566,0.466,0.740,0.639,0.777,15.929
4,zerotrack,10,aa,170,0.571,0.424,0.730,0.578,0.733,23.049
0,deepAR,2,00,64,0.898,0.891,0.989,0.981,0.972,1.010
1,deepAR,2,10,24,0.958,0.958,0.967,0.958,0.959,1.754
