,runid,acc,mae,rmse,r2
0,fulloracle,0.631,4.072,32.676,0.344
1,laponly,0.622,4.131,36.509,0.327
2,notracklap,0.653,4.027,34.207,0.297
3,fullpred,0.563,5.545,65.320,-0.006
4,curtrack,0.509,9.072,146.730,0.018
5,zerotrack,0.563,5.140,55.275,0.022
6,predtrack,0.635,4.901,57.459,0.116
7,predpit,0.613,4.680,45.536,0.054
8,deepAR,0.486,8.230,104.626,-0.035
9,naive,0.158,4.545,46.419,0.000
