,runid,acc,mae,rmse,r2
0,fulloracle,0.743,3.117,24.063,0.388
1,laponly,0.739,3.221,25.203,0.377
2,notracklap,0.712,3.203,24.950,0.357
3,fullpred,0.671,3.757,34.243,0.081
4,curtrack,0.662,3.802,34.216,0.278
5,zerotrack,0.712,3.698,33.149,0.250
6,predtrack,0.703,3.500,30.149,0.293
7,predpit,0.694,3.545,30.842,0.084
8,deepAR,0.635,4.914,48.887,-0.063
9,naive,0.158,4.545,46.419,0.000
