,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
4,predtrack,5,aa,185,0.729,0.578,0.855,0.784,0.879,9.475
0,predtrack,10,00,35,0.866,0.829,0.946,0.903,0.970,0.721
1,predtrack,10,10,3,0.500,0.333,0.947,0.933,0.890,4.771
2,predtrack,10,01,69,0.670,0.406,0.810,0.681,0.827,15.042
3,predtrack,10,11,63,0.451,0.206,0.717,0.657,0.749,17.996
4,predtrack,10,aa,170,0.626,0.418,0.806,0.722,0.828,13.007
0,predpit,2,00,98,0.949,0.939,0.986,0.982,0.985,0.521
1,predpit,2,10,3,0.833,0.667,1.000,1.000,0.949,2.410
2,predpit,2,01,48,0.562,0.438,0.777,0.708,0.825,16.724
3,predpit,2,11,39,0.718,0.641,0.810,0.738,0.856,10.191
4,predpit,2,aa,188,0.801,0.745,0.896,0.862,0.917,6.694
0,predpit,5,00,75,0.917,0.867,0.970,0.955,0.982,0.498
1,predpit,5,10,3,0.667,0.333,0.960,0.933,0.903,4.448
2,predpit,5,01,59,0.505,0.220,0.740,0.583,0.774,23.825
3,predpit,5,11,48,0.496,0.271,0.649,0.492,0.727,22.634
4,predpit,5,aa,185,0.672,0.497,0.813,0.716,0.848,13.745
0,predpit,10,00,35,0.857,0.800,0.946,0.903,0.966,0.804
1,predpit,10,10,3,0.500,0.333,0.947,0.933,0.880,5.131
2,predpit,10,01,69,0.503,0.217,0.739,0.623,0.775,23.227
3,predpit,10,11,63,0.335,0.111,0.629,0.571,0.693,24.775
4,predpit,10,aa,170,0.514,0.300,0.744,0.667,0.786,18.865
0,curtrack,2,00,98,0.949,0.939,0.985,0.980,0.986,0.560
1,curtrack,2,10,3,0.833,0.667,1.000,1.000,0.948,2.371
2,curtrack,2,01,48,0.583,0.438,0.779,0.704,0.827,16.372
3,curtrack,2,11,39,0.718,0.641,0.808,0.744,0.853,10.323
4,curtrack,2,aa,188,0.806,0.745,0.896,0.861,0.917,6.651
0,curtrack,5,00,75,0.920,0.880,0.971,0.955,0.982,0.474
1,curtrack,5,10,3,0.667,0.333,0.960,0.933,0.907,4.118
2,curtrack,5,01,59,0.512,0.254,0.737,0.586,0.769,24.390
3,curtrack,5,11,48,0.475,0.250,0.645,0.483,0.722,23.246
4,curtrack,5,aa,185,0.670,0.508,0.811,0.715,0.846,14.068
0,curtrack,10,00,35,0.866,0.829,0.946,0.903,0.969,0.715
1,curtrack,10,10,3,0.500,0.333,0.947,0.933,0.891,4.752
2,curtrack,10,01,69,0.506,0.217,0.722,0.554,0.753,26.335
3,curtrack,10,11,63,0.321,0.048,0.609,0.514,0.662,28.905
4,curtrack,10,aa,170,0.511,0.282,0.730,0.618,0.766,21.632
0,zerotrack,2,00,98,0.949,0.939,0.985,0.980,0.985,0.587
1,zerotrack,2,10,3,0.833,0.667,1.000,1.000,0.949,2.295
2,zerotrack,2,01,48,0.583,0.438,0.781,0.704,0.825,16.645
3,zerotrack,2,11,39,0.705,0.641,0.810,0.738,0.856,10.147
4,zerotrack,2,aa,188,0.803,0.745,0.897,0.860,0.917,6.697
0,zerotrack,5,00,75,0.917,0.880,0.970,0.952,0.982,0.480
1,zerotrack,5,10,3,0.667,0.333,0.947,0.933,0.900,4.585
2,zerotrack,5,01,59,0.512,0.254,0.734,0.586,0.768,24.683
3,zerotrack,5,11,48,0.500,0.271,0.647,0.487,0.724,23.061
4,zerotrack,5,aa,185,0.676,0.514,0.811,0.715,0.846,14.124
0,zerotrack,10,00,35,0.866,0.829,0.946,0.903,0.970,0.718
1,zerotrack,10,10,3,0.500,0.333,0.947,0.933,0.893,4.694
2,zerotrack,10,01,69,0.506,0.217,0.723,0.559,0.751,26.556
3,zerotrack,10,11,63,0.322,0.048,0.606,0.517,0.659,29.283
4,zerotrack,10,aa,170,0.512,0.282,0.729,0.621,0.765,21.861
0,deepAR,2,00,98,0.903,0.888,0.981,0.976,0.983,0.811
1,deepAR,2,10,3,0.833,0.667,1.000,1.000,0.945,2.609
2,deepAR,2,01,48,0.562,0.438,0.779,0.704,0.828,17.049
3,deepAR,2,11,39,0.667,0.590,0.779,0.713,0.864,10.293
4,deepAR,2,aa,188,0.766,0.707,0.888,0.852,0.918,6.953
0,deepAR,5,00,75,0.915,0.880,0.969,0.952,0.978,0.677
1,deepAR,5,10,3,0.667,0.333,0.960,0.933,0.903,4.255
2,deepAR,5,01,59,0.485,0.237,0.741,0.607,0.789,22.443
