,runid,acc,mae,rmse,r2
0,fulloracle,0.492,8.867,119.367,0.167
1,laponly,0.480,9.395,133.750,0.127
2,notracklap,0.496,9.427,138.355,0.126
3,fullpred,0.464,8.766,123.185,0.088
4,curtrack,0.480,8.484,117.903,0.067
5,zerotrack,0.496,7.690,103.044,0.120
6,predtrack,0.500,7.323,96.508,0.167
7,predpit,0.500,9.887,151.532,0.072
8,deepAR,0.480,10.403,167.710,0.050
9,naive,0.210,4.040,41.460,0.000
