,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lasso,ridge,rf,svr,xgb
0,stage0,153,652,"+:221,0:167,-:264",4.7477795908134555,5.870429231324249,6.158315242480436,4.852986279790042,4.960881785914202,4.975656151815989,4.760140845588085,5.130540579017229
0,stage1,288,517,"+:186,0:136,-:195",4.682987028044771,5.526301532846013,6.856642009893584,4.452702218477559,4.6906667145689225,4.549374093451355,4.77854856412988,4.92372466178849
0,stage2,421,384,"+:140,0:112,-:132",4.903761311483258,5.681357594945354,7.0517063537841675,4.742791690106495,4.619029596222908,4.636804277328298,4.997687911270262,4.804185937345077
0,stage3,547,258,"+:91,0:89,-:78",4.734419571834603,5.541856242581209,7.011065451105839,4.760917395690168,4.867946882907501,4.61563764313374,4.821913906017034,5.11827230756498
0,stage4,657,148,"+:48,0:53,-:47",4.914814890248198,5.646989728279184,6.450434722412754,4.5121239026462305,4.559429402665361,4.432090364602238,4.953116525448629,4.690186285146039
0,stage5,725,80,"+:26,0:29,-:25",5.054700782440045,5.848562283492211,6.650187967268294,4.393868310414048,4.365724255493911,4.487634399101602,5.079438023456584,4.523293890153701
0,stage6,767,38,"+:11,0:13,-:14",3.8525452967042315,4.358174467735937,7.174516304987139,2.740341932997373,2.6761786291563645,3.6459425898416247,3.8605185220037592,2.9199996561845536
0,stage7,789,16,"+:4,0:4,-:8",2.680951323690902,3.045832066676536,5.994789404140899,1.8672828556730154,1.7672076782949555,3.5969092635205575,2.6687242953611126,2.280309486800748
