,runid,trainsize,testsize,testdistribution,lasso,ridge,rf,xgb
0,Phoenix,691,114,"+:38,0:16,-:60",0.13631372610134618,0.14363292043497422,0.11264010317110218,0.2052478437671813
0,Indy500,580,225,"+:82,0:47,-:96",0.16345778525171994,0.24419228127757875,0.11789418387535144,0.09671144379633756
0,Texas,678,127,"+:39,0:34,-:54",0.17967162526802083,0.23514338869693796,0.012865537926027959,0.08040014145851171
0,Iowa,696,109,"+:42,0:28,-:39",0.11779986543629783,0.0493780158247078,-0.5058706779835391,-0.4338402462556328
0,Pocono,679,126,"+:29,0:61,-:36",-9.838180470142332,-13.309896998540518,-1.7897606229236054,-1.7857140711324577
0,Gateway,701,104,"+:34,0:28,-:42",0.3077021083708382,0.3574188345703637,-0.03736020950459085,0.1423152587293416
