,runid,trainsize,testsize,testdistribution,lasso,ridge,rf,xgb
0,stage0,153,652,"+:221,0:167,-:264",4.852986279790042,4.960881785919926,5.019123230817806,5.130540579017229
0,stage1,288,517,"+:186,0:136,-:195",4.683360368892017,4.675763454651489,5.190684791081554,5.534385687172411
0,stage2,421,384,"+:140,0:112,-:132",4.702511781121025,4.629679085944636,5.037207315145674,5.152964727275487
0,stage3,547,258,"+:91,0:89,-:78",4.65980962881606,4.736645921678815,4.670284051750065,4.869057505416389
0,stage4,657,148,"+:48,0:53,-:47",5.0083924954856,4.439500473630172,4.716050788271142,4.751164554786601
0,stage5,725,80,"+:26,0:29,-:25",4.612373373710533,4.083630715842146,5.149763145173658,4.754256913035505
0,stage6,767,38,"+:11,0:13,-:14",3.336106500450341,2.9124774670228635,4.114750779404287,5.132882976302337
0,stage7,789,16,"+:4,0:4,-:8",2.8192077818414365,2.15375629240465,2.9124303758964682,3.0240825843763948
