MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
10221,1,103,21,5549.2459,0.0,41.292199999999866
10298,1,104,20,5590.4386,-1.0,41.192700000000514
10395,1,105,19,5633.0646,-1.0,42.625999999999294
10477,1,106,19,5674.8538,0.0,41.789200000000164
10565,1,107,20,5716.8125,1.0,41.958700000000135
10643,1,108,19,5757.8779,-1.0,41.06540000000041
10722,1,109,19,5799.2869,0.0,41.40899999999965
10804,1,110,19,5839.6777,0.0,40.39080000000013
10878,1,111,19,5880.1636,0.0,40.485899999999674
10977,1,112,20,5945.4097,1.0,65.2461000000003
11102,1,113,22,6000.9856,2.0,55.57589999999982
11203,1,114,22,6042.5912,0.0,41.60559999999987
11316,1,115,21,6082.8544,-1.0,40.263200000000325
11397,1,116,21,6122.9696,0.0,40.115200000000186
11474,1,117,21,6163.3665,0.0,40.39689999999973
11552,1,118,21,6203.7582,0.0,40.39170000000013
11632,1,119,20,6244.3516,-1.0,40.59339999999975
11712,1,120,20,6284.6883,0.0,40.33669999999984
11790,1,121,20,6325.4723,0.0,40.78400000000056
11880,1,122,20,6387.2898,0.0,61.8174999999992
11967,1,123,20,6467.5748,0.0,80.28500000000076
12064,1,124,22,6595.2544,2.0,127.67959999999948
12151,1,125,19,6704.1553,-3.0,108.90090000000055
12241,1,126,18,6819.0599,-1.0,114.90459999999985
12339,1,127,18,6941.2813,0.0,122.22139999999945
12427,1,128,18,7052.7296,0.0,111.44830000000002
12499,1,129,18,7119.8240000000005,0.0,67.09440000000086
12571,1,130,18,7164.0987,0.0,44.27469999999903
12651,1,131,18,7219.2316,0.0,55.13290000000052
12742,1,132,21,7307.1505,3.0,87.91889999999967
12828,1,133,20,7394.8718,-1.0,87.72130000000016
12908,1,134,21,7461.1636,1.0,66.29179999999997
12975,1,135,22,7503.7068,1.0,42.54320000000007
13047,1,136,21,7545.5014,-1.0,41.79460000000017
13134,1,137,19,7597.073,-2.0,51.57160000000022
13226,1,138,19,7686.0386,0.0,88.96559999999954
13297,1,139,7,7780.823,-12.0,94.78440000000046
13429,1,140,6,7882.0201,-1.0,101.19709999999941
13538,1,141,6,7987.7678,0.0,105.7476999999999
13588,1,142,6,8066.5459,0.0,78.77810000000045
13686,1,143,6,8131.1978,0.0,64.65189999999984
13781,1,144,6,8215.3988,0.0,84.20100000000093
13871,1,145,6,8304.9106,0.0,89.5117999999984
13958,1,146,6,8411.1883,0.0,106.27770000000055
14043,1,147,6,8497.7751,0.0,86.58680000000095
14127,1,148,12,8542.4456,6.0,44.670499999998356
14210,1,149,14,8584.3509,2.0,41.90530000000035
14291,1,150,14,8624.8588,0.0,40.50790000000052
14366,1,151,14,8665.5696,0.0,40.710800000000745
14440,1,152,14,8705.857,0.0,40.28739999999925
14512,1,153,14,8746.5596,0.0,40.70260000000053
14586,1,154,14,8786.9289,0.0,40.369300000000294
14662,1,155,14,8827.9802,0.0,41.05129999999917
14735,1,156,14,8868.8626,0.0,40.882400000000416
14811,1,157,14,8910.2659,0.0,41.403299999999945
14882,1,158,14,8951.3027,0.0,41.03679999999986
14955,1,159,14,8992.1415,0.0,40.83879999999954
15030,1,160,14,9032.9154,0.0,40.77390000000014
15105,1,161,14,9073.6674,0.0,40.75200000000041
15181,1,162,14,9114.7338,0.0,41.0663999999997
15258,1,163,14,9156.1078,0.0,41.373999999999796
15335,1,164,13,9197.0301,-1.0,40.92230000000018
15414,1,165,13,9237.5774,0.0,40.54730000000018
15493,1,166,10,9278.0274,-3.0,40.45000000000073
15578,1,167,9,9326.5658,-1.0,48.538399999999456
15729,1,168,14,9450.4239,5.0,123.85809999999947
15840,1,169,10,9548.5072,-4.0,98.08330000000024
15934,1,170,10,9651.3173,0.0,102.8101000000006
16017,1,171,10,9722.5555,0.0,71.23819999999978
16087,1,172,11,9764.9324,1.0,42.376899999999296
16153,1,173,10,9805.2641,-1.0,40.33170000000064
16222,1,174,10,9846.3187,0.0,41.05459999999948
16292,1,175,9,9886.966,-1.0,40.64730000000054
16369,1,176,12,9928.9089,3.0,41.94290000000001
16441,1,177,12,9970.3829,0.0,41.47400000000016
16511,1,178,12,10010.9656,0.0,40.58269999999902
16582,1,179,12,10052.049,0.0,41.08340000000135
16668,1,180,11,10128.1038,-1.0,76.05479999999989
16768,1,181,11,10240.4826,0.0,112.37879999999859
16860,1,182,11,10344.5531,0.0,104.07049999999981
16940,1,183,11,10423.2286,0.0,78.6755000000012
17018,1,184,8,10493.1139,-3.0,69.88529999999992
17148,1,185,8,10620.2129,0.0,127.09900000000016
