,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all
70,4,1,15,6,1,0,30,6,0.18181818181818182,0,0,8.857142857142858,14.8698224852071,4,-4.0,3,3.2
71,-3,1,17,0,0,0,33,33,1.0,0,1,33.0,33.0,0,0.0,0,0.0
72,0,1,17,1,1,0,33,30,0.9090909090909091,0,1,32.93333333333333,32.93333333333333,-3,-3.0,0,0.0
73,-4,1,17,2,1,1,33,30,0.9090909090909091,0,1,30.473684210526315,31.979591836734695,0,-1.5,0,0.0
74,-17,1,17,3,1,1,33,26,0.7878787878787878,0,0,27.764705882352942,30.893939393939394,-4,-2.3333333333333335,-4,-0.5
75,12,1,17,4,1,0,33,9,0.2727272727272727,0,0,22.757575757575758,28.181818181818183,-17,-6.0,-13,-4.666666666666667
76,5,1,17,5,1,0,33,21,0.6363636363636364,0,0,24.424242424242426,27.242424242424242,12,-2.4,29,3.75
77,0,1,17,6,1,1,33,26,0.7878787878787878,0,0,21.25,27.066176470588236,5,-1.1666666666666667,-7,1.6
78,-5,1,17,7,1,1,33,26,0.7878787878787878,0,0,26.5,27.057971014492754,0,-1.0,-5,0.5
79,0,1,17,8,1,1,33,21,0.6363636363636364,0,0,23.266666666666666,26.12568306010929,-5,-1.5,-5,-0.2857142857142857
80,0,1,17,9,1,1,33,21,0.6363636363636364,0,0,21.0,26.016042780748663,0,-1.3333333333333333,5,0.375
81,0,1,18,0,0,0,5,5,0.15151515151515152,1,0,5.0,5.0,0,0.0,0,0.0
82,3,1,18,1,1,0,5,5,0.15151515151515152,1,0,5.0,5.0,0,0.0,0,0.0
83,1,1,18,2,1,1,5,8,0.24242424242424243,0,0,8.11111111111111,6.217391304347826,3,1.5,0,0.0
84,-5,1,18,3,1,0,5,9,0.2727272727272727,0,0,12.148936170212766,9.21505376344086,1,1.3333333333333333,-2,0.5
85,11,1,18,4,1,0,5,4,0.12121212121212122,1,0,10.166666666666666,9.48062015503876,-5,-0.25,-6,-1.6666666666666667
86,1,1,19,0,0,0,13,13,0.3939393939393939,0,0,13.0,13.0,0,0.0,0,0.0
87,-7,1,19,1,1,0,13,14,0.42424242424242425,0,0,14.066666666666666,14.066666666666666,1,1.0,0,0.0
88,-3,1,19,2,1,1,13,7,0.21212121212121213,0,0,11.722222222222221,12.787878787878787,-7,-3.0,0,0.0
89,0,1,19,3,1,0,13,4,0.12121212121212122,1,0,16.36842105263158,14.096153846153847,-3,-3.0,4,-2.0
90,13,1,19,4,1,1,13,4,0.12121212121212122,1,0,15.272727272727273,14.379562043795621,0,-2.25,3,-0.3333333333333333
91,-6,1,19,5,1,1,13,17,0.5151515151515151,0,0,11.090909090909092,14.135135135135135,13,0.8,13,3.0
92,8,1,19,6,1,0,13,11,0.3333333333333333,0,0,12.88888888888889,13.844559585492227,-6,-0.3333333333333333,-19,-1.4
93,0,1,20,0,0,0,1,1,0.030303030303030304,1,0,1.0,1.0,0,0.0,0,0.0
94,0,1,20,1,1,0,1,1,0.030303030303030304,1,0,1.0,1.0,0,0.0,0,0.0
95,1,1,20,2,1,1,1,1,0.030303030303030304,1,0,2.8421052631578947,1.7608695652173914,0,0.0,0,0.0
96,0,1,20,3,1,0,1,2,0.06060606060606061,1,0,1.5238095238095237,1.6477272727272727,1,0.3333333333333333,1,0.5
97,0,1,20,4,1,0,1,2,0.06060606060606061,1,0,5.828571428571428,2.83739837398374,0,0.25,-1,0.0
98,0,1,20,5,1,0,1,2,0.06060606060606061,1,0,4.217391304347826,3.21301775147929,0,0.2,0,0.0
99,0,1,21,0,0,0,6,6,0.18181818181818182,0,0,6.0,6.0,0,0.0,0,0.0
100,1,1,21,1,1,0,6,6,0.18181818181818182,0,0,6.933333333333334,6.933333333333334,0,0.0,0,0.0
101,1,1,21,2,1,1,6,7,0.21212121212121213,0,0,5.625,6.478260869565218,1,0.5,0,0.0
102,-2,1,21,3,1,0,6,8,0.24242424242424243,0,0,7.545454545454546,7.0,1,0.6666666666666666,0,0.5
103,18,1,21,4,1,0,6,6,0.18181818181818182,0,0,7.5,7.010869565217392,-2,0.0,-3,-0.6666666666666666
104,-3,1,21,5,1,0,6,24,0.7272727272727273,0,0,24.575757575757574,11.648,18,3.6,20,4.5
105,2,1,21,6,1,0,6,21,0.6363636363636364,0,0,22.833333333333332,14.751445086705202,-3,2.5,-21,-0.6
106,0,1,21,7,1,1,6,23,0.696969696969697,0,0,22.615384615384617,15.301075268817204,2,2.4285714285714284,5,0.3333333333333333
107,-3,1,21,8,1,1,6,23,0.696969696969697,0,0,23.0,15.342245989304812,0,2.125,-2,0.0
108,0,1,22,0,0,0,2,2,0.06060606060606061,1,0,2.0,2.0,0,0.0,0,0.0
109,2,1,22,1,1,0,2,2,0.06060606060606061,1,0,2.074074074074074,2.074074074074074,0,0.0,0,0.0
110,0,1,22,2,1,1,2,4,0.12121212121212122,1,0,5.421052631578948,3.4565217391304346,2,1.0,0,0.0
111,-1,1,22,3,1,0,2,4,0.12121212121212122,1,0,4.186046511627907,3.808988764044944,0,0.6666666666666666,-2,0.0
112,0,1,22,4,1,0,2,3,0.09090909090909091,1,0,6.285714285714286,4.508064516129032,-1,0.25,-1,-0.3333333333333333
113,3,1,22,5,1,0,2,3,0.09090909090909091,1,0,5.085106382978723,4.666666666666667,0,0.2,1,0.0
114,-1,1,23,0,0,0,15,15,0.45454545454545453,0,0,15.0,15.0,0,0.0,0,0.0
115,-1,1,23,1,1,0,15,14,0.42424242424242425,0,0,15.25925925925926,15.25925925925926,-1,-1.0,0,0.0
116,-1,1,23,2,1,1,15,13,0.3939393939393939,0,0,15.157894736842104,15.217391304347826,-1,-1.0,0,0.0
