,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2018,969,159,"+:92,0:44,-:23",0.277,0.459,0.390,0.667,0.742,0.755,0.667,0.686,0.642
0,Indy500-2019,969,184,"+:96,0:42,-:46",0.228,0.467,0.310,0.679,0.658,0.538,0.674,0.701,0.620
