,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2018,969,159,"+:64,0:16,-:79",0.101,0.270,0.453,0.660,0.679,0.654,0.642,0.654,0.566
0,Indy500-2019,969,185,"+:58,0:28,-:99",0.151,0.319,0.400,0.622,0.627,0.638,0.605,0.622,0.568
