,carno,startlap,startrank,endrank,diff,sign,pred_endrank,pred_diff,pred_sign
3366,28,120,3.0,3.0,0.0,0,3.0,0.0,0
3367,29,120,16.0,16.0,0.0,0,16.0,0.0,0
3368,59,120,23.0,22.0,-1.0,-1,22.0,-1.0,-1
3369,60,120,12.0,12.0,0.0,0,12.0,0.0,0
3370,64,120,11.0,11.0,0.0,0,11.0,0.0,0
3371,66,120,19.0,18.0,-1.0,-1,19.0,0.0,0
3372,88,120,17.0,17.0,0.0,0,17.0,0.0,0
3373,98,120,5.0,5.0,0.0,0,5.0,0.0,0
3374,1,121,13.0,13.0,0.0,0,13.0,0.0,0
3375,3,121,4.0,4.0,0.0,0,4.0,0.0,0
3376,4,121,9.0,9.0,0.0,0,9.0,0.0,0
3377,6,121,15.0,15.0,0.0,0,15.0,0.0,0
3378,7,121,27.0,27.0,0.0,0,27.0,0.0,0
3379,9,121,6.0,6.0,0.0,0,6.0,0.0,0
3380,12,121,0.0,0.0,0.0,0,0.0,0.0,0
3381,14,121,19.0,18.0,-1.0,-1,17.0,-2.0,-1
3382,15,121,14.0,14.0,0.0,0,14.0,0.0,0
3383,17,121,26.0,26.0,0.0,0,26.0,0.0,0
3384,18,121,7.0,7.0,0.0,0,7.0,0.0,0
3385,19,121,20.0,19.0,-1.0,-1,19.0,-1.0,-1
3386,20,121,1.0,1.0,0.0,0,1.0,0.0,0
3387,21,121,24.0,24.0,0.0,0,24.0,0.0,0
3388,22,121,2.0,2.0,0.0,0,2.0,0.0,0
3389,23,121,25.0,25.0,0.0,0,25.0,0.0,0
3390,24,121,8.0,8.0,0.0,0,8.0,0.0,0
3391,25,121,21.0,20.0,-1.0,-1,20.0,-1.0,-1
3392,26,121,23.0,22.0,-1.0,-1,22.0,-1.0,-1
3393,27,121,10.0,10.0,0.0,0,10.0,0.0,0
3394,28,121,3.0,3.0,0.0,0,3.0,0.0,0
3395,29,121,16.0,16.0,0.0,0,16.0,0.0,0
3396,59,121,22.0,21.0,-1.0,-1,21.0,-1.0,-1
3397,60,121,12.0,12.0,0.0,0,12.0,0.0,0
3398,64,121,11.0,11.0,0.0,0,11.0,0.0,0
3399,66,121,18.0,17.0,-1.0,-1,18.0,0.0,0
3400,88,121,17.0,23.0,6.0,1,23.0,6.0,1
3401,98,121,5.0,5.0,0.0,0,5.0,0.0,0
3402,1,122,13.0,12.0,-1.0,-1,11.0,-2.0,-1
3403,3,122,4.0,4.0,0.0,0,4.0,0.0,0
3404,4,122,9.0,7.0,-2.0,-1,7.0,-2.0,-1
3405,6,122,15.0,14.0,-1.0,-1,13.0,-2.0,-1
3406,7,122,27.0,27.0,0.0,0,27.0,0.0,0
3407,9,122,6.0,5.0,-1.0,-1,5.0,-1.0,-1
3408,12,122,0.0,0.0,0.0,0,0.0,0.0,0
3409,14,122,19.0,17.0,-2.0,-1,17.0,-2.0,-1
3410,15,122,14.0,13.0,-1.0,-1,12.0,-2.0,-1
3411,17,122,26.0,25.0,-1.0,-1,25.0,-1.0,-1
3412,18,122,7.0,6.0,-1.0,-1,6.0,-1.0,-1
3413,19,122,20.0,18.0,-2.0,-1,18.0,-2.0,-1
3414,20,122,1.0,1.0,0.0,0,1.0,0.0,0
3415,21,122,24.0,23.0,-1.0,-1,24.0,0.0,0
3416,22,122,2.0,2.0,0.0,0,2.0,0.0,0
3417,23,122,25.0,24.0,-1.0,-1,23.0,-2.0,-1
3418,24,122,8.0,20.0,12.0,1,20.0,12.0,1
3419,25,122,21.0,19.0,-2.0,-1,19.0,-2.0,-1
3420,26,122,23.0,22.0,-1.0,-1,22.0,-1.0,-1
3421,27,122,10.0,8.0,-2.0,-1,8.0,-2.0,-1
3422,28,122,3.0,3.0,0.0,0,3.0,0.0,0
3423,29,122,16.0,15.0,-1.0,-1,14.0,-2.0,-1
3424,59,122,22.0,21.0,-1.0,-1,21.0,-1.0,-1
3425,60,122,12.0,11.0,-1.0,-1,10.0,-2.0,-1
3426,64,122,11.0,10.0,-1.0,-1,9.0,-2.0,-1
3427,66,122,18.0,16.0,-2.0,-1,16.0,-2.0,-1
3428,88,122,17.0,26.0,9.0,1,26.0,9.0,1
3429,98,122,5.0,9.0,4.0,1,15.0,10.0,1
3430,1,123,13.0,11.0,-2.0,-1,11.0,-2.0,-1
3431,3,123,4.0,4.0,0.0,0,4.0,0.0,0
3432,4,123,9.0,7.0,-2.0,-1,7.0,-2.0,-1
3433,6,123,15.0,13.0,-2.0,-1,13.0,-2.0,-1
3434,7,123,27.0,27.0,0.0,0,27.0,0.0,0
3435,9,123,6.0,5.0,-1.0,-1,5.0,-1.0,-1
3436,12,123,0.0,0.0,0.0,0,0.0,0.0,0
3437,14,123,18.0,16.0,-2.0,-1,15.0,-3.0,-1
3438,15,123,14.0,12.0,-2.0,-1,12.0,-2.0,-1
3439,17,123,26.0,25.0,-1.0,-1,24.0,-2.0,-1
3440,18,123,7.0,6.0,-1.0,-1,6.0,-1.0,-1
3441,19,123,19.0,17.0,-2.0,-1,17.0,-2.0,-1
3442,20,123,1.0,1.0,0.0,0,1.0,0.0,0
3443,21,123,24.0,22.0,-2.0,-1,23.0,-1.0,-1
3444,22,123,2.0,2.0,0.0,0,2.0,0.0,0
3445,23,123,25.0,23.0,-2.0,-1,22.0,-3.0,-1
3446,24,123,8.0,24.0,16.0,1,25.0,17.0,1
3447,25,123,20.0,18.0,-2.0,-1,18.0,-2.0,-1
3448,26,123,22.0,21.0,-1.0,-1,21.0,-1.0,-1
3449,27,123,10.0,8.0,-2.0,-1,8.0,-2.0,-1
3450,28,123,3.0,3.0,0.0,0,3.0,0.0,0
3451,29,123,16.0,14.0,-2.0,-1,14.0,-2.0,-1
3452,59,123,21.0,19.0,-2.0,-1,19.0,-2.0,-1
3453,60,123,12.0,10.0,-2.0,-1,9.0,-3.0,-1
3454,64,123,11.0,9.0,-2.0,-1,10.0,-1.0,-1
3455,66,123,17.0,15.0,-2.0,-1,16.0,-1.0,-1
3456,88,123,23.0,26.0,3.0,1,26.0,3.0,1
3457,98,123,5.0,20.0,15.0,1,20.0,15.0,1
3458,1,124,12.0,10.0,-2.0,-1,10.0,-2.0,-1
3459,3,124,4.0,3.0,-1.0,-1,3.0,-1.0,-1
3460,4,124,7.0,14.0,7.0,1,20.0,13.0,1
3461,6,124,14.0,12.0,-2.0,-1,12.0,-2.0,-1
3462,7,124,27.0,27.0,0.0,0,27.0,0.0,0
3463,9,124,5.0,5.0,0.0,0,4.0,-1.0,-1
3464,12,124,0.0,0.0,0.0,0,0.0,0.0,0
3465,14,124,17.0,16.0,-1.0,-1,14.0,-3.0,-1
3466,15,124,13.0,11.0,-2.0,-1,11.0,-2.0,-1
3467,17,124,25.0,25.0,0.0,0,25.0,0.0,0
3468,18,124,6.0,6.0,0.0,0,6.0,0.0,0
3469,19,124,18.0,17.0,-1.0,-1,18.0,0.0,0
3470,20,124,1.0,4.0,3.0,1,5.0,4.0,1
3471,21,124,23.0,22.0,-1.0,-1,22.0,-1.0,-1
3472,22,124,2.0,1.0,-1.0,-1,1.0,-1.0,-1
3473,23,124,24.0,23.0,-1.0,-1,23.0,-1.0,-1
3474,24,124,20.0,24.0,4.0,1,24.0,4.0,1
3475,25,124,19.0,18.0,-1.0,-1,17.0,-2.0,-1
3476,26,124,22.0,21.0,-1.0,-1,21.0,-1.0,-1
3477,27,124,8.0,7.0,-1.0,-1,7.0,-1.0,-1
3478,28,124,3.0,2.0,-1.0,-1,2.0,-1.0,-1
3479,29,124,15.0,13.0,-2.0,-1,13.0,-2.0,-1
3480,59,124,21.0,19.0,-2.0,-1,19.0,-2.0,-1
3481,60,124,11.0,9.0,-2.0,-1,9.0,-2.0,-1
3482,64,124,10.0,8.0,-2.0,-1,8.0,-2.0,-1
3483,66,124,16.0,15.0,-1.0,-1,15.0,-1.0,-1
3484,88,124,26.0,26.0,0.0,0,26.0,0.0,0
3485,98,124,9.0,20.0,11.0,1,16.0,7.0,1
3486,1,125,11.0,9.0,-2.0,-1,9.0,-2.0,-1
3487,3,125,4.0,4.0,0.0,0,5.0,1.0,1
3488,4,125,7.0,25.0,18.0,1,24.0,17.0,1
3489,6,125,13.0,11.0,-2.0,-1,11.0,-2.0,-1
3490,7,125,27.0,27.0,0.0,0,27.0,0.0,0
3491,9,125,5.0,3.0,-2.0,-1,2.0,-3.0,-1
3492,12,125,0.0,0.0,0.0,0,0.0,0.0,0
3493,14,125,16.0,14.0,-2.0,-1,15.0,-1.0,-1
3494,15,125,12.0,10.0,-2.0,-1,10.0,-2.0,-1
3495,17,125,25.0,24.0,-1.0,-1,25.0,0.0,0
3496,18,125,6.0,5.0,-1.0,-1,3.0,-3.0,-1
3497,19,125,17.0,15.0,-2.0,-1,16.0,-1.0,-1
3498,20,125,1.0,17.0,16.0,1,13.0,12.0,1
3499,21,125,22.0,21.0,-1.0,-1,22.0,0.0,0
3500,22,125,2.0,2.0,0.0,0,4.0,2.0,1
3501,23,125,23.0,22.0,-1.0,-1,23.0,0.0,0
3502,24,125,24.0,23.0,-1.0,-1,21.0,-3.0,-1
3503,25,125,18.0,16.0,-2.0,-1,17.0,-1.0,-1
3504,26,125,21.0,20.0,-1.0,-1,20.0,-1.0,-1
3505,27,125,8.0,6.0,-2.0,-1,6.0,-2.0,-1
3506,28,125,3.0,1.0,-2.0,-1,1.0,-2.0,-1
3507,29,125,14.0,12.0,-2.0,-1,12.0,-2.0,-1
3508,59,125,19.0,18.0,-1.0,-1,18.0,-1.0,-1
3509,60,125,10.0,8.0,-2.0,-1,8.0,-2.0,-1
3510,64,125,9.0,7.0,-2.0,-1,7.0,-2.0,-1
3511,66,125,15.0,13.0,-2.0,-1,14.0,-1.0,-1
3512,88,125,26.0,26.0,0.0,0,26.0,0.0,0
3513,98,125,20.0,19.0,-1.0,-1,19.0,-1.0,-1
3514,1,126,10.0,7.0,-3.0,-1,7.0,-3.0,-1
3515,3,126,3.0,17.0,14.0,1,15.0,12.0,1
3516,4,126,14.0,24.0,10.0,1,19.0,5.0,1
3517,6,126,12.0,9.0,-3.0,-1,9.0,-3.0,-1
3518,7,126,27.0,27.0,0.0,0,27.0,0.0,0
3519,9,126,5.0,2.0,-3.0,-1,2.0,-3.0,-1
3520,12,126,0.0,1.0,1.0,1,0.0,0.0,0
3521,14,126,16.0,12.0,-4.0,-1,14.0,-2.0,-1
3522,15,126,11.0,8.0,-3.0,-1,8.0,-3.0,-1
3523,17,126,25.0,23.0,-2.0,-1,23.0,-2.0,-1
3524,18,126,6.0,3.0,-3.0,-1,3.0,-3.0,-1
3525,19,126,17.0,13.0,-4.0,-1,16.0,-1.0,-1
3526,20,126,4.0,15.0,11.0,1,11.0,7.0,1
3527,21,126,22.0,25.0,3.0,1,26.0,4.0,1
3528,22,126,1.0,16.0,15.0,1,12.0,11.0,1
3529,23,126,23.0,20.0,-3.0,-1,21.0,-2.0,-1
