,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
1,-12,0,1,1,1,0,7,15,0.45454545454545453,0,0,7.064516129032258,7.064516129032258,8,8.0,0,0.0,44.13561428571429,10.650221684571182,44.13561428571429,10.650221684571182,50.05036774193548,22.910400116982892,50.05036774193548,22.910400116982892,31,31,66.0815,0,0,0,0,0,0
2,14,0,1,2,1,1,7,3,0.09090909090909091,1,0,5.0,6.103448275862069,-12,-2.0,0,0.0,45.60616666666667,11.011393846627936,44.711047826086954,10.816824916520982,58.85741481481482,23.979812323281024,54.15019999999999,23.822858155366028,27,27,62.0677,0,0,0,0,0,0
3,-7,0,1,3,1,0,7,17,0.5151515151515151,0,0,2.53125,4.833333333333333,14,3.3333333333333335,26,3.0,42.57039655172413,7.627703523544394,43.88332933333333,9.76452738888095,47.457503125,16.917687383299548,51.770574444444435,21.857882460962127,32,32,91.23935,0,0,0,0,0,0
4,5,0,1,4,1,0,7,10,0.30303030303030304,0,0,3.9375,4.598360655737705,-7,0.75,-21,-5.0,42.518109374999995,5.208782299657437,43.47503925233646,8.679635788805294,42.518109374999995,5.208782299657437,49.343698360655736,19.39413260219793,32,32,61.19415,0,0,0,0,0,0
5,-3,0,1,5,1,0,7,15,0.45454545454545453,0,0,2.8333333333333335,4.25,5,1.6,12,-0.75,42.64979666666667,5.338583534514459,43.29432919708029,8.074439882507505,42.64979666666667,5.338583534514459,48.02253355263158,17.73750518094559,30,30,60.8541,0,0,0,0,0,0
7,11,0,2,1,1,0,5,13,0.3939393939393939,0,0,15.03125,15.03125,8,8.0,0,0.0,44.13113448275861,10.235184956881316,44.13113448275861,10.235184956881316,49.986046875,22.875652187273598,49.986046875,22.875652187273598,32,32,67.40105,0,0,0,0,0,0
8,-13,0,2,2,1,1,5,24,0.7272727272727273,0,0,22.571428571428573,16.384615384615383,11,9.5,0,0.0,62.5415,7.928599999999999,45.31889999999999,11.068533487061128,70.62295714285713,16.946000668835207,53.690107692307684,23.31595428758407,7,7,62.5415,0,0,0,0,0,0
9,7,0,2,3,1,1,5,11,0.3333333333333333,0,0,17.157894736842106,16.637931034482758,-13,2.0,-24,-10.5,42.85332857142857,6.760424761531374,44.551833333333335,9.995956103389457,55.51273684210526,24.209711973855942,54.28717586206896,23.62795294179676,19,19,104.44945,0,0,0,0,0,0
10,7,0,2,4,1,0,5,18,0.5454545454545454,0,0,7.125,13.255555555555556,7,3.25,20,-0.3333333333333333,42.347017241379305,6.6742846385144246,43.68778378378378,8.90939800069972,47.283328125,16.698393924177903,51.79691888888889,21.68322774252996,32,32,91.059,0,0,0,0,0,0
11,-1,0,2,5,1,0,5,25,0.7575757575757576,0,0,3.727272727272727,11.383928571428571,7,4.0,0,-0.25,42.82526818181819,6.358743451227849,43.490123958333335,8.40143902051092,42.82526818181819,6.358743451227849,50.03463035714286,19.961371138557123,22,22,61.5085,0,0,0,0,0,0
