,Year,Model,MAE,50-Risk,90-Risk
0,Indy500-2018,sel-sel,4.750412314458494,0.25358023242164573,0.4285772978049067
1,Indy500-2018,sel-all,120.28397056183809,0.9142521123513031,1.615297611982247
2,Indy500-2018,sel-normal,151.72338951743245,0.9142760940887069,1.6413092054552083
3,Indy500-2018,sel-caution,10.474193548387097,0.9130404217926187,0.30104745166959573
4,Indy500-2018,sel-plen2,7.0685714285714285,3.5342857142857143,0.8805714285714283
5,Indy500-2019,sel-sel,3.169674185463659,0.18081866662854038,0.30037887994509815
6,Indy500-2019,sel-all,93.00872839294883,0.8751137269426172,1.5554638046392542
7,Indy500-2019,sel-normal,115.86086390275668,0.8863506539225389,1.589801265999349
8,Indy500-2019,sel-caution,7.830906148867314,0.5150321928377587,0.45513755121587823
9,Indy500-2019,sel-plen2,6.365979381443299,3.1829896907216493,0.6860824742268039
10,Indy500-2018,all-sel,122.03600879604178,6.545675699584231,1.3091351399168458
11,Indy500-2018,all-all,210.70472087596482,1.602480232405749,1.5774572976278887
12,Indy500-2018,all-normal,236.55275917801893,1.4261076063897906,1.5668812187150263
13,Indy500-2018,all-caution,120.4241935483871,10.578492490790593,2.115698498158118
14,Indy500-2018,all-plen2,132.14285714285714,66.07142857142857,13.214285714285712
15,Indy500-2019,all-sel,96.26992481203007,5.519001709794681,1.103800341958936
16,Indy500-2019,all-all,164.8268013007017,1.5519804174032432,1.484243196771901
17,Indy500-2019,all-normal,184.26329498589104,1.410460222543079,1.4923914325733019
18,Indy500-2019,all-caution,92.38025889967638,6.109256286784377,1.221851257356875
19,Indy500-2019,all-plen2,92.21134020618557,46.105670103092784,9.221134020618555
20,Indy500-2018,normal-sel,215.95299615173172,11.544996326230713,2.308999265246142
21,Indy500-2018,normal-all,285.76611021360617,2.1744842780438964,1.5725761443680009
22,Indy500-2018,normal-normal,303.60655737704917,1.8314439759933925,1.52640573618081
23,Indy500-2018,normal-caution,223.45403225806453,19.56800847457627,3.9136016949152537
24,Indy500-2018,normal-plen2,207.52,103.76,20.751999999999995
25,Indy500-2019,normal-sel,185.39649122807018,10.594085213032582,2.1188170426065156
26,Indy500-2019,normal-all,228.74345370528837,2.154721677672307,1.399072688815518
27,Indy500-2019,normal-normal,246.00846537877143,1.8840490328414976,1.3750849463724073
28,Indy500-2019,normal-caution,164.39077669902912,10.847053171044202,2.16941063420884
29,Indy500-2019,normal-plen2,147.21134020618555,73.60567010309278,14.721134020618555
30,Indy500-2018,caution-sel,9.568719076415613,0.510784716516023,0.8995744805728372
31,Indy500-2018,caution-all,123.00646203554119,0.934945173688282,1.6707051358139904
32,Indy500-2018,caution-normal,156.6019395058878,0.9436739452865208,1.6957146395149196
33,Indy500-2018,caution-caution,5.666129032258064,0.49391915641476275,0.4070861159929701
34,Indy500-2018,caution-plen2,4.508571428571429,2.2542857142857144,0.5925714285714285
35,Indy500-2019,caution-sel,8.540852130325815,0.48722531203980385,0.8603291251447608
36,Indy500-2019,caution-all,97.79702207769981,0.9201665042954565,1.6452724213170586
37,Indy500-2019,caution-normal,121.51725634903408,0.9296227906451549,1.6703426700231812
38,Indy500-2019,caution-caution,9.383495145631068,0.6171446815303571,0.8419092215186507
39,Indy500-2019,caution-plen2,4.530927835051546,2.265463917525773,0.45309278350515453
40,Indy500-2018,plen2-sel,9.476635514018692,0.5058692334781077,0.8867355323394766
41,Indy500-2018,plen2-all,122.95727876503321,0.9345713424226176,1.6693729867344476
42,Indy500-2018,plen2-normal,156.51096744400832,0.9431257530686242,1.6943650292322805
43,Indy500-2018,plen2-caution,5.762903225806451,0.5023550087873462,0.4066362038664323
44,Indy500-2018,plen2-plen2,4.725714285714286,2.362857142857143,0.6508571428571427
45,Indy500-2019,plen2-sel,8.433333333333334,0.4810917461361394,0.8475272722073689
46,Indy500-2019,plen2-all,97.68372411432483,0.9191004903342163,1.6431320198710155
47,Indy500-2019,plen2-normal,121.38506620360322,0.9286115188671099,1.6683204585760498
48,Indy500-2019,plen2-caution,9.340614886731391,0.6143244825200873,0.835981482466876
49,Indy500-2019,plen2-plen2,4.690721649484536,2.345360824742268,0.4896907216494844
50,Indy500-2018,sel-sel,4.412864211105003,0.23544430097429275,0.39050944946589977
51,Indy500-2018,sel-all,120.12798420391312,0.9130446646501608,1.6107709792332638
52,Indy500-2018,sel-normal,151.3592703763565,0.9120596722534039,1.6367386180547248
53,Indy500-2018,sel-caution,11.04516129032258,0.9628119507908611,0.29874165202108965
54,Indy500-2018,sel-plen2,7.8742857142857146,3.934285714285714,1.1205714285714283
55,Indy500-2019,sel-sel,2.860651629072682,0.16319002616416226,0.2653074646497863
56,Indy500-2019,sel-all,92.77374636316961,0.8728480447017335,1.550437436091497
57,Indy500-2019,sel-normal,115.5637074017799,0.8840773681029273,1.585209859650754
58,Indy500-2019,sel-caution,7.827669902912621,0.5130101633586974,0.436173043154366
59,Indy500-2019,sel-plen2,6.793814432989691,3.3737113402061856,0.87680412371134
60,Indy500-2018,all-sel,115.48735568993953,6.194423967210215,1.2388847934420426
61,Indy500-2018,all-all,206.9553042541734,1.5739646585994496,1.5523841247651915
62,Indy500-2018,all-normal,229.18517663357193,1.3816905996135835,1.538247150596607
63,Indy500-2018,all-caution,129.31209677419355,11.359237744403513,2.271847548880702
64,Indy500-2018,all-plen2,115.86285714285714,57.93142857142857,11.586285714285713
65,Indy500-2019,all-sel,108.50350877192983,6.220333625483125,1.2440667250966249
66,Indy500-2019,all-all,174.27006674653433,1.6408965580588863,1.4887736866107701
