,Year,Model,FeatureCnt,MAE,50-Risk,90-Risk
0,Indy500-2018,sel-all,2,120.28397056183809,0.9142521123513031,1.615297611982247
1,Indy500-2018,sel-sel,2,4.750412314458494,0.25358023242164573,0.4285772978049067
2,Indy500-2018,sel-caution,2,10.474193548387097,0.9130404217926187,0.30104745166959573
3,Indy500-2018,sel-shortnormal,2,923.2784992784992,0.9834884271428,1.7683510254021833
4,Indy500-2019,sel-all,2,93.00872839294883,0.8751137269426172,1.5554638046392542
5,Indy500-2019,sel-sel,2,3.169674185463659,0.18081866662854038,0.30037887994509815
6,Indy500-2019,sel-caution,2,7.830906148867314,0.5150321928377587,0.45513755121587823
7,Indy500-2019,sel-shortnormal,2,844.6094003241491,0.979061339285211,1.75923827989231
8,Indy500-2018,all-all,2,210.70472087596482,1.602480232405749,1.5774572976278887
9,Indy500-2018,all-sel,2,122.03600879604178,6.545675699584231,1.3091351399168458
10,Indy500-2018,all-caution,2,120.4241935483871,10.578492490790593,2.115698498158118
11,Indy500-2018,all-shortnormal,2,837.7243867243867,0.8923605453679081,1.5937528628740951
12,Indy500-2019,all-all,2,164.8268013007017,1.5519804174032432,1.484243196771901
13,Indy500-2019,all-sel,2,96.26992481203007,5.519001709794681,1.103800341958936
14,Indy500-2019,all-caution,2,92.38025889967638,6.109256286784377,1.221851257356875
15,Indy500-2019,all-shortnormal,2,753.2965964343598,0.8732240888885549,1.543203910855932
16,Indy500-2018,sel-all,3,120.12798420391312,0.9130446646501608,1.6107709792332638
17,Indy500-2018,sel-sel,3,4.412864211105003,0.23544430097429275,0.39050944946589977
18,Indy500-2018,sel-caution,3,11.04516129032258,0.9628119507908611,0.29874165202108965
19,Indy500-2018,sel-shortnormal,3,922.7748917748918,0.9829396809586611,1.7672895012711853
20,Indy500-2019,sel-all,3,92.77374636316961,0.8728480447017335,1.550437436091497
21,Indy500-2019,sel-sel,3,2.860651629072682,0.16319002616416226,0.2653074646497863
22,Indy500-2019,sel-caution,3,7.827669902912621,0.5130101633586974,0.436173043154366
23,Indy500-2019,sel-shortnormal,3,844.388978930308,0.978805829383263,1.7586521101172528
24,Indy500-2018,all-all,3,206.9553042541734,1.5739646585994496,1.5523841247651915
25,Indy500-2018,all-sel,3,115.48735568993953,6.194423967210215,1.2388847934420426
26,Indy500-2018,all-caution,3,129.31209677419355,11.359237744403513,2.271847548880702
27,Indy500-2018,all-shortnormal,3,826.0577200577201,0.8799329818466883,1.5694575526077132
28,Indy500-2019,all-all,3,174.27006674653433,1.6408965580588863,1.4887736866107701
29,Indy500-2019,all-sel,3,108.50350877192983,6.220333625483125,1.2440667250966249
30,Indy500-2019,all-caution,3,100.80501618122977,6.666399143927234,1.3332798287854464
31,Indy500-2019,all-shortnormal,3,746.7358184764992,0.8656188117881795,1.5262318181647383
