,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2018,1117,189,"+:72,0:19,-:98",0.101,0.317,0.381,0.688,0.667,0.667,0.688,0.672,0.651
0,Indy500-2019,1117,216,"+:66,0:33,-:117",0.153,0.370,0.481,0.634,0.639,0.597,0.597,0.634,0.625
