,Year,Model,MAE,50-Risk,90-Risk
0,Indy500-2018,sel-sel,4.543980208905992,0.24243602535508862,0.2294019251085808
1,Indy500-2018,sel-all,120.1139831269072,0.9129600750936966,1.5914537533886988
2,Indy500-2018,sel-normal,151.51212191179866,0.9129988340480238,1.6176342305690903
3,Indy500-2018,sel-caution,10.461290322580645,0.9125483304042179,0.2693539543057996
4,Indy500-2018,sel-plen2,7.3428571428571425,3.682857142857143,0.9389142857142856
5,Indy500-2019,sel-sel,2.9596491228070176,0.16915202379080108,0.10443075075418554
6,Indy500-2019,sel-all,92.81430771863769,0.8733528715549794,1.5223872915677008
7,Indy500-2019,sel-normal,115.67527675276753,0.8849101313158821,1.5624805218095954
8,Indy500-2019,sel-caution,7.625404530744337,0.5011174373436919,0.2361985845793646
9,Indy500-2019,sel-plen2,6.72680412371134,3.365979381443299,0.8728350515463915
10,Indy500-2018,all-sel,6.006322155030237,0.32174977147406597,0.12139710435526198
11,Indy500-2018,all-all,120.8449111470113,0.9188136167052553,1.572163841684505
12,Indy500-2018,all-normal,152.91780189332718,0.9218000935417235,1.5956048196259442
13,Indy500-2018,all-caution,8.737903225806452,0.7661518843865117,0.3765471805043921
14,Indy500-2018,all-plen2,7.822857142857143,3.837142857142857,1.7498857142857145
15,Indy500-2019,all-sel,4.575438596491228,0.26118191353324044,0.08465179097400825
16,Indy500-2019,all-all,94.26236522334418,0.8874218235084627,1.5033066097709937
17,Indy500-2019,all-normal,117.54742782721945,0.8995773110402568,1.5453377773273231
18,Indy500-2019,all-caution,7.538834951456311,0.49684323167469235,0.14983199571963615
19,Indy500-2019,all-plen2,6.407216494845361,3.2010309278350517,1.3507731958762885
20,Indy500-2018,normal-sel,13.287520615722924,0.37502571638501103,2.3319920646583396
21,Indy500-2018,normal-all,126.31466523065878,0.9266761731880584,1.762448502927763
22,Indy500-2018,normal-normal,158.4592472870007,0.9256855100986254,1.7540090449587658
23,Indy500-2018,normal-caution,13.600806451612904,0.9514830508474577,2.0968757062146888
24,Indy500-2018,normal-plen2,12.154285714285715,4.6971428571428575,19.524114285714283
25,Indy500-2019,normal-sel,5.057142857142857,0.21397064088793413,0.5921804511278196
26,Indy500-2019,normal-all,93.96405955844601,0.8789755726372266,1.41486419211721
27,Indy500-2019,normal-normal,117.18515302800087,0.8902354892977545,1.448435557121864
28,Indy500-2019,normal-caution,7.809061488673139,0.5063260730301089,0.2920489002775998
29,Indy500-2019,normal-plen2,6.855670103092783,3.461340206185567,1.9551546391752574
30,Indy500-2018,sel-sel,4.337822979659153,0.231563270336894,0.20719186524239935
31,Indy500-2018,sel-all,120.00197451085981,0.9121182725721092,1.5885318936736563
32,Indy500-2018,sel-normal,151.2622950819672,0.9115010449044559,1.6144964840565112
33,Indy500-2018,sel-caution,10.812903225806451,0.9434094903339192,0.27258769771528996
34,Indy500-2018,sel-plen2,7.72,3.875714285714286,1.003485714285714
35,Indy500-2019,sel-sel,2.8305764411027567,0.16148149207211587,0.09317101068012525
36,Indy500-2019,sel-all,92.7056306691768,0.8722659237848327,1.520302187583031
37,Indy500-2019,sel-normal,115.53310180160625,0.8838166625706562,1.5607457506658784
38,Indy500-2019,sel-caution,7.622168284789644,0.5005587186718459,0.22690789123609847
39,Indy500-2019,sel-plen2,7.278350515463917,3.6378865979381443,0.9608247422680412
40,Indy500-2018,all-sel,6.882627817482133,0.3696222687464984,0.10300592693067555
41,Indy500-2018,all-all,121.2843295638126,0.9223063922502294,1.5738575204228737
42,Indy500-2018,all-normal,153.8993304086816,0.9277640744102139,1.5979154393955424
43,Indy500-2018,all-caution,7.401612903225806,0.6470671578350807,0.33993482572966843
44,Indy500-2018,all-plen2,5.04,2.4957142857142856,1.3964
45,Indy500-2019,all-sel,5.356892230576441,0.3077055704823345,0.06050719119527579
46,Indy500-2019,all-all,94.98442580865994,0.8943374517162973,1.50438423272221
47,Indy500-2019,all-normal,118.37681788582591,0.9061693646871952,1.5466538287079572
48,Indy500-2019,all-caution,7.747572815533981,0.5105136436597111,0.14124558587479935
49,Indy500-2019,all-plen2,4.757731958762887,2.384020618556701,1.1772680412371133
50,Indy500-2018,normal-sel,11.225673446948873,0.42860396767083025,3.664216899338721
51,Indy500-2018,normal-all,125.48519116855142,0.9346453971909322,1.8951269516710851
52,Indy500-2018,normal-normal,157.13160932809976,0.9280602644403867,1.8455005160389932
53,Indy500-2018,normal-caution,15.70241935483871,1.2305790960451977,4.399974576271187
54,Indy500-2018,normal-plen2,14.971428571428572,6.26,27.474
55,Indy500-2019,normal-sel,3.6022556390977445,0.16294307196562835,0.44068256355173646
56,Indy500-2019,normal-all,93.253123395516,0.8739827306025588,1.4422827138361536
57,Indy500-2019,normal-normal,115.81072281311049,0.8829527093071967,1.4729424691965505
58,Indy500-2019,normal-caution,9.616504854368932,0.5835735639547299,0.4404505658765748
59,Indy500-2019,normal-plen2,11.809278350515465,5.798969072164948,4.1087113402061854
