,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2013,1327,195,"+:68,0:29,-:98",0.149,0.349,0.379,0.610,0.621,0.549,0.615,0.615,0.646
0,Indy500-2014,1297,225,"+:63,0:43,-:119",0.191,0.280,0.400,0.591,0.591,0.591,0.564,0.600,0.587
0,Indy500-2015,1327,195,"+:74,0:26,-:95",0.133,0.379,0.446,0.656,0.651,0.544,0.682,0.656,0.662
0,Indy500-2016,1268,254,"+:98,0:32,-:124",0.126,0.386,0.429,0.634,0.646,0.606,0.669,0.634,0.638
0,Indy500-2017,1274,248,"+:72,0:49,-:127",0.198,0.290,0.363,0.282,0.319,0.262,0.593,0.286,0.605
0,Indy500-2018,1333,189,"+:72,0:19,-:98",0.101,0.381,0.386,0.646,0.667,0.265,0.661,0.656,0.656
0,Indy500-2019,1306,216,"+:66,0:33,-:117",0.153,0.306,0.486,0.625,0.597,0.431,0.593,0.606,0.620
