,target,start_lap,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank,cautionlaps_all,cautionlaps_cur,stint_len
39,4,32,0,8,1,1,0,23,15,0.45454545454545453,0,0,16.1875,16.1875,-8,-8.0,0,0.0,43.5198275862069,8.249288509169434,43.5198275862069,8.249288509169434,49.51941875,22.518723161730293,49.51941875,22.518723161730293,32,32,60.8947,0,8,3,-6,2,21,3,0,26
40,5,58,0,8,2,1,1,23,19,0.5757575757575758,0,0,20.23076923076923,18.0,4,-2.0,0,0.0,45.7526875,9.692814791630125,44.31373333333333,8.854490803980644,59.85064230769231,23.24336650840362,54.15065689655172,23.417007610871735,26,26,62.99055,4,-10,0,13,4,8,10,1,32
41,-4,90,0,8,3,1,0,23,24,0.7272727272727273,0,0,15.84375,17.233333333333334,5,0.3333333333333333,1,6.5,42.17804137931034,5.23745125468336,43.476772972972974,7.714520649001086,47.25211875,16.80129443228329,51.69784333333334,21.555907177807047,32,32,92.68234999999999,2,9,4,15,10,3,3,0,31
42,-3,121,0,8,4,1,0,23,20,0.6060606060606061,0,0,18.870967741935484,17.65289256198347,-4,-0.75,-9,1.3333333333333333,42.59469677419356,5.268548215497496,43.216350476190485,7.0922544388612705,42.59469677419356,5.268548215497496,49.36563223140496,19.19675614914203,31,31,61.7695,10,-5,-6,2,0,7,0,0,31
43,-6,152,0,8,5,1,0,23,17,0.5151515151515151,0,0,20.258064516129032,18.18421052631579,-3,-1.2,1,1.25,42.62423225806451,5.482918401926589,43.081382352941176,6.763783955439813,42.62423225806451,5.482918401926589,47.99074144736842,17.517625446838288,31,31,62.54575,-3,5,-3,0,-2,7,0,0,30
44,1,182,0,8,6,1,0,23,11,0.3333333333333333,0,0,16.866666666666667,17.967032967032967,-6,-2.0,-3,0.4,42.28906666666666,5.5828820767493275,42.93819277108434,6.57318380897524,42.28906666666666,5.5828820767493275,47.050904945054945,16.306370588506223,30,30,62.0994,-3,0,-2,-3,-6,6,0,0,18
46,1,32,0,9,1,1,0,16,11,0.3333333333333333,0,0,13.3125,13.3125,-5,-5.0,0,0.0,43.64219655172414,8.775950098971808,43.64219655172414,8.775950098971808,49.61579375,22.64843043920121,49.61579375,22.64843043920121,32,32,62.60340000000001,8,-8,-3,3,8,0,3,0,26
47,0,58,0,9,2,1,1,16,12,0.36363636363636365,0,0,13.23076923076923,13.275862068965518,1,-2.0,0,0.0,45.491788235294116,9.831180089711111,44.32574130434782,9.223377103990945,59.68939999999999,23.248686737153726,54.13154827586207,23.46059058331683,26,26,62.47385,-13,-2,1,-7,5,-12,9,1,33
48,-4,91,0,9,3,1,0,16,12,0.36363636363636365,0,0,13.727272727272727,13.43956043956044,0,-1.3333333333333333,-1,2.5,42.40553333333333,6.201517359664666,43.567764473684214,8.219015028685872,47.227290909090904,16.43187574208285,51.627806593406596,21.44145914820473,33,33,91.72295,5,-3,6,-14,11,14,3,0,32
49,-6,123,0,9,4,1,0,16,8,0.24242424242424243,0,0,13.15625,13.365853658536585,-4,-2.0,-4,0.3333333333333333,42.497734375,5.07564348953715,43.25071851851852,7.443702118136241,42.497734375,5.07564348953715,49.25250325203252,19.049330357762617,32,32,60.2911,5,5,-9,-1,-6,-7,0,0,33
50,5,156,0,9,5,1,0,16,2,0.06060606060606061,1,0,9.090909090909092,12.461538461538462,-6,-2.8,-2,-0.25,42.48562121212121,4.999966556479522,43.07165319148936,6.956768710125251,42.48562121212121,4.999966556479522,47.82104743589744,17.29278361621138,33,33,60.30995,-3,0,0,0,0,0,0,0,27
51,7,183,0,9,6,1,0,16,7,0.21212121212121213,0,0,11.962962962962964,12.387978142076502,5,-1.5,11,2.0,42.52083703703703,5.735247901009656,42.983129166666664,6.778341308090847,42.52083703703703,5.735247901009656,47.03904918032787,16.226705311629885,27,27,61.1728,0,0,0,-6,-10,-3,0,0,17
53,5,32,0,10,1,1,0,17,9,0.2727272727272727,0,0,11.0,11.0,-8,-8.0,0,0.0,43.729672413793104,9.163019622218979,43.729672413793104,9.163019622218979,49.585112499999994,22.440297897389723,49.585112499999994,22.440297897389723,32,32,62.320750000000004,-3,-1,3,8,-5,3,3,0,26
54,-9,58,0,10,2,1,1,17,14,0.42424242424242425,0,0,15.538461538461538,13.03448275862069,5,-1.5,0,0.0,45.689,9.861844603855216,44.45377173913043,9.474636918445752,59.874769230769225,23.192208729703392,54.19771724137931,23.348105233070417,26,26,62.425200000000004,-7,1,-13,-12,0,-10,9,1,34
55,0,92,0,10,3,1,0,17,5,0.15151515151515152,1,0,16.205882352941178,14.206521739130435,-9,-4.0,-14,-0.5,42.14075806451613,5.18313314840048,43.522558441558445,8.107438481513112,46.92390294117647,16.259284075666635,51.50956847826086,21.300193758497826,34,34,92.0745,-6,-6,-2,-9,-9,-12,3,0,32
56,0,124,0,10,4,1,0,17,5,0.15151515151515152,1,0,17.34375,15.016129032258064,0,-3.0,9,2.6666666666666665,42.536809375000004,5.534689246208825,43.23316422018348,7.458427866680839,42.536809375000004,5.534689246208825,49.19401774193549,18.97195752451347,32,32,62.316100000000006,-2,0,-6,-7,-6,0,0,0,32
57,-3,156,0,10,5,1,0,17,5,0.15151515151515152,1,0,16.65625,15.352564102564102,0,-2.4,0,2.0,42.537724999999995,5.266415560891487,43.075334042553195,7.027280263008548,42.537724999999995,5.266415560891487,47.82862435897436,17.29207140426803,32,32,61.14125,0,0,-6,5,7,-1,0,0,32
58,7,188,0,10,6,1,0,17,2,0.06060606060606061,1,0,14.21875,15.159574468085106,-3,-2.5,-3,1.0,42.208153125,5.587658800762645,42.91493063583815,6.792409435780583,42.208153125,5.587658800762645,46.87194840425531,16.059126701314753,32,32,62.02075,0,0,0,-3,6,-3,0,0,9
60,-21,29,0,11,1,1,0,12,26,0.7878787878787878,0,0,3.2758620689655173,3.2758620689655173,14,14.0,0,0.0,44.2467923076923,10.593343697846779,44.2467923076923,10.593343697846779,50.542527586206894,23.433378238697465,50.542527586206894,23.433378238697465,29,29,64.2621,0,2,8,6,3,8,3,0,29
61,11,58,0,11,2,1,1,12,5,0.15151515151515152,1,0,8.586206896551724,5.931034482758621,-21,-3.5,0,0.0,45.124175,10.17913414828958,44.62826304347825,10.424354562177077,57.69048275862069,23.14743827423151,54.116505172413795,23.563464790970748,29,29,62.2654,-3,-12,-19,-17,-9,3,9,1,32
62,-2,90,0,11,3,1,0,12,16,0.48484848484848486,0,0,2.625,4.7555555555555555,11,1.3333333333333333,32,-1.5,42.49071034482759,7.307611100260577,43.80174266666667,9.401130122975264,47.42118125,16.893049602303854,51.73594555555555,21.669277395710687,32,32,91.9668,-2,-3,6,14,7,17,3,0,31
63,-5,121,0,11,4,1,0,12,14,0.42424242424242425,0,0,2.7419354838709675,4.239669421487603,-2,0.5,-13,-5.333333333333333,42.54847419354839,5.286511459698879,43.43522075471699,8.428057449687302,42.54847419354839,5.286511459698879,49.382130578512395,19.30033409870051,31,31,61.158100000000005,-6,-15,-9,-5,-6,-6,0,0,32
64,6,153,0,11,5,1,0,12,9,0.2727272727272727,0,0,5.34375,4.470588235294118,-5,-0.6,-3,-4.75,42.612750000000005,5.284430062575339,43.24450289855072,7.820282868414709,42.612750000000005,5.284430062575339,47.96631241830065,17.550328476971146,32,32,61.49315,-3,0,-2,-5,-5,1,0,0,25
65,-14,178,0,11,6,1,0,12,15,0.45454545454545453,0,0,4.76,4.51123595505618,6,0.5,11,-1.6,42.508239999999994,5.865645749276035,43.1315791411043,7.55806166522827,42.508239999999994,5.865645749276035,47.19972921348315,16.528228106856847,25,25,60.96170000000001,-2,0,-3,12,7,1,0,0,22
67,3,33,0,12,1,1,0,6,5,0.15151515151515152,1,0,6.787878787878788,6.787878787878788,-1,-1.0,0,0.0,44.060626666666664,10.534735421165333,44.060626666666664,10.534735421165333,49.571415151515154,22.28292382061261,49.571415151515154,22.28292382061261,33,33,65.89285,3,6,2,8,-14,21,3,0,25
68,15,58,0,12,2,1,1,6,8,0.24242424242424243,0,0,9.84,8.10344827586207,3,1.0,0,0.0,45.8271,10.2928405805929,44.675052173913045,10.485042737482908,60.393451999999996,23.738319781132276,54.23608620689656,23.539776879157106,25,25,62.486850000000004,-9,-17,-21,1,-2,-13,9,1,31
69,-6,89,0,12,3,1,0,6,23,0.696969696969697,0,0,2.935483870967742,6.303370786516854,15,5.666666666666667,12,8.0,42.50333928571428,7.2895300567878705,43.853322972972975,9.463296299680852,47.51794838709677,16.880658649546156,51.8960606741573,21.693595307022253,31,31,90.95485,-3,6,-12,-2,-4,4,3,0,32
70,-9,121,0,12,4,1,0,6,17,0.5151515151515151,0,0,10.25,7.347107438016529,-6,2.75,-21,-1.6666666666666667,42.608684374999996,5.499806472226396,43.477583018867925,8.48390987649809,42.608684374999996,5.499806472226396,49.439895041322316,19.2595614404505,32,32,62.00515,-6,-5,-2,-5,10,-4,0,0,33
71,-3,154,0,12,5,1,0,6,8,0.24242424242424243,0,0,12.606060606060606,8.474025974025974,-9,0.4,-3,-2.0,42.55842121212121,5.160387373805563,43.25936474820144,7.833506260522768,42.55842121212121,5.160387373805563,47.96529350649351,17.46782413422958,33,33,61.3534,0,-3,0,7,5,-5,0,0,31
72,8,185,0,12,6,1,0,6,5,0.15151515151515152,1,0,12.096774193548388,9.08108108108108,-3,-0.16666666666666666,6,-0.4,42.20900322580646,5.868014015281318,43.06782823529412,7.524460757870439,42.20900322580646,5.868014015281318,47.00072594594595,16.26000427431802,31,31,62.41585,-3,-3,0,2,-3,-6,0,0,11
73,6,196,0,12,7,1,1,6,13,0.3939393939393939,0,0,11.363636363636363,9.209183673469388,8,1.0,11,1.5,45.291811111111116,8.896852763939048,43.17964860335196,7.614907193265793,51.499199999999995,18.791904416094617,47.253191326530604,16.44507405015179,11,11,60.3886,2,7,2,-6,-4,5,2,2,4
75,6,31,0,14,1,1,0,18,21,0.6363636363636364,0,0,14.161290322580646,14.161290322580646,3,3.0,0,0.0,43.811010714285715,9.305809515617469,43.811010714285715,9.305809515617469,49.8524,22.714605969159877,49.8524,22.714605969159877,31,31,62.49315,7,8,3,-5,18,21,3,0,28
76,-14,59,0,14,2,1,1,18,27,0.8181818181818182,0,0,11.071428571428571,12.694915254237289,6,4.5,0,0.0,45.35597222222223,9.790468641762738,44.41556086956522,9.528284782173962,63.12938571428571,27.554338508361386,56.153342372881355,25.98783946716724,28,28,61.9296,-12,-2,-3,-1,-2,0,10,2,32
77,10,91,0,14,3,1,0,18,13,0.3939393939393939,0,0,23.34375,16.439560439560438,-14,-1.6666666666666667,-20,-8.5,41.85769000000001,4.310382480503712,43.405874999999995,7.990488864369429,43.332924999999996,7.3447321757672,51.645063736263744,22.233285097124167,32,32,65.46145,0,5,-3,11,14,7,2,0,25
78,0,116,0,14,4,1,0,18,23,0.696969696969697,0,0,20.24,17.25862068965517,10,1.25,24,2.3333333333333335,42.876248000000004,5.632362128849316,43.27477920792078,7.479877782084024,42.876248000000004,5.632362128849316,49.75523275862069,20.189645530033697,25,25,61.0381,-7,-15,4,7,-3,3,0,0,30
79,-4,146,0,14,5,1,0,18,23,0.696969696969697,0,0,20.266666666666666,17.876712328767123,0,1.0,-10,-0.75,42.56854,5.450301746484622,43.11304503816794,7.072965374187838,42.56854,5.450301746484622,48.27851506849316,18.39564719527586,30,30,62.003499999999995,-1,-3,2,-1,0,1,0,0,29
80,-6,175,0,14,6,1,0,18,19,0.5757575757575758,0,0,14.172413793103448,17.262857142857143,-4,0.16666666666666666,-4,-1.4,42.35118275862069,5.2273562754409975,42.9749575,6.782205564651793,42.35118275862069,5.2273562754409975,47.29627142857143,17.079450092170855,29,29,60.936499999999995,12,0,-2,1,-4,5,0,0,25
82,-12,5,0,15,1,1,1,26,29,0.8787878787878788,0,1,27.4,27.4,3,3.0,0,0.0,51.923224999999995,14.712848073091589,51.923224999999995,14.712848073091589,54.44846,14.095444865572706,54.44846,14.095444865572706,5,5,61.675799999999995,8,0,0,6,-2,2,1,1,33
83,4,38,0,15,2,1,1,26,17,0.5151515151515151,0,0,23.696969696969695,24.18421052631579,-12,-4.5,0,0.0,42.06668928571429,3.5806304380393366,43.298756250000004,6.9930472882864825,50.51015454545455,24.41924251223961,51.02835263157895,23.3613689938138,33,33,133.00565,7,0,-14,-14,-6,-1,5,3,20
84,2,58,0,15,3,1,1,26,21,0.6363636363636364,0,0,20.75,23.0,4,-1.6666666666666667,16,0.5,43.37858571428571,7.215294855162801,43.32305217391304,7.0615239069610345,60.16373,29.397418864963292,54.17848275862069,25.969594253593073,20,20,120.6976,13,4,4,8,6,-4,6,1,32
