,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2013,1327,195,"+:68,0:29,-:98",0.149,0.328,0.379,0.610,0.615,0.559,0.621,0.615,0.641
0,Indy500-2014,1297,225,"+:63,0:43,-:119",0.191,0.373,0.400,0.591,0.596,0.351,0.587,0.596,0.538
0,Indy500-2015,1327,195,"+:74,0:26,-:95",0.133,0.256,0.446,0.651,0.646,0.605,0.662,0.651,0.687
0,Indy500-2016,1268,254,"+:98,0:32,-:124",0.126,0.362,0.429,0.634,0.642,0.134,0.669,0.634,0.677
0,Indy500-2017,1274,248,"+:72,0:49,-:127",0.198,0.286,0.363,0.282,0.302,0.552,0.581,0.290,0.617
0,Indy500-2018,1333,189,"+:72,0:19,-:98",0.101,0.317,0.386,0.656,0.672,0.550,0.656,0.656,0.667
0,Indy500-2019,1306,216,"+:66,0:33,-:117",0.153,0.370,0.486,0.616,0.602,0.620,0.588,0.611,0.597
