,Year,Model,SignAcc,MAE,50-Risk,90-Risk,plen
0,2018,CurRank,0.7180851063825968,1.3395131086142322,0.0973263487312062,0.0973154636369821,2
1,2018,RandomForest,0.4734042553188972,1.6889513108614231,0.1224164909177495,0.1224056058235254,2
2,2018,SVM,0.7180851063825968,1.3395131086142322,0.0973263487312062,0.0973154636369821,2
3,2018,XGBoost,0.4627659574465624,1.6308988764044945,0.1184706442615144,0.11845975916729033,2
4,2018,RankNet-MLP,0.7819148936166054,1.3086142322097378,0.09563096151737747,0.08106019076855608,2
5,2018,RankNet-Oracle,0.845744680850614,1.2696629213483146,0.09371916456528889,0.07742297993641048,2
6,2019,CurRank,0.734042553191099,1.1625510747912595,0.08039719310319401,0.08039719310319403,2
7,2019,RandomForest,0.6276595744677513,1.3171078344288505,0.09094149021150041,0.09094149021150039,2
8,2019,SVM,0.734042553191099,1.1625510747912595,0.08039719310319401,0.08039719310319403,2
9,2019,XGBoost,0.6436170212762534,1.2471131639722863,0.08622236423295769,0.08622236423295769,2
10,2019,RankNet-MLP,0.7925531914889402,1.1511813821282644,0.07987017001545595,0.06537372488408036,2
11,2019,RankNet-Oracle,0.8617021276591161,1.112453366494937,0.07731684698608965,0.06238491499227203,2
0,2018,RankNet-Oracle-Raw,0.845744680850614,1.2696629213483146,0.08675280989949205,0.07910578190857019,2
1,2018,RankNet-MLP-Raw,0.7819148936166054,1.3086142322097378,0.09005471198530207,0.08068282178752838,2
2,2019,RankNet-Oracle-Raw,0.8617021276591161,1.112453366494937,0.07268307132299949,0.06521068806723097,2
3,2019,RankNet-MLP-Raw,0.7925531914889402,1.1511813821282644,0.07555571842134191,0.06453014034959142,2
0,2018,CurRank,0.5967741935480663,2.271710276829731,0.1653943317826033,0.16538328800784108,4
1,2018,RandomForest,0.47311827956963814,2.3919226393629125,0.17395325722331892,0.17394221344855673,4
2,2018,SVM,0.5967741935480663,2.2713310580204777,0.16536672234569777,0.16535567857093558,4
3,2018,XGBoost,0.5161290322577871,2.1617368221463784,0.1571943290216596,0.15718328524689734,4
4,2018,RankNet-MLP,0.6935483870964013,2.110731892301858,0.15338191122483036,0.12946017354544442,4
5,2018,RankNet-Oracle,0.7526881720426062,2.011755783086841,0.14757620424963844,0.1234266881744354,4
6,2019,CurRank,0.5752688172039918,1.8957771787960467,0.13112877741698703,0.13112877741698703,4
7,2019,RandomForest,0.5053763440857498,1.9701707097933514,0.13620473009119297,0.13620473009119294,4
8,2019,SVM,0.5752688172039918,1.8957771787960467,0.13112877741698703,0.13112877741698703,4
9,2019,XGBoost,0.4623655913976009,1.7031446540880504,0.11766754998196047,0.11766754998196048,4
10,2019,RankNet-MLP,0.6720430107523269,1.7290206648697215,0.11911796001652417,0.09437201907790142,4
11,2019,RankNet-Oracle,0.7473118279565876,1.65822102425876,0.11493684513601142,0.09331447241590828,4
0,2018,RankNet-Oracle-Raw,0.7526881720426062,2.011755783086841,0.1384136901545445,0.12622189019777375,4
1,2018,RankNet-MLP-Raw,0.6935483870964013,2.110731892301858,0.14347279260780285,0.12902995514968119,4
2,2019,RankNet-Oracle-Raw,0.7473118279565876,1.65822102425876,0.10883267983436548,0.09750651911026421,4
3,2019,RankNet-MLP-Raw,0.6720430107523269,1.7290206648697215,0.11210005252421613,0.09543586060317344,4
0,2018,CurRank,0.521739130434499,2.98252688172043,0.21760082932911198,0.21758962217895017,6
1,2018,RandomForest,0.4673913043475721,2.8147081413210446,0.2051889105249149,0.20517770337475308,6
2,2018,SVM,0.521739130434499,2.972926267281106,0.21690038244399928,0.21688917529383756,6
3,2018,XGBoost,0.396739130434567,2.6595622119815667,0.1937856352352801,0.19377442808511827,6
4,2018,RankNet-MLP,0.6304347826083531,2.6178955453149,0.19009681607767867,0.1620040645816868,6
5,2018,RankNet-Oracle,0.7173913043474363,2.360215053763441,0.17387377215761546,0.14802303262955854,6
6,2019,CurRank,0.4728260869562648,2.367569532812216,0.16390592918235983,0.16390592918235983,6
7,2019,RandomForest,0.4293478260867232,2.34684602799491,0.16231876755640093,0.16231876755640098,6
8,2019,SVM,0.4945652173910356,2.349754590074532,0.16267147013994734,0.16267147013994732,6
9,2019,XGBoost,0.396739130434567,2.1519723686602434,0.14879010417322736,0.14879010417322736,6
10,2019,RankNet-MLP,0.5869565217388115,1.9865479003817488,0.13741744939219935,0.11265290083786489,6
11,2019,RankNet-Oracle,0.6358695652170457,1.8971096164333758,0.13182112027987983,0.11034186409096096,6
0,2018,RankNet-Oracle-Raw,0.7173913043474363,2.360215053763441,0.16080885928887925,0.1464393872257646,6
1,2018,RankNet-MLP-Raw,0.6304347826083531,2.6178955453149,0.1756299308332433,0.15768213011996107,6
2,2019,RankNet-Oracle-Raw,0.6358695652170457,1.8971096164333758,0.12166306326114308,0.10929020240145602,6
3,2019,RankNet-MLP-Raw,0.5869565217388115,1.9865479003817488,0.1275815041469701,0.10934615901401051,6
0,2018,CurRank,0.46703296703271047,3.5315052508751457,0.2582080850882307,0.2581967096563198,8
1,2018,RandomForest,0.4285714285711931,3.234344612991054,0.23625350150013508,0.23624212606822417,8
2,2018,SVM,0.5164835164832328,3.501555814858032,0.2560183144453766,0.25600693901346566,8
3,2018,XGBoost,0.4120879120876857,3.2308440295604823,0.23596911570236181,0.23595774027045086,8
4,2018,RankNet-MLP,0.5934065934062674,3.289421942587495,0.2448505032129339,0.2098849799008245,8
5,2018,RankNet-Oracle,0.6428571428567896,3.1329138812426267,0.23342918341597957,0.19943428889997353,8
