,Year,Model,SignAcc,MAE,50-Risk,90-Risk,plen
6,2019,CurRank,0.3901098901096758,2.6860400956409785,0.18605778429746794,0.186057784297468,8
7,2019,RandomForest,0.335164835164651,2.7334927349641345,0.18906818036864595,0.18906818036864595,8
8,2019,SVM,0.42307692307669065,2.651830053338238,0.1836851840040819,0.18368518400408188,8
9,2019,XGBoost,0.32967032967014853,2.6242413095457056,0.18154219019070095,0.1815421901907009,8
10,2019,RankNet-MLP,0.5054945054942278,2.4256023542394702,0.16813437913195292,0.13932605039859303,8
11,2019,RankNet-Oracle,0.5274725274722377,2.3615964686407946,0.16390454306217025,0.1372641497323457,8
0,2018,RankNet-Oracle-Raw,0.6428571428567896,3.1329138812426267,0.21057462229765447,0.19098435213266185,8
1,2018,RankNet-MLP-Raw,0.5934065934062674,3.289421942587495,0.21807218775214934,0.1965620739545366,8
2,2019,RankNet-Oracle-Raw,0.5274725274722377,2.3615964686407946,0.14931345963575066,0.13396347246143134,8
3,2019,RankNet-MLP-Raw,0.5054945054942278,2.4256023542394702,0.15281810741812937,0.13201296248793776,8
