,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lasso,ridge,rf,svr_rbf,svr_lin,xgb
0,Indy500-2018,1117,189,"+:72,0:19,-:98",4.101,7.206,6.561,3.561,3.413,3.519,4.101,3.386,4.090
0,Indy500-2019,1117,216,"+:66,0:33,-:117",4.292,7.931,6.199,4.144,4.245,4.236,4.292,4.153,4.782
