,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2018,1117,189,"+:75,0:114,-:0",0.603,0.370,0.466,0.751,0.762,0.635,0.852,0.746,0.831
0,Indy500-2019,1117,216,"+:84,0:132,-:0",0.611,0.509,0.495,0.662,0.741,0.431,0.838,0.685,0.815
