,Year,Model,SignAcc,MAE,50-Risk,90-Risk
0,2018,CurRank,0.0972972972972973,4.145945945945946,0.2591216216216216,0.23398648648648657
1,2018,RandomForest,0.572972972972973,3.545945945945946,0.22162162162162163,0.22054054054054056
2,2018,SVM,0.6054054054054054,3.4162162162162164,0.21351351351351353,0.21189189189189186
3,2018,XGBoost,0.4918918918918919,4.102702702702703,0.25641891891891894,0.23398648648648648
4,2018,RandomForest-Oracle,0.5891891891891892,3.32972972972973,0.20810810810810812,0.2102702702702703
5,2018,SVM-Oracle,0.654054054054054,3.389189189189189,0.21182432432432433,0.29263513513513517
6,2018,XGBoost-Oracle,0.5513513513513514,3.5837837837837836,0.22398648648648647,0.19939189189189183
7,2018,RankNet-MLP,0.6810810810810811,3.8324324324324324,0.2402027027027027,0.16349999999999995
8,2018,RankNet-Oracle,0.7135135135135136,3.2756756756756755,0.20658783783783785,0.18866216216216217
9,2019,CurRank,0.15165876777251186,4.327014218009479,0.2799746915533059,0.26200569440050614
10,2019,RandomForest,0.5118483412322274,4.308056872037914,0.2774438468838975,0.2761784245491933
11,2019,SVM,0.5118483412322274,4.218009478672986,0.26985131287567227,0.24884530211958242
12,2019,XGBoost,0.4549763033175355,4.85781990521327,0.3128756722556153,0.3035115469788041
13,2019,RandomForest-Oracle,0.5260663507109005,3.924170616113744,0.2537171781081936,0.2567541917114837
14,2019,SVM-Oracle,0.5971563981042654,4.1753554502369665,0.2689022461246441,0.3590003163555837
15,2019,XGBoost-Oracle,0.5071090047393365,4.3649289099526065,0.2837709585574185,0.32603606453653905
16,2019,RankNet-MLP,0.6161137440758294,4.331753554502369,0.28630180322682697,0.2231066118316988
17,2019,RankNet-Oracle,0.6635071090047393,3.6161137440758293,0.2336285985447643,0.21491300221448903
