,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Texas-2019,TransformerWFM-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.9279661016945221,0.7701320835108649,0.36003408606731996,0.044278439168211566,0.04182709343101561
1,Texas-2019,TransformerWFM-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.9605263157888418,0.8938694792353329,0.15161502966381016,0.023232201759208357,0.021069914788345235
2,Texas-2019,TransformerWFM-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.8690476190465845,0.5439759036144578,0.7409638554216867,0.08337524733516306,0.08038692793770345
