,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.34239130434764004,0.23832030539901836,2.7824031994182876,0.1906203964967569,0.18196975093749618
1,Indy500-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.5176470588229204,0.30403800475059384,1.6437054631828978,0.11937980070583348,0.11257257629229812
2,Indy500-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.19191919191899806,0.18252100840336136,3.7492436974789918,0.25397752186656203,0.24368744778565002
