,runid,trainsize,testsize,testdistribution,currank,avgrank,dice,lr,lsvc,lsvcl2,rf,lrbias,xgb
0,Indy500-2018,1117,189,"+:72,0:19,-:98",0.101,0.381,0.381,0.683,0.672,0.619,0.667,0.693,0.651
0,Indy500-2019,1117,216,"+:66,0:33,-:117",0.153,0.306,0.481,0.620,0.639,0.537,0.579,0.630,0.606
