,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Iowa-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.9444444444441166,0.732095046854083,0.5100401606425703,0.06280114867247717,0.059973627554704693
1,Iowa-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.9809523809519138,0.8148063259225303,0.23974329589731835,0.03654175367739863,0.03400955549946073
2,Iowa-2019,deepAR-multi,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.8461538461527613,0.5083694978301302,1.2411655300681959,0.1344546023794615,0.13082123982467125
