,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Pocono-2018,arima,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.8956043956039036,0.6474334956912702,0.5642562757587112,0.10590305584826133,0.0988990727081138
1,Pocono-2018,arima,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.956521739129603,0.7297619047619047,0.4142857142857143,0.09217890884330582,0.08489090135330667
2,Pocono-2018,arima,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.7910447761182223,0.5075834175935288,0.8190091001011123,0.12820218503664776,0.1216596874567833
