,car_number,start_position,norm_lap_mean,norm_lap_std,in_lap_mean,in_lap_std,out_lap_mean,out_lap_std
0,1,4,41.74370630630631,0.7663674531603839,54.33901538461537,0.8424844927549405,66.10483333333335,0.7302495684505551
1,3,8,41.61167255639098,0.6767817720866918,54.28160952380953,0.7251725800536581,66.9111125,0.4015423963839259
2,4,11,41.946152994011975,0.7702343776818146,54.29560217391306,0.3190569722118812,68.03608181818181,0.7296332962126564
3,6,18,42.01880204081632,0.7788191847859087,64.02726000000001,0.8913269581921105,55.488440000000004,0.2388742397162192
4,7,28,43.34629815384615,1.0819072496275233,76.50068518518519,5.074079262195238,58.03979285714287,0.9832546171220531
5,9,9,42.022495987654324,0.701249670550271,54.45810243902438,1.1068358938197271,66.47652500000001,0.5459051789230407
6,10,29,42.40926140350878,1.136933700215518,67.29809999999999,1.4210854715202004e-14,55.7272,0.0
7,12,3,41.48598464566929,0.7763249897593625,53.85771666666666,1.6716916426349542,65.95793333333333,0.9010906650646574
8,13,7,41.92789606299213,0.6403015292888938,55.341699999999996,7.105427357601002e-15,67.6166,0.0
9,14,10,41.54096109090909,0.6291235741993423,55.44999827586206,1.1145150232571994,66.8767,0.5561056130422917
10,15,30,41.99973054662379,0.7906784302913524,65.28572608695654,0.9007638271838785,55.580133333333336,0.21772637772111028
11,17,33,42.57152394366197,1.0123830869679786,73.60829999999999,2.8301000000000016,56.28979999999999,0.2638999999999996
12,18,5,41.90894470588236,0.7608106164347443,55.318099999999994,1.7613886567137873,68.01132,0.7793296565638966
13,19,13,42.26103822714681,0.8135319127786705,55.75331764705882,0.6907496360394123,68.84284,1.8656538908382747
14,20,1,41.55057277227723,0.8865731731156512,54.405826530612245,1.504872896087161,67.48011818181818,0.5464753488878938
15,21,6,41.95239678362572,0.7459339157238272,54.675803333333334,0.7072011823535237,66.19777222222221,3.2989011611285135
16,22,2,41.60530327272727,0.7887519970804383,53.73991509433964,2.0795465189075406,67.33358181818183,0.2539190702071756
17,23,15,42.03692890855457,0.8147396040509712,53.69994117647058,0.24542871628048477,67.87324166666667,2.2393165298286677
18,24,24,42.0251025,0.8006981744262095,65.39931250000001,0.8693134732901283,55.47002857142858,0.5155982508955315
19,25,23,42.1445563253012,0.8543727354465664,65.97013749999999,3.8152584659946362,55.759662500000005,0.15587130057759346
20,26,25,42.38313808139535,1.0425064610685029,70.2692923076923,2.3060596141008567,56.21935,0.28125
21,27,32,41.97150550458716,0.8117893170399689,66.25212083333334,1.2757803442008784,55.42379999999999,0.4804554838900254
22,28,14,41.67878947368422,0.6420199478595412,64.81957142857144,1.0438168171451827,55.24820999999999,0.45091745242338854
23,29,21,41.99028115015974,0.9680594424009713,66.46304583333333,1.2880690059734015,55.808885714285715,0.4933730591653793
24,30,16,41.9648147826087,0.7983198223926009,54.809999999999995,7.105427357601002e-15,68.4885,0.0
25,32,17,42.267501176470596,0.6239162468606305,84.54132307692308,16.896066798571052,61.39836666666666,5.771865640809353
26,33,19,42.80369699248121,1.4295234850385186,70.6133,0.0,57.0159,0.0
27,59,20,42.52640780346821,1.1494597839338716,56.83471851851852,1.7742671008652067,67.35447499999998,5.790585157984899
28,60,31,42.17222848664688,0.8086921946678483,66.23222399999999,2.168657809112355,55.314366666666665,0.26226853075087353
29,64,26,42.085915,0.8027039275318137,65.65701851851851,2.5760189459041394,56.65242222222222,0.19946243744278686
30,66,27,42.257984426229505,0.8871571136615541,66.21406,2.061200914612643,55.831025000000004,0.6034691474093786
31,88,22,42.102550268817204,0.8315590756304497,66.40814761904764,1.0179779254876056,56.038925,0.1592048267955474
32,98,12,41.822696875,0.6175111111591489,54.634952941176486,0.5992471847023589,66.96824545454545,0.5517638104110659
