,car_number,completed_laps,elapsed_time,lap_status,last_laptime,last_pitted_lap,pit_stop_count,rank,track_status
0,1,1,42.388070867195914,T,41.948070867195916,0.0,0.0,4,G
1,1,2,85.81531416467797,T,43.427243297482065,0.0,0.0,15,G
2,1,3,126.36120322370952,T,40.54588905903155,0.0,0.0,7,G
3,1,4,167.93374717996087,T,41.57254395625136,0.0,0.0,5,G
4,1,5,209.59870908795233,T,41.664961907991454,0.0,0.0,5,G
5,1,6,251.68298191061288,T,42.08427282266056,0.0,0.0,3,G
6,1,7,292.51807120043657,T,40.835089289823664,0.0,0.0,3,G
7,1,8,333.64771225889587,T,41.129641058459285,0.0,0.0,3,G
8,1,9,375.21470989748065,T,41.566997638584766,0.0,0.0,3,G
9,1,10,417.5603752751879,T,42.34566537770725,0.0,0.0,4,G
10,1,11,458.75688904699444,T,41.19651377180658,0.0,0.0,5,G
11,1,12,499.86240681986106,T,41.1055177728666,0.0,0.0,3,G
12,1,13,542.1706776227431,T,42.30827080288206,0.0,0.0,4,G
13,1,14,584.4630814337996,T,42.29240381105651,0.0,0.0,4,G
14,1,15,626.4577728506868,T,41.99469141688714,0.0,0.0,5,G
15,1,16,667.6219670761791,T,41.164194225492395,0.0,0.0,4,G
16,1,17,709.6772686948495,T,42.05530161867047,0.0,0.0,5,G
17,1,18,751.4804141154236,T,41.803145420574076,0.0,0.0,5,G
18,1,19,792.1224323869998,T,40.642018271576134,0.0,0.0,3,G
19,1,20,832.5962510450562,T,40.47381865805644,0.0,0.0,4,G
20,1,21,874.3893121134148,T,41.79306106835861,0.0,0.0,4,G
21,1,22,916.1688732258065,T,41.779561112391626,0.0,0.0,3,G
22,1,23,957.6839711697643,T,41.515097943957855,0.0,0.0,3,G
23,1,24,999.3621650432956,T,41.67819387353133,0.0,0.0,3,G
24,1,25,1041.5480133071974,T,42.185848263901754,0.0,0.0,4,G
25,1,26,1083.3188040768694,T,41.77079076967198,0.0,0.0,4,G
26,1,27,1124.9520355843702,T,41.6332315075009,0.0,0.0,4,G
27,1,28,1166.8003999370605,T,41.84836435269036,0.0,0.0,3,G
28,1,29,1207.9245389782645,T,41.12413904120402,0.0,0.0,3,G
29,1,30,1249.8684060630412,T,41.94386708477668,0.0,0.0,3,G
30,1,31,1292.1613888691509,T,42.292982806109734,0.0,0.0,3,G
31,1,32,1334.2762285627348,T,42.114839693583924,0.0,0.0,4,G
32,1,33,1375.5768871236905,T,41.30065856095575,0.0,0.0,3,G
33,1,34,1417.7405571474037,T,42.1636700237131,0.0,0.0,3,G
34,1,35,1459.41906054697,T,41.67850339956641,0.0,0.0,1,G
35,1,36,1501.6890570307885,T,42.26999648381842,0.0,0.0,1,G
36,1,37,1543.8945709986222,T,42.20551396783371,0.0,0.0,1,G
37,1,38,1596.4831513121885,P,52.588580313566396,37.0,0.0,1,G
38,1,39,1662.423446231297,T,65.94029491910855,0.0,0.0,3,G
39,1,40,1703.2680210986468,T,40.84457486734987,0.0,0.0,3,G
40,1,41,1745.9929071801878,T,42.72488608154091,0.0,0.0,4,G
41,1,42,1787.827069918447,T,41.83416273825924,0.0,0.0,4,G
42,1,43,1830.58182315696,T,42.75475323851283,0.0,0.0,4,G
43,1,44,1873.3771449891155,T,42.79532183215576,0.0,0.0,4,G
44,1,45,1914.9422099040983,T,41.56506491498268,0.0,0.0,4,G
45,1,46,1957.2379765331345,T,42.29576662903637,0.0,0.0,4,G
46,1,47,1998.7827378926993,T,41.54476135956466,0.0,0.0,5,G
47,1,48,2041.3474733328637,T,42.56473544016441,0.0,0.0,5,G
48,1,49,2081.2712681849366,T,39.9237948520728,0.0,0.0,4,G
49,1,50,2123.2688157323023,T,41.99754754736577,0.0,0.0,5,G
50,1,51,2163.7698983858263,T,40.50108265352409,0.0,0.0,4,G
51,1,52,2205.119193240968,T,41.3492948551415,0.0,0.0,4,G
52,1,53,2248.1671766720674,T,43.04798343109973,0.0,0.0,5,G
53,1,54,2290.0843926570656,T,41.917215984998066,0.0,0.0,5,G
54,1,55,2331.811639166518,T,41.72724650945254,0.0,0.0,5,G
55,1,56,2374.2029035908804,T,42.391264424362326,0.0,0.0,5,G
56,1,57,2416.5272597808457,T,42.324356189965314,0.0,0.0,6,G
57,1,58,2457.346082239342,T,40.81882245849666,0.0,0.0,6,G
58,1,59,2499.7343139595064,T,42.38823172016405,0.0,0.0,6,G
59,1,60,2541.207742119274,T,41.47342815976744,0.0,0.0,6,G
60,1,61,2581.7971929652426,T,40.58945084596856,0.0,0.0,6,G
61,1,62,2623.79639487275,T,41.99920190750775,0.0,0.0,6,G
62,1,63,2665.1896457591406,T,41.39325088639028,0.0,0.0,5,G
63,1,64,2706.6869564020635,T,41.497310642922876,0.0,0.0,5,G
64,1,65,2748.888348227158,T,42.201391825094575,0.0,0.0,5,G
65,1,66,2789.7283919667875,T,40.840043739629294,0.0,0.0,4,G
66,1,67,2832.6782272325504,T,42.94983526576282,0.0,0.0,4,G
67,1,68,2872.71768958758,T,40.03946235502949,0.0,0.0,2,G
68,1,69,2913.78911297128,T,41.071423383699845,0.0,0.0,2,G
69,1,70,2955.1213803727346,T,41.33226740145498,0.0,0.0,1,G
70,1,71,2997.8663792814614,T,42.74499890872679,0.0,0.0,1,G
71,1,72,3053.0245108018594,P,55.158131520397795,71.0,1.0,1,G
72,1,73,3119.3964494062157,T,66.37193860435605,0.0,0.0,7,G
73,1,74,3162.803236333129,T,43.40678692691351,0.0,0.0,7,G
74,1,75,3205.933212085172,T,43.129975752042704,0.0,0.0,6,G
