,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
0,1,0,1,0.0,0.0,0.0
24,1,1,1,63.6534,0.0,63.6534
95,1,2,1,126.0809,0.0,62.4275
154,1,3,1,187.5192,0.0,61.43830000000001
213,1,4,1,248.6149,0.0,61.095699999999994
273,1,5,1,309.657,0.0,61.04209999999998
335,1,6,1,370.2867,0.0,60.629700000000014
396,1,7,1,431.3511,0.0,61.06439999999998
456,1,8,1,492.1462,0.0,60.79510000000005
518,1,9,1,552.7227,0.0,60.57650000000001
578,1,10,1,614.0416,0.0,61.318899999999985
640,1,11,1,674.6216,0.0,60.57999999999993
700,1,12,1,735.2583,0.0,60.63670000000002
770,1,13,1,795.9957,0.0,60.73740000000009
836,1,14,1,858.372,0.0,62.3762999999999
897,1,15,1,919.7843,0.0,61.41230000000007
968,1,16,1,981.0499,0.0,61.26559999999995
1040,1,17,1,1042.5487,0.0,61.498800000000074
1104,1,18,1,1104.1345,0.0,61.585799999999836
1200,1,19,1,1165.558,0.0,61.423500000000104
1266,1,20,1,1227.2687,0.0,61.71070000000009
1338,1,21,1,1288.991,0.0,61.722299999999905
1409,1,22,1,1350.6409,0.0,61.649900000000116
1514,1,23,4,1433.9339,3.0,83.29299999999989
1577,1,24,3,1497.069,-1.0,63.135099999999966
1654,1,25,3,1558.6128,0.0,61.54380000000015
1720,1,26,3,1619.7585,0.0,61.145699999999806
1780,1,27,3,1681.2845,0.0,61.52600000000007
1845,1,28,3,1748.3659,0.0,67.08140000000003
1922,1,29,3,1852.2508,0.0,103.88490000000002
1961,1,30,1,1956.7847,-2.0,104.5338999999999
2087,1,31,1,2066.5326,0.0,109.74790000000007
2149,1,32,1,2169.9065,0.0,103.37390000000005
2231,1,33,5,2275.6374,4.0,105.73090000000002
2326,1,34,13,2367.0019,8.0,91.36450000000013
2397,1,35,13,2480.9928,0.0,113.99089999999978
2481,1,36,18,2633.9259,5.0,152.9331000000002
2541,1,37,17,2704.4356,-1.0,70.50969999999961
2601,1,38,16,2807.2728,-1.0,102.8372000000004
2656,1,39,16,2899.2318,0.0,91.95899999999983
2717,1,40,14,2969.4604,-2.0,70.22859999999991
2778,1,41,14,3036.0872,0.0,66.6268
2837,1,42,14,3110.0175,0.0,73.93029999999999
2898,1,43,14,3202.7986,0.0,92.78110000000015
2953,1,44,14,3297.2904,0.0,94.49179999999978
3010,1,45,13,3363.41,-1.0,66.11959999999999
3072,1,46,13,3427.237,0.0,63.827000000000226
3132,1,47,13,3489.8138,0.0,62.57679999999982
3193,1,48,13,3551.9109,0.0,62.097099999999955
3254,1,49,13,3613.6353,0.0,61.72440000000006
3316,1,50,13,3675.0338,0.0,61.39850000000024
3378,1,51,13,3736.2054,0.0,61.17159999999967
3444,1,52,12,3797.4698,-1.0,61.26440000000002
3515,1,53,10,3859.1287,-2.0,61.65890000000036
3617,1,54,15,3942.5347,5.0,83.40599999999995
3687,1,55,15,4005.3592,0.0,62.824499999999716
3769,1,56,15,4066.3441,0.0,60.984899999999925
3832,1,57,13,4127.2766,-2.0,60.932500000000346
3901,1,58,13,4188.152,0.0,60.8753999999999
3966,1,59,13,4249.32,0.0,61.167999999999665
4026,1,60,13,4312.0943,0.0,62.77430000000004
4088,1,61,13,4374.2321,0.0,62.137800000000425
4152,1,62,13,4435.9597,0.0,61.727600000000166
4215,1,63,13,4498.1344,0.0,62.174699999999575
4278,1,64,12,4560.0564,-1.0,61.92200000000048
4344,1,65,12,4621.9598,0.0,61.90339999999924
4411,1,66,12,4683.6755,0.0,61.71570000000065
4472,1,67,11,4745.4334,-1.0,61.75789999999961
4541,1,68,11,4806.6866,0.0,61.253200000000106
4603,1,69,11,4868.3961,0.0,61.709499999999935
4666,1,70,11,4930.3382,0.0,61.94210000000021
4727,1,71,11,4991.6115,0.0,61.273299999999836
4788,1,72,11,5053.1677,0.0,61.55619999999999
4849,1,73,11,5115.662,0.0,62.494300000000294
4907,1,74,11,5178.3764,0.0,62.71439999999984
4969,1,75,11,5240.1048,0.0,61.728399999999965
5030,1,76,10,5302.0742,-1.0,61.96939999999995
5096,1,77,10,5363.6267,0.0,61.55249999999978
5160,1,78,10,5424.8855,0.0,61.25880000000052
5221,1,79,10,5485.9183,0.0,61.03279999999995
5280,1,80,10,5547.5812,0.0,61.662899999999354
5340,1,81,10,5609.1063,0.0,61.52510000000075
5399,1,82,10,5670.5231,0.0,61.41679999999997
5459,1,83,10,5732.1372,0.0,61.61409999999978
5519,1,84,9,5793.5324,-1.0,61.39519999999993
5582,1,85,9,5855.8855,0.0,62.35310000000027
11,4,0,12,0.9026,0.0,0.0
71,4,1,12,70.1302,0.0,69.2276
138,4,2,13,134.5598,1.0,64.4296
196,4,3,13,196.9749,0.0,62.415099999999995
256,4,4,13,258.9173,0.0,61.94240000000002
314,4,5,13,321.0029,0.0,62.0856
378,4,6,13,382.4263,0.0,61.423400000000015
439,4,7,13,443.8291,0.0,61.40279999999996
498,4,8,13,505.5962,0.0,61.76710000000003
559,4,9,13,567.5214,0.0,61.92519999999996
621,4,10,13,629.2989,0.0,61.77750000000003
682,4,11,13,691.2747,0.0,61.97580000000005
748,4,12,14,753.9087,1.0,62.6339999999999
819,4,13,15,816.7726,1.0,62.86390000000006
882,4,14,15,878.9851,0.0,62.21249999999998
944,4,15,14,940.7988,-1.0,61.81370000000004
1014,4,16,13,1003.1983,-1.0,62.39949999999999
1084,4,17,13,1065.5271,0.0,62.3288
1151,4,18,10,1127.5495,-3.0,62.02240000000006
1239,4,19,10,1189.9406,0.0,62.391099999999824
1307,4,20,9,1252.2717,-1.0,62.331100000000106
1402,4,21,20,1337.6812,11.0,85.40949999999998
1475,4,22,19,1402.0332,-1.0,64.35200000000009
1557,4,23,18,1463.8586,-1.0,61.825399999999945
1617,4,24,17,1525.9872,-1.0,62.128600000000006
1680,4,25,16,1587.4044,-1.0,61.417199999999866
1743,4,26,16,1648.9723,0.0,61.56790000000001
1805,4,27,16,1710.7727,0.0,61.80040000000008
1875,4,28,15,1776.6302,-1.0,65.85750000000007
1945,4,29,15,1864.6833,0.0,88.05309999999986
2022,4,30,9,1964.1036,-6.0,99.4203
2123,4,31,9,2075.8007,0.0,111.69709999999986
2186,4,32,9,2182.3877,0.0,106.58700000000044
2235,4,33,9,2276.5463,0.0,94.15859999999975
2348,4,34,18,2384.7922,9.0,108.24589999999989
2407,4,35,18,2486.6752,0.0,101.88300000000027
2468,4,36,16,2617.2267,-2.0,130.55150000000003
2533,4,37,15,2699.3127,-1.0,82.08599999999979
2607,4,38,18,2809.1893,3.0,109.87660000000005
2659,4,39,18,2900.1256,0.0,90.93629999999985
2730,4,40,18,2971.972,0.0,71.84640000000036
