,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Pocono-2018,TransformerWFM-MLP,S0LTYP0T-c60-2014-2018-drank-oracle,all,0.9414893617016269,0.8655309894889452,0.16382747372236317,0.031227871443624853,0.02543833508956796
1,Pocono-2018,TransformerWFM-MLP,S0LTYP0T-c60-2014-2018-drank-oracle,normal,0.991452991452144,0.9836257309941521,0.022222222222222223,0.0067993020682611096,0.004950225551110725
2,Pocono-2018,TransformerWFM-MLP,S0LTYP0T-c60-2014-2018-drank-oracle,pit,0.8591549295762547,0.67302192564347,0.39466158245948524,0.07091965150048402,0.05872761720370626
