,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2018,arima,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.4402173913041086,0.2594086021505376,3.314516129032258,0.23418121149897334,0.22792645628444827
1,Indy500-2018,arima,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.6774193548376171,0.3948237885462555,2.011013215859031,0.13766490061515488,0.13285390605554173
2,Indy500-2018,arima,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.31967213114727894,0.18691037735849056,4.012382075471698,0.2933156140389098,0.28617628374109494
