,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2018,TransformerWFM-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.888297872339953,0.5593632958801498,0.897003745318352,0.07375229655246947,0.06977741813465901
1,Indy500-2018,TransformerWFM-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normal,0.9090909090895316,0.75564681724846,0.3860369609856263,0.03434057532980123,0.03180562528890942
2,Indy500-2018,TransformerWFM-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,pit,0.87704918032715,0.44663915094339623,1.190448113207547,0.09789939217010524,0.09304228666042134
