,Year,Model,ExpID,laptype,Top1Acc,SignAcc,MAE,50-Risk,90-Risk
0,Texas-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.9110169491521564,0.7920749893481039,0.3749467405198125,0.04367838556208259,0.040783752875745455
1,Texas-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normal,0.9671052631572585,0.9152933421226104,0.1015161502966381,0.015401319406267178,0.012650419186366136
2,Texas-2019,deepARW-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,pit,0.8095238095228457,0.5668674698795181,0.8746987951807229,0.09620763388013023,0.09304599476606881
