,Year,Model,ExpID,laptype,Top1Acc,MAE,50-Risk,90-Risk
0,2019,Transformer-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,all,0.7553191489357685,1.0939776159175698,0.07481207324074415,0.059277039588601005
1,2019,Transformer-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,normal,0.898876404493372,0.2321024868123587,0.01754683931907827,0.016354183101515474
2,2019,Transformer-MLP,weighted-noinlap-S0LTYP0T-nocate-c60-drank-pitmodel,pit,0.6262626262619937,1.8628571428571428,0.12574034755717614,0.0974500611571392
