,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,deepAR-Oracle,2,True,0.6436170212765957,0.574468085106383,0.8095744680851064,0.7585106382978724,0.8114372424817203,13.254285163649168
1,deepAR-Oracle-curtrack,2,True,0.648936170212766,0.574468085106383,0.8063829787234043,0.7468085106382979,0.8064581447820346,13.44774268387589
2,deepAR,2,True,0.6781914893617021,0.6223404255319149,0.8037234042553192,0.752127659574468,0.7837527292334252,15.196758164104374
3,naive,2,True,0.6888297872340425,0.6170212765957447,0.823404255319149,0.7776595744680851,0.7967779663585223,15.814126910708769
4,arima,2,True,0.6888297872340425,0.6170212765957447,0.823404255319149,0.7776595744680851,0.7967779663585223,15.814126910708769
5,deepAR-Oracle,5,True,0.5075268817204301,0.3870967741935484,0.6873118279569892,0.5612903225806452,0.6832719747040019,24.680230014025234
6,deepAR-Oracle-curtrack,5,True,0.4881720430107527,0.3763440860215054,0.6735483870967742,0.5483870967741935,0.6792806489669125,24.52966703028414
7,deepAR,5,True,0.4967741935483871,0.40860215053763443,0.672258064516129,0.5483870967741935,0.6278939073656012,30.19675424653265
8,naive,5,True,0.5161290322580645,0.40860215053763443,0.6976344086021505,0.5827956989247312,0.6240899049066692,31.63727307672328
9,arima,5,True,0.5161290322580645,0.40860215053763443,0.6976344086021505,0.5827956989247312,0.6240899049066692,31.63727307672328
10,deepAR-Oracle,10,True,0.35294117647058826,0.11764705882352941,0.5523529411764706,0.3941176470588235,0.5540175981265946,33.67221540210286
11,deepAR-Oracle-curtrack,10,True,0.35,0.11764705882352941,0.5564705882352942,0.40588235294117647,0.5472120211441936,34.84861935208866
12,deepAR,10,True,0.3558823529411765,0.14705882352941177,0.5541176470588235,0.38823529411764707,0.5007624970177174,38.27616822961069
13,naive,10,True,0.36470588235294116,0.17647058823529413,0.5347058823529411,0.38235294117647056,0.4860236301635279,41.27847811878374
14,arima,10,True,0.36470588235294116,0.17647058823529413,0.5347058823529411,0.38235294117647056,0.4860236301635279,41.27847811878374
15,deepAR-Oracle,20,True,0.225,0.0,0.38785714285714284,0.21428571428571427,0.3791623716153128,50.98505952380953
16,deepAR-Oracle-curtrack,20,True,0.18571428571428572,0.0,0.37642857142857145,0.2,0.3640443328055859,51.93775
17,deepAR,20,True,0.26785714285714285,0.07142857142857142,0.385,0.22857142857142856,0.41451214529289976,44.66554761904762
18,naive,20,True,0.20714285714285716,0.07142857142857142,0.3678571428571429,0.2571428571428571,0.36096295721187033,51.9531626984127
19,arima,20,True,0.20714285714285716,0.07142857142857142,0.3678571428571429,0.2571428571428571,0.36096295721187033,51.9531626984127
20,deepAR-Oracle,30,True,0.1125,0.0,0.4325,0.325,0.33848853249029076,48.92129629629629
21,deepAR-Oracle-curtrack,30,True,0.1625,0.125,0.4475,0.35,0.36453532016671397,45.57465277777777
22,deepAR,30,True,0.175,0.125,0.45166666666666666,0.325,0.4072156902213382,41.03680555555556
23,naive,30,True,0.3375,0.375,0.4508333333333333,0.5,0.37644806171260775,44.43750000000001
24,arima,30,True,0.3375,0.375,0.4508333333333333,0.5,0.37644806171260775,44.43750000000001
25,deepAR-Oracle,2,False,0.6808510638297872,0.6063829787234043,0.8382978723404255,0.7872340425531915,0.829083729909422,11.253933857539316
26,deepAR-Oracle-curtrack,2,False,0.675531914893617,0.6063829787234043,0.825531914893617,0.7553191489361702,0.8165611370273445,11.859175917360465
27,deepAR,2,False,0.6861702127659575,0.6170212765957447,0.8457446808510638,0.7957446808510639,0.8230082446877218,10.777310103813342
28,naive,2,False,0.75,0.6808510638297872,0.8542553191489362,0.8,0.8475092527550083,10.346604224483498
29,arima,2,False,0.75,0.6808510638297872,0.8542553191489362,0.8,0.8475092527550083,10.346604224483498
30,deepAR-Oracle,5,False,0.4918918918918919,0.32432432432432434,0.6875675675675675,0.5567567567567567,0.6847244583807244,23.64641467554511
