,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,deepAR-Oracle,2,True,0.6462765957446809,0.5691489361702128,0.8053191489361702,0.7510638297872341,0.8117749053199613,13.221881029470067
1,deepAR-Oracle-curtrack,2,True,0.6569148936170213,0.574468085106383,0.8063829787234043,0.7414893617021276,0.806451925092074,13.39200841005535
2,deepAR,2,True,0.6356382978723404,0.5797872340425532,0.7882978723404256,0.7393617021276596,0.7660206659682901,16.712999408983443
3,naive,2,True,0.6888297872340425,0.6170212765957447,0.823404255319149,0.7776595744680851,0.7967779663585223,15.814126910708769
4,arima,2,True,0.6888297872340425,0.6170212765957447,0.823404255319149,0.7776595744680851,0.7967779663585223,15.814126910708769
5,deepAR-Oracle,5,True,0.4967741935483871,0.3763440860215054,0.6916129032258065,0.5591397849462365,0.6858723273212838,24.30624964936886
6,deepAR-Oracle-curtrack,5,True,0.5053763440860215,0.3763440860215054,0.672258064516129,0.5397849462365591,0.6812237103038191,24.25061627967378
7,deepAR,5,True,0.4989247311827957,0.3870967741935484,0.6584946236559139,0.5591397849462365,0.6230268463031434,30.57425598670199
8,naive,5,True,0.5161290322580645,0.40860215053763443,0.6976344086021505,0.5827956989247312,0.6240899049066692,31.63727307672328
9,arima,5,True,0.5161290322580645,0.40860215053763443,0.6976344086021505,0.5827956989247312,0.6240899049066692,31.63727307672328
10,deepAR-Oracle,10,True,0.3558823529411765,0.11764705882352941,0.5564705882352942,0.40588235294117647,0.555467006077018,33.706714407502126
11,deepAR-Oracle-curtrack,10,True,0.35294117647058826,0.11764705882352941,0.5594117647058824,0.3941176470588235,0.553939076791687,34.117413043478265
12,deepAR,10,True,0.36470588235294116,0.14705882352941177,0.5329411764705883,0.3764705882352941,0.4909487302694464,39.30056891162262
13,naive,10,True,0.36470588235294116,0.17647058823529413,0.5347058823529411,0.38235294117647056,0.4860236301635279,41.27847811878374
14,arima,10,True,0.36470588235294116,0.17647058823529413,0.5347058823529411,0.38235294117647056,0.4860236301635279,41.27847811878374
15,deepAR-Oracle,20,True,0.225,0.0,0.37857142857142856,0.22857142857142856,0.3829513508301872,50.48921428571428
16,deepAR-Oracle-curtrack,20,True,0.19285714285714287,0.0,0.3921428571428571,0.22857142857142856,0.35945771221532097,52.57194841269841
17,deepAR,20,True,0.26785714285714285,0.07142857142857142,0.3985714285714286,0.2,0.4037273845045265,46.66440873015873
18,naive,20,True,0.20714285714285716,0.07142857142857142,0.3678571428571429,0.2571428571428571,0.36096295721187033,51.9531626984127
19,arima,20,True,0.20714285714285716,0.07142857142857142,0.3678571428571429,0.2571428571428571,0.36096295721187033,51.9531626984127
20,deepAR-Oracle,30,True,0.12916666666666668,0.0,0.43333333333333335,0.325,0.3416665975971709,48.4318287037037
21,deepAR-Oracle-curtrack,30,True,0.16666666666666666,0.125,0.46166666666666667,0.35,0.3751276206940103,44.21168981481482
22,deepAR,30,True,0.2791666666666667,0.25,0.405,0.375,0.37720393853998924,43.32175925925927
23,naive,30,True,0.3375,0.375,0.4508333333333333,0.5,0.37644806171260775,44.43750000000001
24,arima,30,True,0.3375,0.375,0.4508333333333333,0.5,0.37644806171260775,44.43750000000001
25,deepAR-Oracle,2,False,0.6968085106382979,0.6170212765957447,0.8308510638297872,0.774468085106383,0.8272102651645695,11.302074725048824
26,deepAR-Oracle-curtrack,2,False,0.6648936170212766,0.5851063829787234,0.8276595744680851,0.7617021276595745,0.8191849461310604,11.778853941823414
27,deepAR,2,False,0.6648936170212766,0.5957446808510638,0.8138297872340425,0.7489361702127659,0.7990108477164308,12.873291962174939
28,naive,2,False,0.75,0.6808510638297872,0.8542553191489362,0.8,0.8475092527550083,10.346604224483498
29,arima,2,False,0.75,0.6808510638297872,0.8542553191489362,0.8,0.8475092527550083,10.346604224483498
30,deepAR-Oracle,5,False,0.5027027027027027,0.35135135135135137,0.6810810810810811,0.5513513513513514,0.6807790154255626,24.102841101971542
31,deepAR-Oracle-curtrack,5,False,0.5513513513513514,0.4594594594594595,0.6691891891891892,0.5567567567567567,0.6869497764679349,22.95262566914741
32,deepAR,5,False,0.5459459459459459,0.4864864864864865,0.6637837837837838,0.5567567567567567,0.6535642678251374,26.067398093745922
33,naive,5,False,0.5405405405405406,0.4594594594594595,0.6562162162162162,0.5513513513513514,0.6373181112291088,28.787897114505824
34,arima,5,False,0.5405405405405406,0.4594594594594595,0.6562162162162162,0.5513513513513514,0.6373181112291088,28.787897114505824
35,deepAR-Oracle,10,False,0.32941176470588235,0.11764705882352941,0.5058823529411764,0.35294117647058826,0.5071311702856761,37.8157385620915
36,deepAR-Oracle-curtrack,10,False,0.37058823529411766,0.17647058823529413,0.5117647058823529,0.32941176470588235,0.5122260117346171,37.30183006535948
37,deepAR,10,False,0.32941176470588235,0.11764705882352941,0.46941176470588236,0.2823529411764706,0.45943231198702844,41.161045751633985
38,naive,10,False,0.3588235294117647,0.17647058823529413,0.4611764705882353,0.3058823529411765,0.4905661551577153,38.13792810457517
39,arima,10,False,0.3588235294117647,0.17647058823529413,0.4611764705882353,0.3058823529411765,0.4905661551577153,38.13792810457517
40,deepAR-Oracle,20,False,0.2642857142857143,0.0,0.38285714285714284,0.17142857142857143,0.32088821195144723,58.88022222222222
41,deepAR-Oracle-curtrack,20,False,0.22857142857142856,0.0,0.40714285714285714,0.2,0.30527705415499534,59.48809523809525
42,deepAR,20,False,0.22142857142857142,0.0,0.37,0.17142857142857143,0.34554169000933704,51.20228571428572
43,naive,20,False,0.25,0.14285714285714285,0.39714285714285713,0.2571428571428571,0.32045515873015873,57.4340634920635
44,arima,20,False,0.25,0.14285714285714285,0.39714285714285713,0.2571428571428571,0.32045515873015873,57.4340634920635
45,deepAR-Oracle,30,False,0.18333333333333332,0.0,0.3933333333333333,0.35,0.3068913004009977,49.52708333333333
46,deepAR-Oracle-curtrack,30,False,0.225,0.25,0.38666666666666666,0.35,0.29402975119194213,50.941435185185185
47,deepAR,30,False,0.21666666666666667,0.25,0.38666666666666666,0.4,0.34295976603201667,44.08842592592593
48,naive,30,False,0.25833333333333336,0.5,0.4,0.55,0.343560374632945,44.41527777777778
49,arima,30,False,0.25833333333333336,0.5,0.4,0.55,0.343560374632945,44.41527777777778
