rank,car_number,unique_id,completed_laps,elapsed_time,last_laptime,lap_status,best_laptime,best_lap,time_behind_leader,laps_behind_leade,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,current_status,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
1,20,0,0,0.0,91.488,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,G,0,0,1,0
2,22,1,0,0.112,91.0722,T,0.0,0,0.112,0,0.112,0,2,0.0,Active,G,0,0,2,0
3,12,2,0,0.2247,90.2903,T,0.0,0,0.2247,0,0.1127,0,3,0.0,Active,G,0,0,3,0
4,1,3,0,0.415,89.7686,T,0.0,0,0.415,0,0.1903,0,4,0.0,Active,G,0,0,4,0
5,18,4,0,0.3152,89.3432,T,0.0,0,0.3152,0,0.0,0,5,0.0,Active,G,0,0,5,0
6,21,5,0,0.4757,88.2831,T,0.0,0,0.4757,0,0.1605,0,6,0.0,Active,G,0,0,6,0
9,9,8,0,0.9168,85.0895,T,0.0,0,0.9168,0,0.9168,0,9,0.0,Active,G,0,0,9,0
7,13,6,0,0.9676,87.6776,T,0.0,0,0.9676,0,0.4919,0,7,0.0,Active,G,0,0,7,0
8,3,7,0,0.9523,85.8539,T,0.0,0,0.9523,0,0.0,0,8,0.0,Active,G,0,0,8,0
10,14,9,0,1.2565,84.5179,T,0.0,0,1.2565,0,0.3397,0,A,0.0,Active,G,0,0,A,0
11,4,A,0,1.4313,83.9523,T,0.0,0,1.4313,0,0.1748,0,B,0.0,Active,G,0,0,B,0
12,98,B,0,1.2978,82.8362,T,0.0,0,1.2978,0,0.0,0,C,0.0,Active,G,0,0,C,0
9,9,8,0,0.9168,85.0895,T,0.0,0,0.9168,0,0.0,0,9,0.0,Active,G,0,0,9,0
13,19,C,0,2.1557,83.0375,T,0.0,0,2.1557,0,0.8579,0,D,0.0,Active,G,0,0,D,0
14,28,D,0,1.9621,81.0943,T,0.0,0,1.9621,0,0.0,0,E,0.0,Active,G,0,0,E,0
15,23,E,0,2.4256,80.9017,T,0.0,0,2.4256,0,0.4635,0,F,0.0,Active,G,0,0,F,0
16,30,F,0,2.934,79.8041,T,0.0,0,2.934,0,0.5084,0,10,0.0,Active,G,0,0,10,0
17,32,10,0,3.0694,79.0869,T,0.0,0,3.0694,0,0.1354,0,11,0.0,Active,G,0,0,11,0
18,6,11,0,3.086,78.4949,T,0.0,0,3.086,0,0.0166,0,12,0.0,Active,G,0,0,12,0
19,33,12,0,3.1722,77.27,T,0.0,0,3.1722,0,0.0862,0,13,0.0,Active,G,0,0,13,0
20,59,13,0,3.2722,75.5248,T,0.0,0,3.2722,0,0.1,0,14,0.0,Active,G,0,0,14,0
21,29,14,0,3.3513,75.15,T,0.0,0,3.3513,0,0.0791,0,15,0.0,Active,G,0,0,15,0
22,88,15,0,3.8406,74.663,T,0.0,0,3.8406,0,0.4893,0,16,0.0,Active,G,0,0,16,0
23,25,16,0,3.746,74.0287,T,0.0,0,3.746,0,0.0,0,17,0.0,Active,G,0,0,17,0
24,24,17,0,3.9122,72.855,T,0.0,0,3.9122,0,0.1662,0,18,0.0,Active,G,0,0,18,0
25,26,18,0,4.4716,72.788,T,0.0,0,4.4716,0,0.5594,0,19,0.0,Active,G,0,0,19,0
26,64,19,0,4.2945,71.3916,T,0.0,0,4.2945,0,0.0,0,1A,0.0,Active,G,0,0,1A,0
27,66,1A,0,4.2688,69.9619,T,0.0,0,4.2688,0,0.0,0,1B,0.0,Active,G,0,0,1B,0
29,10,1C,0,4.4898,67.9516,T,0.0,0,4.4898,0,4.4898,0,1D,0.0,Active,G,0,0,1D,0
30,15,1D,0,4.301,66.6294,T,0.0,0,4.301,0,0.0,0,1E,0.0,Active,G,0,0,1E,0
32,27,1F,0,4.5005,65.5831,T,0.0,0,4.5005,0,4.5005,0,20,0.0,Active,G,0,0,20,0
28,7,1B,0,4.583,68.2146,T,0.0,0,4.583,0,0.3142,0,1C,0.0,Active,G,0,0,1C,0
31,60,1E,0,4.6914,66.205,T,0.0,0,4.6914,0,0.3904,0,1F,0.0,Active,G,0,0,1F,0
33,17,20,0,4.7338,64.9142,T,0.0,0,4.7338,0,0.2333,0,21,0.0,Active,G,0,0,21,0
29,10,1C,0,4.4898,67.9516,T,0.0,0,4.4898,0,0.0,0,1D,0.0,Active,G,0,0,1D,0
32,27,1F,0,4.5005,65.5831,T,0.0,0,4.5005,0,0.0,0,20,0.0,Active,G,0,0,20,0
1,20,0,1,41.9372,41.9372,T,41.9372,1,0.0,0,0.0,0,1,41.9372,Active,G,0,0,1,1
2,12,2,1,42.1485,41.9238,T,41.9238,1,0.2113,0,0.2113,0,2,41.9238,Active,G,0,0,3,0
3,22,1,1,42.2152,42.1032,T,42.1032,1,0.278,0,0.0667,0,3,42.1032,Active,G,0,0,2,0
4,1,3,1,42.7829,42.3679,T,42.3679,1,0.8457,0,0.5677,0,4,42.3679,Active,G,0,0,4,0
5,18,4,0,0.3152,89.3432,T,0.0,0,0.0,1,0.0,1,5,0.0,Active,G,0,0,5,0
6,21,5,0,0.4757,88.2831,T,0.0,0,0.0,1,0.1605,0,6,0.0,Active,G,0,0,6,0
7,13,6,0,0.9676,87.6776,T,0.0,0,0.0,1,0.4919,0,7,0.0,Active,G,0,0,7,0
8,3,7,0,0.9523,85.8539,T,0.0,0,0.0,1,0.0,0,8,0.0,Active,G,0,0,8,0
9,9,8,0,0.9168,85.0895,T,0.0,0,0.0,1,0.0,0,9,0.0,Active,G,0,0,9,0
10,14,9,0,1.2565,84.5179,T,0.0,0,0.0,1,0.3397,0,A,0.0,Active,G,0,0,A,0
11,4,A,0,1.4313,83.9523,T,0.0,0,0.0,1,0.1748,0,B,0.0,Active,G,0,0,B,0
12,98,B,0,1.2978,82.8362,T,0.0,0,0.0,1,0.0,0,C,0.0,Active,G,0,0,C,0
13,19,C,0,2.1557,83.0375,T,0.0,0,0.0,1,0.8579,0,D,0.0,Active,G,0,0,D,0
