rank,car_number,unique_id,completed_laps,elapsed_time,last_laptime,lap_status,best_laptime,best_lap,time_behind_leader,laps_behind_leade,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,current_status,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
16,83,F,0,2.739,80.3671,T,0.0,0,0.0,1,0.5309,0,10,0.0,Active,G,0,0,10,0
17,5,10,0,2.7831,79.0812,T,0.0,0,0.0,1,0.0441,0,11,0.0,Active,G,0,0,11,0
18,22,11,0,2.6832,77.9244,T,0.0,0,0.0,1,0.0,0,12,0.0,Active,G,0,0,12,0
19,3,12,0,2.8845,77.4791,T,0.0,0,0.0,1,0.2013,0,13,0.0,Active,G,0,0,13,0
20,77,13,0,2.9296,76.8812,T,0.0,0,0.0,1,0.0451,0,14,0.0,Active,G,0,0,14,0
21,24,14,0,3.0458,76.4657,T,0.0,0,0.0,1,0.1162,0,15,0.0,Active,G,0,0,15,0
22,2,15,0,2.9931,75.6376,T,0.0,0,0.0,1,0.0,0,16,0.0,Active,G,0,0,16,0
23,1,16,0,3.02,74.5556,T,0.0,0,0.0,1,0.0269,0,17,0.0,Active,G,0,0,17,0
24,14,17,0,3.1207,74.3793,T,0.0,0,0.0,1,0.1007,0,18,0.0,Active,G,0,0,18,0
25,88,18,0,3.2792,73.3118,T,0.0,0,0.0,1,0.1585,0,19,0.0,Active,G,0,0,19,0
26,4,19,0,3.355,73.0833,T,0.0,0,0.0,1,0.0758,0,1A,0.0,Active,G,0,0,1A,0
27,50,1A,0,3.3693,72.2963,T,0.0,0,0.0,1,0.0143,0,1B,0.0,Active,G,0,0,1B,0
28,63,1B,0,3.8657,70.9961,T,0.0,0,0.0,1,0.4964,0,1C,0.0,Active,G,0,0,1C,0
29,11,1C,0,3.6545,70.3503,T,0.0,0,0.0,1,0.0,0,1D,0.0,Active,G,0,0,1D,0
30,44,1D,0,3.8457,68.7127,T,0.0,0,0.0,1,0.1912,0,1E,0.0,Active,G,0,0,1E,0
31,17,1E,0,3.8879,68.3551,T,0.0,0,0.0,1,0.0422,0,1F,0.0,Active,G,0,0,1F,0
32,40,1F,0,4.0599,67.9933,T,0.0,0,0.0,1,0.172,0,20,0.0,Active,G,0,0,20,0
33,18,20,0,4.3087,67.6815,T,0.0,0,0.0,1,0.2488,0,21,0.0,Active,G,0,0,21,0
3,20,1,1,42.6962,42.5049,T,42.5049,1,0.2827,0,0.0229,0,3,42.5049,Active,G,0,0,2,0
4,10,6,1,42.8374,41.98,T,41.98,1,0.4239,0,0.1412,0,4,41.98,Active,G,0,0,7,0
5,98,2,1,43.1131,42.8737,T,42.8737,1,0.6996,0,0.2757,0,5,42.8737,Active,G,0,0,3,0
6,21,5,1,43.4472,42.8709,T,42.8709,1,1.0337,0,0.3341,0,6,42.8709,Active,G,0,0,6,0
7,26,3,0,0.6998,89.9021,T,0.0,0,0.0,1,0.0,1,7,0.0,Active,G,0,0,4,0
8,29,4,0,0.787,88.9642,T,0.0,0,0.0,1,0.0872,0,8,0.0,Active,G,0,0,5,0
9,27,7,0,0.914,86.5132,T,0.0,0,0.0,1,0.127,0,9,0.0,Active,G,0,0,8,0
7,26,3,1,43.8872,43.1874,T,43.1874,1,1.4737,0,0.44,0,7,43.1874,Active,G,0,0,4,0
8,27,7,1,44.0276,43.1136,T,43.1136,1,1.6141,0,0.1404,0,8,43.1136,Active,G,0,0,8,0
9,29,4,1,44.1312,43.3442,T,43.3442,1,1.7177,0,0.1036,0,9,43.3442,Active,G,0,0,5,0
10,28,9,1,44.3817,42.6775,T,42.6775,1,1.9682,0,0.2505,0,A,42.6775,Active,G,0,0,A,0
11,19,A,0,1.7928,84.7532,T,0.0,0,0.0,1,0.0,1,B,0.0,Active,G,0,0,B,0
11,19,A,1,44.8626,43.0698,T,43.0698,1,2.4491,0,0.4809,0,B,43.0698,Active,G,0,0,B,0
12,15,D,1,45.4874,43.5465,T,43.5465,1,3.0739,0,0.6248,0,C,43.5465,Active,G,0,0,E,0
13,16,B,1,45.5763,43.6119,T,43.6119,1,3.1628,0,0.0889,0,D,43.6119,Active,G,0,0,C,0
14,7,C,0,2.1569,83.7321,T,0.0,0,0.0,1,0.0,1,E,0.0,Active,G,0,0,D,0
15,8,E,0,2.2081,81.2655,T,0.0,0,0.0,1,0.0512,0,F,0.0,Active,G,0,0,F,0
14,8,E,1,45.9682,43.7601,T,43.7601,1,3.5547,0,0.3919,0,E,43.7601,Active,G,0,0,F,0
15,7,C,1,46.2931,44.1362,T,44.1362,1,3.8796,0,0.3249,0,F,44.1362,Active,G,0,0,D,0
16,5,10,1,46.3757,43.5926,T,43.5926,1,3.9622,0,0.0826,0,10,43.5926,Active,G,0,0,11,0
17,83,F,0,2.739,80.3671,T,0.0,0,0.0,1,0.0,1,11,0.0,Active,G,0,0,10,0
17,77,13,1,46.7906,43.861,T,43.861,1,4.3771,0,0.4149,0,11,43.861,Active,G,0,0,14,0
18,22,11,1,47.0234,44.3402,T,44.3402,1,4.6099,0,0.2328,0,12,44.3402,Active,G,0,0,12,0
19,14,17,1,47.2884,44.1677,T,44.1677,1,4.8749,0,0.265,0,13,44.1677,Active,G,0,0,18,0
20,2,15,1,47.3461,44.353,T,44.353,1,4.9326,0,0.0577,0,14,44.353,Active,G,0,0,16,0
21,3,12,1,47.387,44.5025,T,44.5025,1,4.9735,0,0.0409,0,15,44.5025,Active,G,0,0,13,0
22,83,F,0,2.739,80.3671,T,0.0,0,0.0,1,0.0,1,16,0.0,Active,G,0,0,10,0
23,24,14,0,3.0458,76.4657,T,0.0,0,0.0,1,0.3068,0,17,0.0,Active,G,0,0,15,0
24,1,16,0,3.02,74.5556,T,0.0,0,0.0,1,0.0,0,18,0.0,Active,G,0,0,17,0
25,88,18,0,3.2792,73.3118,T,0.0,0,0.0,1,0.2592,0,19,0.0,Active,G,0,0,19,0
22,83,F,1,47.7665,45.0275,T,45.0275,1,5.353,0,0.3795,0,16,45.0275,Active,G,0,0,10,0
23,4,19,1,47.8209,44.4659,T,44.4659,1,5.4074,0,0.0544,0,17,44.4659,Active,G,0,0,1A,0
24,1,16,1,47.9829,44.9629,T,44.9629,1,5.5694,0,0.162,0,18,44.9629,Active,G,0,0,17,0
25,88,18,1,48.1729,44.8937,T,44.8937,1,5.7594,0,0.19,0,19,44.8937,Active,G,0,0,19,0
26,24,14,1,48.3932,45.3474,T,45.3474,1,5.9797,0,0.2203,0,1A,45.3474,Active,G,0,0,15,0
27,50,1A,0,3.3693,72.2963,T,0.0,0,0.0,1,0.0,1,1B,0.0,Active,G,0,0,1B,0
27,11,1C,1,48.7149,45.0604,T,45.0604,1,6.3014,0,0.3217,0,1B,45.0604,Active,G,0,0,1D,0
28,50,1A,1,48.7914,45.4221,T,45.4221,1,6.3779,0,0.0765,0,1C,45.4221,Active,G,0,0,1B,0
29,44,1D,1,49.1465,45.3008,T,45.3008,1,6.733,0,0.3551,0,1D,45.3008,Active,G,0,0,1E,0
30,18,20,1,49.1942,44.8855,T,44.8855,1,6.7807,0,0.0477,0,1E,44.8855,Active,G,0,0,21,0
31,17,1E,1,49.2702,45.3823,T,45.3823,1,6.8567,0,0.076,0,1F,45.3823,Active,G,0,0,1F,0
32,40,1F,1,49.4919,45.432,T,45.432,1,7.0784,0,0.2217,0,20,45.432,Active,G,0,0,20,0
33,63,1B,0,3.8657,70.9961,T,0.0,0,0.0,1,0.0,1,21,0.0,Active,G,0,0,1C,0
33,63,1B,1,49.8169,45.9512,T,45.9512,1,7.4034,0,0.325,0,21,45.9512,Active,G,0,0,1C,0
1,9,0,2,83.1234,40.7099,T,40.7099,2,0.0,0,0.0,0,1,40.7099,Active,G,0,0,1,2
2,20,1,2,83.3638,40.6676,T,40.6676,2,0.2404,0,0.2404,0,2,40.6676,Active,G,0,0,2,0
3,12,8,2,83.6359,40.9626,T,40.9626,2,0.5125,0,0.2721,0,3,40.9626,Active,G,0,0,9,0
5,98,2,1,43.1131,42.8737,T,42.8737,1,0.0,1,0.2757,0,5,42.8737,Active,G,0,0,3,0
7,26,3,1,43.8872,43.1874,T,43.1874,1,0.0,1,0.44,0,7,43.1874,Active,G,0,0,4,0
9,29,4,1,44.1312,43.3442,T,43.3442,1,0.0,1,0.1036,0,9,43.3442,Active,G,0,0,5,0
6,21,5,1,43.4472,42.8709,T,42.8709,1,0.0,1,0.3341,0,6,42.8709,Active,G,0,0,6,0
4,10,6,1,42.8374,41.98,T,41.98,1,0.0,1,0.0,1,4,41.98,Active,G,0,0,7,0
8,27,7,1,44.0276,43.1136,T,43.1136,1,0.0,1,0.1404,0,8,43.1136,Active,G,0,0,8,0
10,28,9,1,44.3817,42.6775,T,42.6775,1,0.0,1,0.2505,0,A,42.6775,Active,G,0,0,A,0
11,19,A,1,44.8626,43.0698,T,43.0698,1,0.0,1,0.4809,0,B,43.0698,Active,G,0,0,B,0
13,16,B,1,45.5763,43.6119,T,43.6119,1,0.0,1,0.0889,0,D,43.6119,Active,G,0,0,C,0
15,7,C,1,46.2931,44.1362,T,44.1362,1,0.0,1,0.3249,0,F,44.1362,Active,G,0,0,D,0
12,15,D,1,45.4874,43.5465,T,43.5465,1,0.0,1,0.6248,0,C,43.5465,Active,G,0,0,E,0
14,8,E,1,45.9682,43.7601,T,43.7601,1,0.0,1,0.3919,0,E,43.7601,Active,G,0,0,F,0
22,83,F,1,47.7665,45.0275,T,45.0275,1,0.0,1,0.3795,0,16,45.0275,Active,G,0,0,10,0
16,5,10,1,46.3757,43.5926,T,43.5926,1,0.0,1,0.0826,0,10,43.5926,Active,G,0,0,11,0
18,22,11,1,47.0234,44.3402,T,44.3402,1,0.0,1,0.2328,0,12,44.3402,Active,G,0,0,12,0
21,3,12,1,47.387,44.5025,T,44.5025,1,0.0,1,0.0409,0,15,44.5025,Active,G,0,0,13,0
17,77,13,1,46.7906,43.861,T,43.861,1,0.0,1,0.4149,0,11,43.861,Active,G,0,0,14,0
26,24,14,1,48.3932,45.3474,T,45.3474,1,0.0,1,0.2203,0,1A,45.3474,Active,G,0,0,15,0
20,2,15,1,47.3461,44.353,T,44.353,1,0.0,1,0.0577,0,14,44.353,Active,G,0,0,16,0
24,1,16,1,47.9829,44.9629,T,44.9629,1,0.0,1,0.162,0,18,44.9629,Active,G,0,0,17,0
19,14,17,1,47.2884,44.1677,T,44.1677,1,0.0,1,0.265,0,13,44.1677,Active,G,0,0,18,0
25,88,18,1,48.1729,44.8937,T,44.8937,1,0.0,1,0.19,0,19,44.8937,Active,G,0,0,19,0
23,4,19,1,47.8209,44.4659,T,44.4659,1,0.0,1,0.0544,0,17,44.4659,Active,G,0,0,1A,0
28,50,1A,1,48.7914,45.4221,T,45.4221,1,0.0,1,0.0765,0,1C,45.4221,Active,G,0,0,1B,0
33,63,1B,1,49.8169,45.9512,T,45.9512,1,0.0,1,0.325,0,21,45.9512,Active,G,0,0,1C,0
27,11,1C,1,48.7149,45.0604,T,45.0604,1,0.0,1,0.3217,0,1B,45.0604,Active,G,0,0,1D,0
29,44,1D,1,49.1465,45.3008,T,45.3008,1,0.0,1,0.3551,0,1D,45.3008,Active,G,0,0,1E,0
31,17,1E,1,49.2702,45.3823,T,45.3823,1,0.0,1,0.076,0,1F,45.3823,Active,G,0,0,1F,0
32,40,1F,1,49.4919,45.432,T,45.432,1,0.0,1,0.2217,0,20,45.432,Active,G,0,0,20,0
30,18,20,1,49.1942,44.8855,T,44.8855,1,0.0,1,0.0477,0,1E,44.8855,Active,G,0,0,21,0
4,10,6,2,83.8326,40.9952,T,40.9952,2,0.7092,0,0.1967,0,4,40.9952,Active,G,0,0,7,0
5,98,2,2,83.8847,40.7716,T,40.7716,2,0.7613,0,0.0521,0,5,40.7716,Active,G,0,0,3,0
6,21,5,2,84.2886,40.8414,T,40.8414,2,1.1652,0,0.4039,0,6,40.8414,Active,G,0,0,6,0
7,26,3,1,43.8872,43.1874,T,43.1874,1,0.0,1,0.0,1,7,43.1874,Active,G,0,0,4,0
7,27,7,2,84.8503,40.8227,T,40.8227,2,1.7269,0,0.5617,0,7,40.8227,Active,G,0,0,8,0
8,26,3,2,85.4859,41.5987,T,41.5987,2,2.3625,0,0.6356,0,8,41.5987,Active,G,0,0,4,0
9,29,4,2,85.5887,41.4575,T,41.4575,2,2.4653,0,0.1028,0,9,41.4575,Active,G,0,0,5,0
10,28,9,1,44.3817,42.6775,T,42.6775,1,0.0,1,0.0,1,A,42.6775,Active,G,0,0,A,0
10,28,9,2,85.8477,41.466,T,41.466,2,2.7243,0,0.259,0,A,41.466,Active,G,0,0,A,0
11,19,A,2,86.3731,41.5105,T,41.5105,2,3.2497,0,0.5254,0,B,41.5105,Active,G,0,0,B,0
12,15,D,2,86.5681,41.0807,T,41.0807,2,3.4447,0,0.195,0,C,41.0807,Active,G,0,0,E,0
13,16,B,2,86.6739,41.0976,T,41.0976,2,3.5505,0,0.1058,0,D,41.0976,Active,G,0,0,C,0
14,8,E,1,45.9682,43.7601,T,43.7601,1,0.0,1,0.0,1,E,43.7601,Active,G,0,0,F,0
14,8,E,2,87.4498,41.4816,T,41.4816,2,4.3264,0,0.7759,0,E,41.4816,Active,G,0,0,F,0
15,5,10,2,87.5447,41.169,T,41.169,2,4.4213,0,0.0949,0,F,41.169,Active,G,0,0,11,0
16,7,C,1,46.2931,44.1362,T,44.1362,1,0.0,1,0.0,1,10,44.1362,Active,G,0,0,D,0
17,77,13,1,46.7906,43.861,T,43.861,1,0.0,1,0.4975,0,11,43.861,Active,G,0,0,14,0
16,7,C,2,87.8833,41.5902,T,41.5902,2,4.7599,0,0.3386,0,10,41.5902,Active,G,0,0,D,0
17,77,13,2,88.0765,41.2859,T,41.2859,2,4.9531,0,0.1932,0,11,41.2859,Active,G,0,0,14,0
18,22,11,2,88.4917,41.4683,T,41.4683,2,5.3683,0,0.4152,0,12,41.4683,Active,G,0,0,12,0
19,14,17,2,88.5113,41.2229,T,41.2229,2,5.3879,0,0.0196,0,13,41.2229,Active,G,0,0,18,0
20,2,15,1,47.3461,44.353,T,44.353,1,0.0,1,0.0,1,14,44.353,Active,G,0,0,16,0
20,3,12,2,88.8325,41.4455,T,41.4455,2,5.7091,0,0.3212,0,14,41.4455,Active,G,0,0,13,0
21,2,15,2,89.187,41.8409,T,41.8409,2,6.0636,0,0.3545,0,15,41.8409,Active,G,0,0,16,0
22,4,19,2,89.5916,41.7707,T,41.7707,2,6.4682,0,0.4046,0,16,41.7707,Active,G,0,0,1A,0
23,83,F,1,47.7665,45.0275,T,45.0275,1,0.0,1,0.0,1,17,45.0275,Active,G,0,0,10,0
24,1,16,1,47.9829,44.9629,T,44.9629,1,0.0,1,0.2164,0,18,44.9629,Active,G,0,0,17,0
23,83,F,2,89.8046,42.0381,T,42.0381,2,6.6812,0,0.213,0,17,42.0381,Active,G,0,0,10,0
24,1,16,2,90.3248,42.3419,T,42.3419,2,7.2014,0,0.5202,0,18,42.3419,Active,G,0,0,17,0
25,88,18,1,48.1729,44.8937,T,44.8937,1,0.0,1,0.0,1,19,44.8937,Active,G,0,0,19,0
25,24,14,2,90.9249,42.5317,T,42.5317,2,7.8015,0,0.6001,0,19,42.5317,Active,G,0,0,15,0
26,88,18,2,91.1007,42.9278,T,42.9278,2,7.9773,0,0.1758,0,1A,42.9278,Active,G,0,0,19,0
27,11,1C,2,91.4926,42.7777,T,42.7777,2,8.3692,0,0.3919,0,1B,42.7777,Active,G,0,0,1D,0
28,50,1A,1,48.7914,45.4221,T,45.4221,1,0.0,1,0.0,1,1C,45.4221,Active,G,0,0,1B,0
28,50,1A,2,91.6367,42.8453,T,42.8453,2,8.5133,0,0.1441,0,1C,42.8453,Active,G,0,0,1B,0
29,18,20,2,91.6409,42.4467,T,42.4467,2,8.5175,0,0.0042,0,1D,42.4467,Active,G,0,0,21,0
30,44,1D,2,92.2849,43.1384,T,43.1384,2,9.1615,0,0.644,0,1E,43.1384,Active,G,0,0,1E,0
31,17,1E,2,92.3153,43.0451,T,43.0451,2,9.1919,0,0.0304,0,1F,43.0451,Active,G,0,0,1F,0
32,40,1F,1,49.4919,45.432,T,45.432,1,0.0,1,0.0,1,20,45.432,Active,G,0,0,20,0
32,40,1F,2,92.7442,43.2523,T,43.2523,2,9.6208,0,0.4289,0,20,43.2523,Active,G,0,0,20,0
33,63,1B,2,93.5423,43.7254,T,43.7254,2,10.4189,0,0.7981,0,21,43.7254,Active,G,0,0,1C,0
1,9,0,3,123.8023,40.6789,T,40.6789,3,0.0,0,0.0,0,1,40.6789,Active,G,0,0,1,3
2,20,1,3,123.9517,40.5879,T,40.5879,3,0.1494,0,0.1494,0,2,40.5879,Active,G,0,0,2,0
3,10,6,3,124.1772,40.3446,T,40.3446,3,0.3749,0,0.2255,0,3,40.3446,Active,G,0,0,7,0
5,98,2,2,83.8847,40.7716,T,40.7716,2,0.0,1,0.2488,0,5,40.7716,Active,G,0,0,3,0
8,26,3,2,85.4859,41.5987,T,41.5987,2,0.0,1,0.6356,0,8,41.5987,Active,G,0,0,4,0
9,29,4,2,85.5887,41.4575,T,41.4575,2,0.0,1,0.1028,0,9,41.4575,Active,G,0,0,5,0
6,21,5,2,84.2886,40.8414,T,40.8414,2,0.0,1,0.4039,0,6,40.8414,Active,G,0,0,6,0
7,27,7,2,84.8503,40.8227,T,40.8227,2,0.0,1,0.5617,0,7,40.8227,Active,G,0,0,8,0
4,12,8,2,83.6359,40.9626,T,40.9626,2,0.0,1,0.0,1,4,40.9626,Active,G,0,0,9,0
10,28,9,2,85.8477,41.466,T,41.466,2,0.0,1,0.259,0,A,41.466,Active,G,0,0,A,0
11,19,A,2,86.3731,41.5105,T,41.5105,2,0.0,1,0.5254,0,B,41.5105,Active,G,0,0,B,0
13,16,B,2,86.6739,41.0976,T,41.0976,2,0.0,1,0.1058,0,D,41.0976,Active,G,0,0,C,0
16,7,C,2,87.8833,41.5902,T,41.5902,2,0.0,1,0.3386,0,10,41.5902,Active,G,0,0,D,0
12,15,D,2,86.5681,41.0807,T,41.0807,2,0.0,1,0.195,0,C,41.0807,Active,G,0,0,E,0
14,8,E,2,87.4498,41.4816,T,41.4816,2,0.0,1,0.7759,0,E,41.4816,Active,G,0,0,F,0
23,83,F,2,89.8046,42.0381,T,42.0381,2,0.0,1,0.213,0,17,42.0381,Active,G,0,0,10,0
15,5,10,2,87.5447,41.169,T,41.169,2,0.0,1,0.0949,0,F,41.169,Active,G,0,0,11,0
18,22,11,2,88.4917,41.4683,T,41.4683,2,0.0,1,0.4152,0,12,41.4683,Active,G,0,0,12,0
20,3,12,2,88.8325,41.4455,T,41.4455,2,0.0,1,0.3212,0,14,41.4455,Active,G,0,0,13,0
