MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
589,25,7,21,301.6315,0.0,41.676000000000045
675,25,8,21,343.4915,0.0,41.85999999999996
759,25,9,21,385.7495,0.0,42.25800000000004
847,25,10,21,427.9976,0.0,42.248099999999965
936,25,11,21,469.9413,0.0,41.943700000000035
1021,25,12,21,512.1152,0.0,42.173899999999946
1110,25,13,21,553.928,0.0,41.81280000000004
1197,25,14,21,595.742,0.0,41.813999999999965
1287,25,15,21,637.4087,0.0,41.66669999999999
1378,25,16,21,679.1935,0.0,41.78480000000002
1467,25,17,21,720.9733,0.0,41.77980000000002
1557,25,18,21,762.8293,0.0,41.855999999999995
1646,25,19,21,804.7935,0.0,41.964200000000005
1736,25,20,21,846.6241,0.0,41.830600000000004
1825,25,21,21,888.8281,0.0,42.20399999999995
1915,25,22,21,931.3832,0.0,42.55510000000004
2006,25,23,21,973.2596,0.0,41.87639999999999
2096,25,24,21,1015.3041,0.0,42.04449999999997
2185,25,25,21,1058.1845,0.0,42.88040000000012
2275,25,26,21,1101.7438,0.0,43.559299999999894
2362,25,27,20,1144.1305,-1.0,42.38670000000002
2456,25,28,20,1185.807,0.0,41.67650000000003
2547,25,29,19,1227.8793,-1.0,42.07230000000004
2642,25,30,19,1270.6047,0.0,42.725400000000036
2753,25,31,17,1312.7656,-2.0,42.160899999999856
2870,25,32,13,1356.1026,-4.0,43.33699999999999
3005,25,33,6,1398.5138,-7.0,42.41120000000001
3289,25,34,19,1467.4392,13.0,68.92540000000008
3441,25,35,23,1523.3564,4.0,55.917199999999866
3542,25,36,22,1565.674,-1.0,42.317600000000084
3635,25,37,22,1607.1979999999999,0.0,41.52399999999989
3727,25,38,22,1648.6892,0.0,41.49120000000016
3818,25,39,22,1690.1383,0.0,41.449100000000044
3909,25,40,22,1731.4945,0.0,41.356199999999944
4002,25,41,22,1772.8332,0.0,41.33870000000002
4095,25,42,22,1814.276,0.0,41.442800000000034
4187,25,43,22,1855.5059,0.0,41.22990000000004
4279,25,44,22,1897.0546,0.0,41.548699999999826
4370,25,45,22,1938.6422,0.0,41.587600000000066
4461,25,46,22,1980.1533,0.0,41.51109999999994
4559,25,47,21,2029.3461,-1.0,49.192800000000034
4661,25,48,21,2093.6024,0.0,64.25630000000024
4748,25,49,21,2165.3129,0.0,71.71049999999968
4844,25,50,21,2288.4214,0.0,123.10850000000028
4937,25,51,21,2394.802,0.0,106.38059999999996
5023,25,52,21,2500.5319,0.0,105.72989999999982
5108,25,53,21,2612.4439,0.0,111.91200000000026
5204,25,54,21,2720.0886,0.0,107.64469999999983
5289,25,55,22,2782.5444,1.0,62.45580000000018
5364,25,56,22,2825.6106,0.0,43.06619999999975
5447,25,57,22,2868.3971,0.0,42.78650000000016
5540,25,58,23,2926.327,1.0,57.92990000000009
5630,25,59,23,3018.2982,0.0,91.97119999999995
5719,25,60,22,3125.5389,-1.0,107.24069999999983
5818,25,61,22,3230.7329,0.0,105.19399999999996
5906,25,62,22,3322.2673,0.0,91.5344
5976,25,63,22,3388.4217,0.0,66.1543999999999
6053,25,64,22,3432.7365,0.0,44.314800000000105
6131,25,65,23,3476.6987,1.0,43.96219999999994
6208,25,66,23,3518.9975,0.0,42.29880000000003
6288,25,67,23,3560.929,0.0,41.93150000000014
6376,25,68,22,3618.3079,-1.0,57.3788999999997
6470,25,69,22,3705.0931,0.0,86.78520000000026
6598,25,70,26,3828.5007,4.0,123.4076
6705,25,71,26,3928.8804,0.0,100.37969999999996
6794,25,72,26,4034.4311,0.0,105.55069999999978
6863,25,73,26,4097.1338,0.0,62.70269999999982
6940,25,74,27,4142.5813,1.0,45.44750000000022
7018,25,75,28,4187.5921,1.0,45.01080000000002
7096,25,76,28,4230.814,0.0,43.22190000000046
7173,25,77,27,4273.0407,-1.0,42.226699999999255
7253,25,78,27,4316.7434,0.0,43.70270000000073
7334,25,79,27,4360.0821,0.0,43.338699999999335
7416,25,80,27,4402.7867,0.0,42.70460000000003
7496,25,81,26,4444.2204,-1.0,41.4337000000005
7580,25,82,26,4485.5994,0.0,41.378999999999905
7665,25,83,26,4527.3626,0.0,41.763200000000325
7748,25,84,26,4569.5968,0.0,42.23419999999987
7830,25,85,26,4611.7982,0.0,42.20139999999992
7913,25,86,26,4654.2705,0.0,42.47229999999945
7994,25,87,26,4696.8049,0.0,42.53440000000046
8079,25,88,26,4739.5211,0.0,42.716199999999844
8160,25,89,26,4781.9508,0.0,42.429699999999684
8245,25,90,25,4824.2708,-1.0,42.32000000000062
8350,25,91,23,4867.1191,-2.0,42.848299999999654
8450,25,92,23,4909.8816,0.0,42.76249999999982
8560,25,93,18,4952.5562,-5.0,42.67460000000028
8680,25,94,15,4994.7237,-3.0,42.16749999999956
8802,25,95,10,5037.0993,-5.0,42.375600000000304
8917,25,96,8,5079.2224,-2.0,42.123099999999795
9035,25,97,7,5121.311,-1.0,42.08860000000004
9125,25,98,7,5163.6720000000005,0.0,42.361000000000786
9216,25,99,7,5206.1922,0.0,42.52019999999993
9308,25,100,7,5248.3357,0.0,42.14349999999922
9397,25,101,7,5292.0714,0.0,43.73570000000018
9501,25,102,7,5336.3669,0.0,44.295500000000175
9596,25,103,7,5379.2514,0.0,42.884500000000116
9693,25,104,6,5421.7777,-1.0,42.52629999999954
9787,25,105,6,5464.0465,0.0,42.26880000000074
9940,25,106,20,5531.3958,14.0,67.34929999999986
10074,25,107,23,5587.1611,3.0,55.765300000000025
10179,25,108,23,5627.9488,0.0,40.78769999999986
10274,25,109,23,5669.0612,0.0,41.11239999999998
10333,25,110,23,5710.4619999999995,0.0,41.400799999999435
10443,25,111,23,5752.0338,0.0,41.57180000000062
10498,25,112,23,5793.2715,0.0,41.23769999999968
10581,25,113,23,5834.4799,0.0,41.20840000000044
10696,25,114,23,5875.7658,0.0,41.285899999999856
10780,25,115,23,5917.2565,0.0,41.49070000000029
10867,25,116,23,5958.914000000001,0.0,41.657500000000255
10952,25,117,23,6000.5206,0.0,41.60659999999916
11039,25,118,23,6042.0359,0.0,41.515300000000025
11123,25,119,23,6084.3126,0.0,42.276700000000346
11178,25,120,23,6127.0061,0.0,42.6934999999994
11270,25,121,23,6168.5719,0.0,41.56580000000031
11357,25,122,22,6209.7552,-1.0,41.18329999999969
11446,25,123,22,6250.8629,0.0,41.10770000000048
11531,25,124,21,6292.2312,-1.0,41.36830000000009
11625,25,125,20,6333.6739,-1.0,41.442699999999604
11717,25,126,19,6375.3687,-1.0,41.694800000000214
11815,25,127,19,6416.8849,0.0,41.516200000000026
11908,25,128,17,6458.5991,-2.0,41.714200000000346
12018,25,129,15,6500.0447,-2.0,41.44560000000001
12119,25,130,13,6541.5999,-2.0,41.555199999999786
12223,25,131,9,6583.1015,-4.0,41.5015999999996
12336,25,132,9,6624.5053,0.0,41.40380000000005
12433,25,133,9,6666.1712,0.0,41.665899999999965
12522,25,134,8,6708.0063,-1.0,41.83510000000024
12620,25,135,7,6750.2904,-1.0,42.28409999999985
12703,25,136,6,6792.4438,-1.0,42.15340000000015
12805,25,137,5,6834.4435,-1.0,41.9997000000003
12901,25,138,4,6876.4451,-1.0,42.0015999999996
13016,25,139,4,6947.1262,0.0,70.68109999999979
13116,25,140,4,7033.3028,0.0,86.17660000000069
13274,25,141,21,7220.6521,17.0,187.34929999999986
13378,25,142,21,7285.5567,0.0,64.90459999999985
13464,25,143,21,7375.6093,0.0,90.05259999999998
13557,25,144,21,7475.8918,0.0,100.28250000000025
13629,25,145,21,7542.0665,0.0,66.17469999999958
13732,25,146,21,7600.6647,0.0,58.59820000000036
13826,25,147,21,7683.0397,0.0,82.375
13917,25,148,21,7770.2305,0.0,87.1907999999994
14004,25,149,21,7872.4995,0.0,102.26900000000023
14097,25,150,21,7959.9465,0.0,87.44700000000012
14180,25,151,21,8044.144,0.0,84.19750000000022
14270,25,152,20,8133.6812,-1.0,89.53719999999976
14350,25,153,20,8197.1872,0.0,63.50600000000031
14442,25,154,20,8250.3448,0.0,53.15760000000046
14537,25,155,19,8330.8392,-1.0,80.49439999999959
14637,25,156,19,8433.5156,0.0,102.67640000000029
14748,25,157,19,8555.7769,0.0,122.26130000000012
14840,25,158,18,8640.5888,-1.0,84.81189999999879
14932,25,159,18,8732.5767,0.0,91.98790000000008
15021,25,160,17,8813.0952,-1.0,80.51850000000013
15102,25,161,16,8879.4424,-1.0,66.34720000000016
15188,25,162,17,8924.571,1.0,45.128600000000006
