MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
9639,1,103,21,5405.7836,-1.0,40.956999999999425
9737,1,104,21,5446.66,0.0,40.8764000000001
9823,1,105,20,5487.7905,-1.0,41.13050000000021
9935,1,106,19,5528.8887,-1.0,41.09820000000036
10034,1,107,16,5570.0003,-3.0,41.11159999999927
10130,1,108,16,5611.1013,0.0,41.10100000000057
10221,1,109,15,5652.3837,-1.0,41.28240000000005
10311,1,110,15,5693.7016,0.0,41.31790000000001
10396,1,111,15,5735.0378,0.0,41.336199999999735
10477,1,112,15,5776.345,0.0,41.30720000000019
10560,1,113,15,5817.7273,0.0,41.382299999999304
10644,1,114,15,5859.4518,0.0,41.72450000000026
10729,1,115,15,5901.1378,0.0,41.686000000000604
10817,1,116,15,5942.8186,0.0,41.68079999999918
10902,1,117,15,5984.4573,0.0,41.638700000000426
10989,1,118,15,6025.9215,0.0,41.464200000000346
11075,1,119,15,6067.7996,0.0,41.878099999999904
11159,1,120,15,6109.6188,0.0,41.81919999999991
11246,1,121,14,6151.6106,-1.0,41.991799999999785
11335,1,122,14,6193.5397,0.0,41.92910000000029
11427,1,123,14,6235.2038,0.0,41.66409999999996
11514,1,124,14,6277.0966,0.0,41.892799999999625
11604,1,125,13,6319.1596,-1.0,42.0630000000001
11693,1,126,12,6361.503000000001,-1.0,42.343400000000656
11793,1,127,11,6403.5925,-1.0,42.089499999999134
11885,1,128,10,6445.6068,-1.0,42.01429999999982
11989,1,129,8,6487.7288,-2.0,42.1220000000003
12098,1,130,4,6529.9528,-4.0,42.22400000000016
12191,1,131,2,6572.6332,-2.0,42.68040000000019
12318,1,132,2,6614.1404,0.0,41.50720000000001
12382,1,133,1,6656.3089,-1.0,42.16849999999977
12470,1,134,1,6697.8154,0.0,41.506500000000415
12623,1,135,8,6750.8795,7.0,53.0640999999996
12757,1,136,20,6817.2337,12.0,66.35419999999976
12851,1,137,19,6858.08,-1.0,40.846300000000156
12954,1,138,17,6907.4643,-2.0,49.38429999999971
13057,1,139,17,6972.4492,0.0,64.98490000000038
13146,1,140,17,7046.6615,0.0,74.21230000000014
13246,1,141,15,7159.7891,-2.0,113.1275999999998
13355,1,142,13,7265.434,-2.0,105.64490000000023
13450,1,143,13,7368.0443,0.0,102.61029999999937
13542,1,144,13,7469.7958,0.0,101.7515000000003
13617,1,145,12,7541.2131,-1.0,71.41730000000007
13700,1,146,10,7592.3835,-2.0,51.17039999999997
13800,1,147,10,7671.9708,0.0,79.58730000000014
13896,1,148,10,7762.8417,0.0,90.87089999999989
13981,1,149,10,7859.7727,0.0,96.9310000000005
14073,1,150,10,7947.3906,0.0,87.61789999999928
14161,1,151,10,8035.7205,0.0,88.32990000000063
14251,1,152,10,8124.4811,0.0,88.76059999999961
14334,1,153,10,8195.2725,0.0,70.79139999999916
14421,1,154,11,8242.6348,1.0,47.36230000000069
14513,1,155,11,8321.6752,0.0,79.04039999999986
14617,1,156,11,8425.1158,0.0,103.4405999999999
14711,1,157,10,8528.6557,-1.0,103.53989999999976
14814,1,158,10,8624.3578,0.0,95.70210000000043
14913,1,159,10,8717.6404,0.0,93.28260000000046
14999,1,160,9,8803.5208,-1.0,85.88040000000001
15089,1,161,9,8877.7192,0.0,74.19839999999931
15164,1,162,8,8921.3019,-1.0,43.58270000000084
15245,1,163,8,8962.4248,0.0,41.1229000000003
15320,1,164,8,9003.6173,0.0,41.1924999999992
15394,1,165,8,9044.8459,0.0,41.22860000000037
15474,1,166,8,9085.7159,0.0,40.86999999999898
15555,1,167,8,9127.0471,0.0,41.331200000000536
15635,1,168,8,9167.9514,0.0,40.90430000000015
15727,1,169,8,9209.4597,0.0,41.50829999999951
15846,1,170,17,9262.9474,9.0,53.48769999999968
15954,1,171,18,9327.7148,1.0,64.76740000000063
16056,1,172,17,9368.4302,-1.0,40.715400000000955
16154,1,173,15,9409.0167,-2.0,40.58649999999943
16252,1,174,14,9449.5792,-1.0,40.5625
16337,1,175,14,9491.4104,0.0,41.831200000000536
16421,1,176,14,9532.3912,0.0,40.98079999999936
16507,1,177,13,9573.926,-1.0,41.53479999999945
16590,1,178,13,9616.0824,0.0,42.15639999999985
16672,1,179,13,9657.8805,0.0,41.79809999999998
16765,1,180,13,9699.7282,0.0,41.84770000000026
16848,1,181,12,9741.2363,-1.0,41.50810000000092
16937,1,182,12,9782.7442,0.0,41.5078999999987
17021,1,183,12,9824.2573,0.0,41.51310000000012
17103,1,184,12,9865.792,0.0,41.53470000000016
17189,1,185,12,9907.3192,0.0,41.52720000000045
17270,1,186,12,9949.4776,0.0,42.158400000000256
17351,1,187,12,9992.6676,0.0,43.19000000000051
17440,1,188,12,10046.4024,0.0,53.73480000000018
17537,1,189,12,10118.6545,0.0,72.2520999999997
17631,1,190,13,10186.7322,1.0,68.07769999999982
17722,1,191,12,10304.5369,-1.0,117.80469999999877
17812,1,192,12,10419.5281,0.0,114.99120000000039
17889,1,193,12,10496.5575,0.0,77.02940000000126
17963,1,194,13,10541.1458,1.0,44.588299999999435
