,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
669,-1,4,27,1,1,1,3,2,0.09090909090909091,1,0,2.25,2.25,-1,-1.0,0,0.0,0,0,0,1,0,0
670,0,4,27,2,1,0,3,1,0.045454545454545456,1,0,1.1,1.2352941176470589,-1,-1.0,0,0.0,0,0,0,0,1,0
671,0,4,27,3,1,0,3,1,0.045454545454545456,1,0,1.4545454545454546,1.3432835820895523,0,-0.6666666666666666,1,0.5,0,0,0,1,0,-2
672,0,4,27,4,1,0,3,1,0.045454545454545456,1,0,1.0303030303030303,1.24,0,-0.5,0,0.3333333333333333,0,0,0,0,-5,1
673,0,4,27,5,1,0,3,1,0.045454545454545456,1,0,1.0,1.1818181818181819,0,-0.4,0,0.25,0,0,0,0,0,-1
674,0,4,27,6,1,0,3,1,0.045454545454545456,1,0,1.1515151515151516,1.1757575757575758,0,-0.3333333333333333,0,0.2,0,0,0,0,0,-1
675,0,4,28,0,0,0,4,4,0.18181818181818182,1,0,4.0,4.0,0,0.0,0,0.0,0,0,0,0,0,0
676,0,4,30,0,0,0,10,10,0.45454545454545453,0,0,10.0,10.0,0,0.0,0,0.0,0,0,0,0,0,0
677,0,4,59,0,0,0,21,21,0.9545454545454546,0,1,21.0,21.0,0,0.0,0,0.0,0,0,0,0,0,0
678,0,4,59,1,1,1,21,21,0.9545454545454546,0,1,21.0,21.0,0,0.0,0,0.0,-2,1,0,0,0,0
679,-9,4,59,2,1,1,21,21,0.9545454545454546,0,1,21.0,21.0,0,0.0,0,0.0,0,0,-2,0,0,0
680,1,4,59,3,1,0,21,12,0.5454545454545454,0,0,13.78125,14.583333333333334,-9,-3.0,-9,-4.5,-1,0,4,-9,0,-6
681,-1,4,59,4,1,0,21,13,0.5909090909090909,0,0,12.709677419354838,13.716417910447761,1,-2.0,10,0.3333333333333333,1,0,1,0,-6,0
682,2,4,59,5,1,0,21,12,0.5454545454545454,0,0,12.096774193548388,13.204081632653061,-1,-1.8,-2,-0.25,3,1,0,1,0,0
683,-1,4,59,6,1,0,21,14,0.6363636363636364,0,0,13.65625,13.315384615384616,2,-1.1666666666666667,3,0.4,-1,1,0,0,0,0
684,0,4,59,7,1,0,21,13,0.5909090909090909,0,0,13.9375,13.438271604938272,-1,-1.1428571428571428,-3,-0.16666666666666666,-1,0,0,0,0,0
685,-2,4,88,0,0,0,22,22,1.0,0,1,22.0,22.0,0,0.0,0,0.0,0,0,0,0,0,0
686,0,4,88,1,1,1,22,20,0.9090909090909091,0,1,22.0,22.0,-2,-2.0,0,0.0,1,0,0,0,0,0
687,-1,4,88,2,1,1,22,20,0.9090909090909091,0,1,20.0,20.5,0,-1.0,0,0.0,0,-2,2,0,0,0
688,-8,4,88,3,1,1,22,19,0.8636363636363636,0,1,20.0,20.333333333333332,-1,-1.0,-1,0.5,2,-2,2,0,2,0
